,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
53,France,"Fruity and lightly herbaceous, this has fine textured acidity along with a pink grapefruit flavor. The wine is bright and easy, and it will be ready to drink in a few months.",La Fleur d'Amélie,85,15.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),Bordeaux-style White Blend,Château de Sours,white,no
316,France,"An intriguing blend of Sauvignon Blanc and Muscadelle, which highlights the herbaceous Sauvignon character and a more perfumed Muscadelle. The two give a fresh, citrus- and pineapple-flavored wine, lively, to be enjoyed young.",Les Amants Mont-Pérat,86,,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Mont-Pérat 2008 Les Amants Mont-Pérat  (Bordeaux Blanc),Bordeaux-style White Blend,Château Mont-Pérat,white,no
317,France,"Soft, ripe, dominated by peaches, pears and a rounded, toasty character. The spice is dominant, giving the wine an exotic edge. The more rounded style gives concentration as well as a fine, finishing velvet texture.",Bordeaux-style White Blend,86,,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Tour de Mirambeau 2006  Bordeaux Blanc,Bordeaux-style White Blend,Château Tour de Mirambeau,white,no
420,France,"This is the first of 15 estates the Gonfrier family owns throughout Bordeaux. There are strong wood influences here, although the fruit is enough to match up. So ripe pear and apricot flavors go with those toasty characters to give a rich, full-bodied wine. It will be better from late 2016.",Bordeaux-style White Blend,89,,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château de Marsan 2015  Bordeaux Blanc,Bordeaux-style White Blend,Château de Marsan,white,no
1004,France,"Full, firm white wine that gives good green fruit and pear flavors, lifted with spice from wood. The wine is round, while still retaining crispness from grassy acidity, and offers a good depth of plum skin structure and flavor.",Marjolaine,88,25.0,Southwest France,Montravel,,Roger Voss,@vossroger,Château Puy-Servain 2007 Marjolaine  (Montravel),Bordeaux-style White Blend,Château Puy-Servain,white,no
1060,France,"As in nearby Sauternes, 2005 produced some exceptionally rich botrytised wine in Monbazillac. This example from one of the leading Bergerac producers certainly shows plenty of richness, but it seems rather too sugary, showing toffee flavors and fatness. The acidity is missing.",Bordeaux-style White Blend,85,11.0,Southwest France,Monbazillac,,Roger Voss,@vossroger,Château Bélingard 2005  Monbazillac,Bordeaux-style White Blend,Château Bélingard,white,no
1535,France,"In the Boissonneau family since 1839, this southern Entre-Deux-Mers vineyard gives a crisp, herbal wine with light fruit and attractive acidity. It has lemon and grapefruit flavors, bright with a crisp aftertaste. Drink now.",Bordeaux-style White Blend,85,20.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château de la Vieille Tour 2016  Bordeaux Blanc,Bordeaux-style White Blend,Château de la Vieille Tour,white,no
1536,France,"The Mottet family bought this chateau in 2009 and has been in renovation mode: chateau, winery, vast vineyards and placement of a dramatic 40-foot steel rooster in the vineyard. This wine is refreshing, lively and crisp, with plenty of acidity. It reveals spice, apples and lime flavors along with a more mineral side. The wine is ready to drink.",Bordeaux-style White Blend,85,12.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château la France 2016  Bordeaux Blanc,Bordeaux-style White Blend,Château la France,white,no
1592,France,"This fresh wine has attractive citrus and yellow fruit flavors and an orange tang. It needs more time; drink from 2017. The property includes five acres of white grapes and 65 acres of red. Sylviane Garcin-Cathiard also owns Clos L'Église in Pomerol, Château Barde-Haut in Saint-Émilion and Château Branon in Pessac-Léognan.",Bordeaux-style White Blend,88,,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Haut-Bergey 2013  Pessac-Léognan,Bordeaux-style White Blend,Château Haut-Bergey,white,no
1594,France,"Bright and fruity, this is classic white Bordeaux with its citrus and lively acidity as well as a crisp texture. It has weight and shows some potential to fill out, so drink from 2017. Because of spring frost and summer rain, Marie-José (Perrin) Leriche reduced the (90%) Sauvignon Blanc and (10%) Sémillion harvest by a third.",Bordeaux-style White Blend,88,,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château le Sartre 2013  Pessac-Léognan,Bordeaux-style White Blend,Château le Sartre,white,no
