,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
980,Italy,"This wine doesn't seem to have fully evolved and its aromas are  muddled in places with notes of mature fruit and natural rubber. In the mouth it has red fruit flavors and tight tannins, but it generally lacks definition.",Capitel della Crosara,85,41.0,Veneto,Amarone della Valpolicella Classico,,,,Montresor 2003 Capitel della Crosara  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Montresor,red,no
2072,Italy,"This is a thickly extracted Amarone with fruit-driven aromas of strawberry, cherry and blackberry preserves. It is inky and dark in color with impenetrable density and a smooth quality to its tannins. Allegrini is one of the most historic and well-respected producers in Valpolicella.","Corvina, Rondinella, Molinara",90,,Veneto,Amarone della Valpolicella Classico,,,,Allegrini 2004  Amarone della Valpolicella Classico,"Corvina, Rondinella, Molinara",Allegrini,red,no
3082,Italy,Campo Magri is a bright and lively Valpolicella Superiore with crisp tones of cherry and wild berry backed by slight smoke and spice. The natural acidity will cut through the density or ossobuco or beef stew.,Campi Magri,88,,Veneto,Valpolicella Superiore,,,,Corte Sant' Alda 2007 Campi Magri  (Valpolicella Superiore),"Corvina, Rondinella, Molinara",Corte Sant' Alda,red,no
3083,Italy,"This vineyard-designate Ripasso opens with dark concentration and lush aromas of mature fruit, spice, leather, chocolate and dried beef or cured ham. This is a rich and velvety wine that could stand up to barbecued short ribs smothered in spicy sauce.",Podere Bertarole,88,,Veneto,Valpolicella Classico Superiore Ripasso,,,,Corteforte 2007 Podere Bertarole  (Valpolicella Classico Superiore Ripasso),"Corvina, Rondinella, Molinara",Corteforte,red,no
3084,Italy,"Fabiano's newest Ripasso opens with bright cherry aromas followed by spice, clove, black pepper and pressed rose petal. The wine boasts a soft, steady feel in the mouth and relatively smooth texture overall.","Corvina, Rondinella, Molinara",88,,Veneto,Valpolicella Classico Superiore Ripasso,,,,Fabiano 2008  Valpolicella Classico Superiore Ripasso,"Corvina, Rondinella, Molinara",Fabiano,red,no
3085,Italy,"Instead of brawn and muscle, this ruby Ripasso offers elegance and finesse. The nose is redolent of polished black stone, Indian spice and loads of dried cassis and wild berry. There's a playful hint of sweet almond and cinnamon at the end.",Le Quare,88,16.0,Veneto,Valpolicella Classico Superiore Ripasso,,,,Gamba 2007 Le Quare  (Valpolicella Classico Superiore Ripasso),"Corvina, Rondinella, Molinara",Gamba,red,no
3088,Italy,Ripasso Il Vegro offers a rich and meaty bouquet with aromas of cured beef and honey roasted ham. There are also bright fruit tones of cherry and blackberry and the wine adds a crisp touch of sour cranberry at the very end.,Il Vegro,88,22.0,Veneto,Valpolicella Classico Superiore Ripasso,,,,Brigaldara 2007 Il Vegro  (Valpolicella Classico Superiore Ripasso),"Corvina, Rondinella, Molinara",Brigaldara,red,no
3090,Italy,"Campo Leòn is a jammy, chewy wine with raw notes of black cherry, Indian spice, cedar wood and melted chocolate. It's thick, syrupy and it's hard to imagine a balanced food pairing outside succulent red meat.",Campo Leòn,88,55.0,Veneto,Amarone della Valpolicella,,,,Latium di Morini 2005 Campo Leòn  (Amarone della Valpolicella),"Corvina, Rondinella, Molinara",Latium di Morini,red,no
3091,Italy,"This is a smooth and rich Amarone with equal parts jammy fruit set against a smokey oak component. The wine slides nicely over the palate with a lavish, velvety texture and imparts more oak spice and mesquite on the close.",Capitel de' Roari,88,35.0,Veneto,Amarone della Valpolicella Classico,,,,Luigi Righetti 2006 Capitel de' Roari  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Luigi Righetti,red,no
3095,Italy,"This is a powerful but not exaggerated style of Amarone that delivers ripe cherry and blackberry aromas followed by new leather, cigar box, spice and rum cake. It imparts a very smooth, rich and supple feel.",Tenuta Lena di Mezzo,88,50.0,Veneto,Amarone della Valpolicella Classico,,,,Monte del Frá 2005 Tenuta Lena di Mezzo  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Monte del Frá,red,no
