,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
617,Italy,This bubbly Prosecco Superiore offers vibrant tones of white flower and cut grass followed by light touches of peach and honeydew melon. The mouthfeel is creamy and soft with a subtle touch of sweetness.,Millesimato Extra Dry,87,25.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Bacio della Luna 2012 Millesimato Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Bacio della Luna,white,no
620,Italy,"Extra sweetness and density give this wine a full and generous personality. Dry Proseccos usually show a little extra peach juice and nectarine, as this wine does, without being heavy or cloying.",Dry,87,20.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Bortolotti NV Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Bortolotti,white,no
3161,Italy,"This has some light deposits at the bottom of the bottle, with a slightly cloudy appearance. Aromas of stone fruit, melon and citrus create a broad and thick aromatic front.",Col Fondo,86,18.0,Veneto,Prosecco,,,,Ca' dei Zago 2010 Col Fondo  (Prosecco),Glera,Ca' dei Zago,white,no
3162,Italy,"There's a touch of burnt almond at the start, but this bright effort soon picks up speed thanks to delicate aromas of honey, cantaloupe and white peach. This is smooth and creamy on the finish.",Cuvée Brut,86,16.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Carpenè Malvolti NV Cuvée Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Carpenè Malvolti,white,no
3166,Italy,"Prima Volta (“first time”) is a fresh and easy wine, with medium intensity and bright aromas of honey, peach and white flower. The mouthfeel is lean and compact, but the persistent perlage keeps it lively.",Prima Volta Millesimato Dry,86,,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Giavi 2011 Prima Volta Millesimato Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Giavi,white,no
3167,Italy,"Packaged in a pocket-friendly 187-ml bottle, this is fragrant and simple, with tonic, creamy foam and bright aromas of peach, honeydew and jasmine.",Mini,86,5.0,Veneto,Prosecco,,,,Anna Spinato NV Mini  (Prosecco),Glera,Anna Spinato,white,no
3168,Italy,"A genuine, honest sparkler, this has simple tones of almond paste and lemon soda. The mouthfeel is held steady by foamy cream and bright effervescence.",Miraval Millesimato Extra Dry,86,19.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Bellenda 2011 Miraval Millesimato Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Bellenda,white,no
3169,Italy,"This sparkler opens with tonic, almost steely perlage that tickles the nose. The bouquet is comprised of crushed stone and white peach, and there's a distant hint of honey at the close.",Millesimato Brut,86,15.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Bianca Vigna 2011 Millesimato Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Bianca Vigna,white,no
3170,Italy,The simple bouquet is dominated by white rose and peach blossom aromas. This shows a nice quality of creamy effervescence as well.,Glera,86,,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Canella NV  Conegliano Valdobbiadene Prosecco Superiore,Glera,Canella,white,no
3171,Italy,"This is simple, showing dry tones of crushed stone and white peach. There is some softness in the mouth thanks to the creamy quality of the wine's foamy bubbles.",Brut,86,,Veneto,Prosecco,,,,Caposaldo NV Brut  (Prosecco),Glera,Caposaldo,white,no
3172,Italy,"Direct and immediate, this crisp effort shows pretty balance between its sweet fruit and zesty citrus elements. A perfect summer-sipping sparkling wine.",Extra Dry,86,16.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Carpenè Malvolti NV Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Carpenè Malvolti,white,no
3694,Italy,"Made from 80-year-old Glera vines that have never been doused with herbicides or pesticides, this boasts an enticing floral fragrance of jasmine and honeysuckle. The elegant, reserved palate has a pristine quality, delivering green apple, lemon zest, nectarine, pastry cream, herb and mineral alongside a fine perlage. It finishes crisp and clean.",Dosaggio Zero,91,30.0,Veneto,Valdobbiadene Prosecco Superiore,,Kerin O’Keefe,@kerinokeefe,Ca' dei Zago 2012 Dosaggio Zero  (Valdobbiadene Prosecco Superiore),Glera,Ca' dei Zago,white,no
3970,Italy,"The Cartizze cru is known as the best area for growing quality grapes for Prosecco. This precious expression shows drying mineral tones backed by sweet fruit, melon and peach. The soft, creamy quality if the perlage is also noteworthy.",Cartizze Dry,90,,Veneto,Valdobbiadene Superiore di Cartizze,,,,Bortolotti NV Cartizze Dry  (Valdobbiadene Superiore di Cartizze),Glera,Bortolotti,white,no
5441,Italy,"This exciting Brut Prosecco shows a very floral and fruity bouquet followed by a crisp, drying mouthfeel. The high quality of the aromas is what sets this wine apart from the competition.",Fagher Brut,88,,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Le Colture NV Fagher Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Le Colture,white,no
5455,Italy,"“Three winds” is a new product from a top Prosecco producer. Packaged in an elegant and understated bottle, this Italian sparkler is ideal for light lunches or outdoor appetizers. The interesting aromas include dried flowers, citrus and a very subtle touch of spicy clove.",Tre Venti Brut Millesimato,88,26.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Zardetto 2010 Tre Venti Brut Millesimato  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Zardetto,white,no
6315,Italy,"Fresh and balanced, this bright savory sparkler delivers mouthfuls of green apple, white peach and lemon peel. Crisp acidity keeps it refreshing while a soft mousse gives it plenty of finesse. It has a dry juicy finish.",Dirupo Brut,92,19.0,Veneto,Valdobbiadene Prosecco Superiore,,Kerin O’Keefe,@kerinokeefe,Andreola 2016 Dirupo Brut  (Valdobbiadene Prosecco Superiore),Glera,Andreola,white,no
6321,Italy,"One of the denomination's benchmark bottlings, this fresh yet creamy off-dry sparkler opens with alluring scents of apple, exotic fruit and white peach that carry over to the silky palate along with candied citrus zest. Crisp acidity brightens the rich flavors and creates a refreshing finish.",Primo Franco Dry,91,29.0,Veneto,Valdobbiadene Prosecco Superiore,,Kerin O’Keefe,@kerinokeefe,Nino Franco 2016 Primo Franco Dry  (Valdobbiadene Prosecco Superiore),Glera,Nino Franco,white,no
6337,Italy,"Enticing scents of honeysuckle, jasmine and orchard fruit mingle together while the bone-dry savory palate offers apple, pear and tangerine. An elegant perlage and vibrant acidity lend finesse and freshness while a hint of thyme closes the crisp finish.",Oltreval Rive di Guia Zero,91,23.0,Veneto,Valdobbiadene Prosecco Superiore,,Kerin O’Keefe,@kerinokeefe,La Tordera 2016 Oltreval Rive di Guia Zero  (Valdobbiadene Prosecco Superiore),Glera,La Tordera,white,no
6387,Italy,"Aromas of white spring flower, orchard fruit and citrus spill out of the glass. The fun lively palate delivers ripe yellow peach and green apple alongside a foaming mousse.",Nature,86,22.0,Veneto,Prosecco,,Kerin O’Keefe,@kerinokeefe,De Stefani 2015 Nature  (Prosecco),Glera,De Stefani,white,no
6397,Italy,"Aromas of green apple, Bartlett pear, citrus and sage lead into the lightly sparkling palate. Fresh acidity lifts the rich flavors.",Cuvée Viviana,86,28.0,Veneto,Valdobbiadene Superiore di Cartizze,,Kerin O’Keefe,@kerinokeefe,Valdo NV Cuvée Viviana  (Valdobbiadene Superiore di Cartizze),Glera,Valdo,white,no
6620,Italy,"This feminine Prosecco Superiore offers bright floral notes of jasmine and honeysuckle followed by peach and melon. The style is extra dry, meaning there is a veil of sweetness at the back, that is enhanced by the soft sparkling foam. This wine is truly enjoyable.",Serrai Extra Dry,88,,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,La Tordera NV Serrai Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,La Tordera,white,no
