,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
238,Australia,"The sort of wine one imagines early Australian settlers gulped down—big and burly in the mouth and a bit warm, rough and dusty on the finish. Hints of mint-accented cherry fruit and earthy notes.",The Derelict Vineyard,85,29.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,D'Arenberg 2006 The Derelict Vineyard Grenache (McLaren Vale),Grenache,D'Arenberg,red,no
519,US,"Deliciously fruity but also well-structured, this full-bodied wine has excellent concentration and good balance. Effusive aromas of blueberry and black cherry lead to opulent but not overripe berry flavors that are lightly accented by clove and cinnamon nuances.",The Brat,91,36.0,California,Calaveras County,Sierra Foothills,Jim Gordon,@gordone_cellars,Prospect 772 2014 The Brat Grenache (Calaveras County),Grenache,Prospect 772,red,no
521,US,"This is a delicate yet flavorful take on this grape, from a biodynamic, cool-climate vineyard. Light red plum and hibiscus aromas meet with sweet herbs and cinnamon spice on the nose. The lithe palate offers candied strawberry with thyme, anise and touches of garden herbs, with that red fruit flavor carrying deep into the finish. Would pair great with spicy food.",Sawyer Lindquist Vineyard,91,35.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Qupé 2013 Sawyer Lindquist Vineyard Grenache (Edna Valley),Grenache,Qupé,red,no
606,US,"It's rare to find a varietally labeled Grenache that comes in under 13% alcohol, but here you have it. Blended with 10% Syrah, it has notes of white pepper, smoked meat, savory spices and red fruit. What it lacks in terms of depth it makes up for in purity and elegance.",Bomba,87,25.0,Oregon,Rogue Valley,Southern Oregon,Sean P. Sullivan,@wawinereport,Quady North 2011 Bomba Grenache (Rogue Valley),Grenache,Quady North,red,no
653,US,"Reserved red-cherry fruit aromas gain complexity with fog-soaked sagebrush, dried purple flowers and an earthy mushroom character on the nose. Roasted shiitake, marjoram, crushed Brazil nuts and a hint of cardamom play on the dark, spicy, earthy palate, laid across a bed of cranberry fruit.",Grenache,92,35.0,California,Arroyo Seco,Central Coast,Matt Kettmann,@mattkettmann,Scratch 2013 Grenache (Arroyo Seco),Grenache,Scratch,red,no
869,US,"The most reserved of this winery's Grenache studies, this bottling shows baked red cherry, red currant, cola and slate on the nose. An iron-based minerality shows on the earthy palate, which also offers chipped slate, cranberry and tart cherry elements. It's a tad light but still intriguingly textured.",Larner,90,42.0,California,Ballard Canyon,Central Coast,Matt Kettmann,@mattkettmann,Casa Dumetz 2014 Larner Grenache (Ballard Canyon),Grenache,Casa Dumetz,red,no
1027,US,"The pretty fruit flavors suggest relatively young vines, bringing light cherry to the front and center. Hints of marzipan, a flash of finishing heat and subtle chalkiness run through the finish. Another year or two of bottle age should continue to improve this one.",Estate,88,34.0,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Folin Cellars 2012 Estate Grenache (Rogue Valley),Grenache,Folin Cellars,red,no
1689,US,"Lots of tannins and acidity on this dry Grenache, but it's so rich and sweet in cherries, you can drink it now. Somehow manages to be fun and serious at the same time. A real success for this finicky variety in California.",Sawyer Lindquist Vineyard,90,35.0,California,Edna Valley,Central Coast,,,Qupé 2009 Sawyer Lindquist Vineyard Grenache (Edna Valley),Grenache,Qupé,red,no
2088,US,"Could almost be Zinfandel, it's so spicy and briary, with wild berry, red currant and tobacco flavors. But it's lighter in body, with the silky texture of Pinot Noir, and drier than any Zin could be. A lovely, complex and food-friendly wine.",Wine Creek Ranch,90,26.0,California,Dry Creek Valley,Sonoma,,,Quivira 2007 Wine Creek Ranch Grenache (Dry Creek Valley),Grenache,Quivira,red,no
2856,US,"Quite light in the glass, the aromas on this bottling are also a bit weak, with cinnamon and red fruits emerging with patience. It's light and lithe on the palate, with candied cherry, rose petals and tons of cracked pepper making for a lengthy, grippy sip.",Estate,88,38.0,California,Central Coast,,Matt Kettmann,@mattkettmann,Rideau 2014 Estate Grenache,Grenache,Rideau,red,no
2857,US,"This wine is made in a ripe forward style, with lightly volatile aromas of apple, plum and dark raspberries. It's full bodied and pulls no punches as generous red and black-fruit flavors with cocoa accents show some warmth on the finish.",Reserve Northridge Vineyard,88,35.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Ryan Patrick 2013 Reserve Northridge Vineyard Grenache (Wahluke Slope),Grenache,Ryan Patrick,red,no
2888,US,"Spicy and floral, with pretty cherry fruit concentrated at the core, this inviting Grenache combines grace and power. The flavors are complex and concentrated, with hints of green tea, cut tobacco, and a finishing streak of espresso and cocoa.",Grenache,91,34.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Bunnell 2009 Grenache (Columbia Valley (WA)),Grenache,Bunnell,red,no
3053,US,"This powerful wine puts purple plum and tart cherry fruit front and center. That fruit drives the bus through a dense palate, with a burst of acidity adding a turbo charge. It saw 25% new French oak.",Grenache,88,25.0,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,South Stage 2012 Grenache (Rogue Valley),Grenache,South Stage,red,no
3436,US,Aromas of vanilla and cocoa mix with red fruit. The fruit flavors are full and palate coating but the oak seems a little too intense at times.,Vineyard Series Clifton Vineyards,88,28.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Milbrandt 2012 Vineyard Series Clifton Vineyards Grenache (Wahluke Slope),Grenache,Milbrandt,red,no
3504,US,"Candied black cherry, crushed thyme, marjoram, peppercorn and smoked meat show on the nose of this bottling. The palate is very sweet, nearly treacly by sip two, showing concentrated strawberry juice and hoisin spice against a thick mouthfeel.",Euphoric La Vista Vineyard,88,55.0,California,Adelaida District,Central Coast,Matt Kettmann,@mattkettmann,Nicora 2014 Euphoric La Vista Vineyard Grenache (Adelaida District),Grenache,Nicora,red,no
3505,US,"This is the inaugural release from this winery, which dedicates itself to the production of Grenache. A blend of fruit from Alder Ridge and Upland vineyards, it brings aromas of red plum, herb and spice that are followed by elegant, mouthwatering red-fruit flavors. It shows the variety's more delicate side.",Grenache,88,30.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Ocelli 2012 Grenache (Columbia Valley (WA)),Grenache,Ocelli,red,no
3562,US,"Very focused and deep aromas of boysenberry, violet, rose petal and anise make for a heady rich entry into this Grenache. There's a touch of caramel to the sip, where black cherry, clove, dried ginger and leather also show. It's a good example of how Grenache can ride the heavier side of the scale with style.",Reserve,89,32.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Clos La Chance 2013 Reserve Grenache (Central Coast),Grenache,Clos La Chance,red,no
3719,US,"A little one-dimensional but still delicious, this has wave after wave of ripe cherry-pie flavor. Smoky, sweet oak brings an alluring vanilla note, and the mouthfeel is soft and silky. Try pairing this with beef tartare.",Estate Grown and Bottled,88,35.0,California,Santa Ynez Valley,Central Coast,,,Zaca Mesa 2010 Estate Grown and Bottled Grenache (Santa Ynez Valley),Grenache,Zaca Mesa,red,no
3865,US,"The combination of very high alcohol and what tastes like residual sugar gives this Grenache an excessively sweet, glyceriney taste. It's fabulously rich in raspberry cream, blackberry jam, mocha, vanilla and cinnamon spice flavors. Very flamboyant and delicious, but really more of a dessert wine than a dry table wine.",Purisima Mountain Vineyard,91,48.0,California,Santa Ynez Valley,Central Coast,,,Beckmen 2008 Purisima Mountain Vineyard Grenache (Santa Ynez Valley),Grenache,Beckmen,red,no
4030,US,"Aromas of cherry syrup, cola and cinnamon emerge from this bottling, which features artistic labels that always impress the eye. The palate shows dark red fruit and baking spice, as well as a minerality that combines rust and gravel.",Haven,88,42.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Archium 2014 Haven Grenache (Santa Ynez Valley),Grenache,Archium,red,no
4118,US,"This medium-bodied wine walks its own path, smelling like flowers, honey and ripe peaches. It tastes fresh, nicely tart, lightly tannic and floral, making for an adventurous and energizing path to take.",Grenache Noir,90,28.0,California,El Dorado,Sierra Foothills,Jim Gordon,@gordone_cellars,Donkey & Goat 2015 Grenache Noir Grenache (El Dorado),Grenache,Donkey & Goat,red,no
4137,Australia,"Peppers and cloves accent cherry-berry fruit on the nose of this single-vineyard wine. On the palate, it's full bodied and deep and silky in texture, with a long spice-inflected finish.",The Derelict Vineyard,90,29.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,D'Arenberg 2010 The Derelict Vineyard Grenache (McLaren Vale),Grenache,D'Arenberg,red,no
4229,US,"This vineyard designate is 100% whole cluster fermented, an interesting study on the grape. Floral and earthy with lavender and black licorice aromas, it imparts substantial oak and tannin beneath its light rendering of black cherry fruit.",Sceales Vineyard,87,30.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Hobo 2014 Sceales Vineyard Grenache (Alexander Valley),Grenache,Hobo,red,no
4619,US,"Quite light in color, the aromas bring initially locked up but then broadly expansive notes of peat, green olive, white pepper, strawberry, Stargazer lilies, mineral and herb, showing a lot of complexity. The palate is textured, bringing a profound mixture of fruit and savory flavors that intertwine effortlessly on the long finish. It brings a sense of tension, texture and finesse that is completely captivating.",La Paciencia Vineyard,94,75.0,Oregon,Walla Walla Valley (OR),Oregon Other,Sean P. Sullivan,@wawinereport,No Girls 2014 La Paciencia Vineyard Grenache (Walla Walla Valley (OR)),Grenache,No Girls,red,no
4818,US,"A little sweet and jammy, this Grenache has pie-filling flavors of cherries and raspberries, enriched with brown sugar, cinnamon, anise and cocoa. The richness is balanced with crisp acidity, but the wine is fundamentally simple and charming.",Thompson Vineyard Granddaddy,85,25.0,California,Santa Barbara County,Central Coast,,,Vino Sapien 2006 Thompson Vineyard Granddaddy Grenache (Santa Barbara County),Grenache,Vino Sapien,red,no
4833,US,"A bit too brittle and tart to earn a higher score. Could be bottle shock, but it's hard to tell. Tasted in May, the wine showed mint-infused cherry flavors and turned sharp on the finish. Made from 100% Grenache.",Grenache,85,32.0,California,Santa Ynez Valley,Central Coast,,,Zaca Mesa 2006 Grenache (Santa Ynez Valley),Grenache,Zaca Mesa,red,no
5152,Spain,"A steal for six bucks; the nose is floral and black, but under control. Meanwhile, the palate is bouncy, round and balanced, with juicy black plum and wild berry flavors. Clean and solid.",Viña Borgia,87,6.0,Northern Spain,Campo de Borja,,Michael Schachner,@wineschach,Borsao 2009 Viña Borgia Grenache (Campo de Borja),Grenache,Borsao,red,no
5156,Australia,"The 2007 Hickinbotham features attractive scents of ground spices, leather and red cherries, but doesn't seem to have the richness and depth of CH's other Grenaches this year. Tart cherry-berry fruit fades into finely textured tannins on the finish. Drink now–2015.",Hickinbotham,87,45.0,South Australia,Clarendon,,Joe Czerwinski,@JoeCz,Clarendon Hills 2007 Hickinbotham Grenache (Clarendon),Grenache,Clarendon Hills,red,no
5157,Australia,"Hints at cedar, spice and dark fruit on the nose, then turns unexpectedly tart on the palate. The tannins are soft, leaving the acidity to provide a counterbalance to the ripe fruit. Drink now.",The Custodian,87,19.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,D'Arenberg 2008 The Custodian Grenache (McLaren Vale),Grenache,D'Arenberg,red,no
5711,US,"20% whole-cluster fermented, this rich, brooding blend of Alder Ridge (86%) and Snipes Mountain Grenache brings notes of licorice, dark cherry, black pepper and mortared herbs. It's broad in feel, tart, fruit filled, and tightly wound, needing time in the cellar to unfurl.",Grenache,91,40.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Kerloo 2011 Grenache (Horse Heaven Hills),Grenache,Kerloo,red,no
5845,US,"Dried herb aromas are at the fore, along with notes of flowers and red fruit. The palate is full of medium-bodied fruit and savory flavors that bring a lightly tacky lip-smacking feel. It's hard to place it as Grenache exactly but it brings enjoyment all the same.",Ciel du Cheval,88,40.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Andrew Rich 2014 Ciel du Cheval Grenache (Columbia Valley (WA)),Grenache,Andrew Rich,red,no
6242,US,"This nervy and vibrant wine takes time to reveal the intriguing flavors within. Quite tart and tannic at first, it is firm in texture to balance the ripe, sweet plum, marascino cherry and orange peel aromas. While chewy and lip-smacking in the beginning, deeper flavors come through on the second and third sips, and a smoky nuance develops on the finish.",Grenache,90,35.0,California,El Dorado,Sierra Foothills,Jim Gordon,@gordone_cellars,Donkey & Goat 2013 Grenache (El Dorado),Grenache,Donkey & Goat,red,no
6451,US,"Using Grenache sourced from the moderately cool Lonesome Springs Vineyard, this is slightly leafy, with notes of forest floor, blueberry and blackberry. This is the first pure Grenache ever made by Brian Carter. It doesn't just taste like a big bowl of berries; it has power and depth to spare.",1,91,50.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Brian Carter Cellars 2010 1 Grenache (Columbia Valley (WA)),Grenache,Brian Carter Cellars,red,no
7222,US,"Bright and generously oaked, this wine is ripe and softly layered, an explosion of strawberry and raspberry that takes on a jammy consistency of power and big flavor.",Grenache,90,36.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Kokomo 2015 Grenache (Dry Creek Valley),Grenache,Kokomo,red,no
7496,US,"Sharp and rustic, with medicinal, LifeSaver candy cherry flavors that finish with a scour of acidity.",Grenache,83,28.0,California,Lake County,,,,Shannon Ridge 2006 Grenache (Lake County),Grenache,Shannon Ridge,red,no
7849,Australia,"A soft, round wine that almost seems designed for glugging. Dusty earth and dried grass aromas give way to a sweet, alcoholic attack filled with red berries and cherries. The warm, spirity finish leaves you glowing and reaching for another sip. —J.C.",Bradey Block,87,20.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Oliverhill 2000 Bradey Block Grenache (McLaren Vale),Grenache,Oliverhill,red,no
8067,US,"Sonoma's Roessler brothers deliver a great Grenache, with cinnamon spice, rose petals, squeezed strawberries and pie crust on the nose. Bright acidity shines on the palate, with red berries and strawberry spritzer flavors. Good tension between tannins and bitterness leads to a mouthwatering finish.",Camp 4 Vineyard,91,34.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,R2 2012 Camp 4 Vineyard Grenache (Santa Ynez Valley),Grenache,R2,red,no
8357,US,"Somewhat reserved on the nose, this shows raspberry, squeezed tangerine and orange blossom aromas with some swirling. The sip is quite high-toned at first, with wet slate flavors, then come slightly sweeter touches of wild berry and red cherry.",Rose,87,18.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Broken Earth 2015 Rose of Grenache (Paso Robles),Grenache,Broken Earth,rose,no
8761,US,"An aromatically intriguing wine with notes of pepper, cherry cola, chocolate and herbs. It's medium bodied, flavorful with generous cherry notes and a fleshy feel.",Purple Reign Destiny Ridge Vineyard,89,42.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Alexandria Nicole 2012 Purple Reign Destiny Ridge Vineyard Grenache (Horse Heaven Hills),Grenache,Alexandria Nicole,red,no
8991,US,"Pale in color, this 100% Grenache has arresting, complex aromas of candied strawberries, pomegranate, herbs, plum and orange peel. The red fruit and savory flavors are sweet and generous, showing an exquisite sense of purity and richness. It's a knee-buckler but all about delicacy and restraint.",Little G,93,65.0,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Rôtie Cellars 2013 Little G Grenache (Washington),Grenache,Rôtie Cellars,red,no
9004,Australia,"A solid effort that should have broad commercial appeal, Yangarra's 2006 Grenache displays a squeaky-clean bouquet of black cherries, mixed berries and a touch of vanilla. It's soft and velvety in the mouth, with a full, round presence, mixed fruit flavors and a touch of wood spice. Drink now–2010.",Old Vine Single Vineyard,88,25.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Yangarra Estate Vineyard 2006 Old Vine Single Vineyard Grenache (McLaren Vale),Grenache,Yangarra Estate Vineyard,red,no
9184,US,"Joe Barton, who's made Grey Wolf wines since 1994, launched this brand inspired by pop songs in 2011. This Counting Crows ode delivers aromas of raspberry-laced black tea, clove and cardamom. It's soft and inviting on the palate, with anise, mocha and blackberry flavors that finish with a wash of tobacco. It was still quite tight after hours of being opened, perhaps due to the 35% whole cluster maceration. Drink 2017–2023.",Mr. Jones,92,36.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Barton 2011 Mr. Jones Grenache (Paso Robles),Grenache,Barton,red,no
9237,Australia,"The d'Arenberg style favors structure over plushness, even in Grenache. This is crisp and firm, its cranberryish fruit tinged with hints of raspberry, orange zest, cinnamon and clove. Give it a few years to soften. Drink 2020–2030.",The Derelict Vineyard,91,29.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,D'Arenberg 2013 The Derelict Vineyard Grenache (McLaren Vale),Grenache,D'Arenberg,red,no
