,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
74,US,This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.,Estate Grown,86,55.0,California,Calistoga,Napa,Virginie Boone,@vboone,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),Petite Sirah,Hindsight,red,no
254,US,"The winery has a good track record with this bottling, which shows how well Petite Sirah does in the warmer St. Helena appellation of Napa Valley. This '08 is dryish to moderately sweet in jammy blackberries and blueberries, with a smoked meat, bacon edge. But it's also firmly tannic, which provides a framework for the sweetness.",Petite Sirah,89,45.0,California,St. Helena,Napa,,,David Fulton 2008 Petite Sirah (St. Helena),Petite Sirah,David Fulton,red,no
562,US,"This is big boisterous wine from Elias Fernandez and Doug Shafer that has been given some nice time in bottle after four years in new French oak. It's a viscous, black-as-night kind of experience. Coconut macaroon and juicy blackberry and blueberry substantiate structured, integrated tannin, finishing with an unexpected elegance.",Petite Sirah,93,65.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Eighty Four 2010 Petite Sirah (Napa Valley),Petite Sirah,Eighty Four,red,no
671,US,"The winery's larger bottling of the variety, one it has mastered for decades, this wine is a mix of baked plum and rustic leather notes. It's softly tannic, with pronounced jolts of tobacco and black pepper. With small amounts of other Rhône varieties, from Syrah to Viognier, it meanders to the finish, with a distinct trace of minerality.",Petite Sirah,90,45.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Stags' Leap Winery 2012 Petite Sirah (Napa Valley),Petite Sirah,Stags' Leap Winery,red,no
885,US,"So soft, silky and sweet in blackberries, cherries and red currants, it could be a big, ripe Pinot Noir. That's a compliment. Petite Sirah can often be overpowering. This one's delicate, elegant and frankly delicious. Best now and over the next four years.",Petite Sirah,90,27.0,California,Dry Creek Valley,Sonoma,,,Kokomo 2008 Petite Sirah (Dry Creek Valley),Petite Sirah,Kokomo,red,no
1157,US,"Old vine Petite Sirah fortified with brandy in the Port style, this very sweet wine could benefit from some time in the bottle. It's quite rich in chocolate, black currant and spice flavors wrapped into smooth, thick tannins, with a burn of alcohol on the finish.",L'Anima,87,60.0,California,Mendocino,,,,Gemella 2005 L'Anima Petite Sirah (Mendocino),Petite Sirah,Gemella,red,no
1271,US,"Whoa... need... water. Michael David's Earthquake is all about impact, no bones about it. And this one won't disappoint people who like their wine like finely aged Scotch, high in alcohol. For them, its bold smoky chocolate, savory bacon on toast notes will be delightful.",Earthquake,85,26.0,California,Lodi,Central Valley,Virginie Boone,@vboone,Michael David 2009 Earthquake Petite Sirah (Lodi),Petite Sirah,Michael David,red,no
1317,US,"A bright, floral fragrance invites one to further explore this softly structured wine. It's layered with ripe red fruit, leather and pepper flavors that are carried into the finish by tight, grippy tannins.",Estate,90,42.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Viszlay Vineyards 2013 Estate Petite Sirah (Russian River Valley),Petite Sirah,Viszlay Vineyards,red,no
1360,US,"It's hard to get around the tannins that battle in this wine, which is savory and dark with a smoky aura. Lay it down another couple of years or let it air out a bit before pouring.",Petite Sirah,86,23.0,California,North Coast,North Coast,Virginie Boone,@vboone,Penumbra 2010 Petite Sirah (North Coast),Petite Sirah,Penumbra,red,no
2020,US,"It's a midnight-black wine, full-bodied and tannic, with immense black currant, grilled meat and black pepper flavors that finish bone dry. Already throwing some sediment, it will live for two decades, without gaining in complexity. Drink now–2025.",Petite Sirah,87,28.0,California,Santa Barbara County,Central Coast,,,Santa Barbara Winery 2010 Petite Sirah (Santa Barbara County),Petite Sirah,Santa Barbara Winery,red,no
2085,US,"It's hard to make Petite Sirah smooth and elegant, but Newsome-Harlow has done it. The wine shows classically fine tannins, while the flavors run toward milk chocolate, ripe blackberries and lots of crushed black pepper. Delicious and refined, a great wine for peppersteak.",El Portal,90,24.0,California,Calaveras County,Sierra Foothills,,,Newsome-Harlow 2007 El Portal Petite Sirah (Calaveras County),Petite Sirah,Newsome-Harlow,red,no
2202,US,"Produced by the Terravant facility in Buellton, this shows lots of smoked pork and bacon fat against a boysenberry-fruit frame on the nose. Flavors are quite sanguine, with iron and blood elements, as well as more smoke and some dried herbs.",Petite Sirah,88,32.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Tines 2013 Petite Sirah (Paso Robles),Petite Sirah,Tines,red,no
2550,US,"A single vineyard expression from this winery's newish vineyard, this shows pressed purple flowers, deep blueberries and a touch of tar on the nose. The flavors are dense, dark and framed by strong tannins, with elderberry, pencil lead and deep lilac syrup gaining intrigue from white sage, white pepper and raw beef tones.",St. Eva Hill Vineyard,89,35.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,San Simeon 2012 St. Eva Hill Vineyard Petite Sirah (Paso Robles),Petite Sirah,San Simeon,red,no
2639,US,"A solid Petite Sirah. You can use it in a wine education class as a textbook example of the variety. It's full bodied, tannic and rich in blackberry, blueberry, crème de cassis, cola, grilled meat and black pepper flavors, enhanced by oak. Should age effortlessly, without gaining complexity, for many years.",Brown Barn Vineyard,90,24.0,California,Alexander Valley,Sonoma,,,J. Rickards 2009 Brown Barn Vineyard Petite Sirah (Alexander Valley),Petite Sirah,J. Rickards,red,no
2875,US,"Pretty expensive for a Petite Sirah, but it really is fantastic. Shows the variety's powerful tannins and fruit, with a velvety texture framing jammy blackberries, blueberries, carob, vanilla, exotic spices and smoky cedar. Will develop for many years, but there's no reason not to drink it now.",Petite Sirah,91,55.0,California,Calistoga,Napa,,,Chase 2009 Petite Sirah (Calistoga),Petite Sirah,Chase,red,no
2880,US,"Shows Petite Sirah's tremendous power, with full-bodied blackberry jam, black currant, dark chocolate and pepper flavors, and there's a wonderful meatiness suggesting charred beef fat. The alcohol is high, yet the wine is measured, with firm, ripe tannins. Really a fine expression of Petite Sirah, Paso-style.",Rose,91,36.0,California,Paso Robles,Central Coast,,,MCV 2011 Rosewynn Vineyard Petite Sirah (Paso Robles),Petite Sirah,MCV,rose,no
3028,US,"This is so chocolaty and rich, it's impossible to resist a second or third glass. Although it's heady in alcohol, there's an excellent burst of acidity, and the texture is pure velvet. The blackberry tart, orange zest, spice and sandalwood flavors change continuously as the wine warms in the glass.",Library Vineyard,92,38.0,California,Napa Valley,Napa,,,Turley 2010 Library Vineyard Petite Sirah (Napa Valley),Petite Sirah,Turley,red,no
3029,US,"This is classically proportioned in the warm-climate style. It provides a textbook example of the variety's inky black and purple color, rich, thick tannins and elaborate flavors. These flavors include profoundly ripe summer blackberry and mulberry, smoky, umami-rich bacon and sweet sandalwood. Full-bodied and dry, this is a wine to warm the blood on cold winter nights.",Pesenti Vineyard,92,35.0,California,Paso Robles,Central Coast,,,Turley 2010 Pesenti Vineyard Petite Sirah (Paso Robles),Petite Sirah,Turley,red,no
3230,US,"Shows the dark color, thick tannins and deep, concentrated flavors you expect from Petite Sirah. It's a big gulp of blackberry jam, espresso, dark chocolate and crushed black pepper, and the finish is thoroughly dry. Lacks the acidic vibrancy needed for aging, but a fine wine to drink now.",Truehart Vineyard,88,35.0,California,Sonoma Valley,Sonoma,,,Trueheart 2010 Truehart Vineyard Petite Sirah (Sonoma Valley),Petite Sirah,Trueheart,red,no
3364,US,"This full-bodied wine has a big impact on the palate due to smoky, meaty flavors, very firm tannins and an overall huge personality. It starts with aromas of charcoal and charred oak, goes to ripe, rich but not sweet fruit flavors, and finishes with all that grip as well as lingering smoky nuances.",Shake Ridge Ranch,92,45.0,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Aratás 2011 Shake Ridge Ranch Petite Sirah (Amador County),Petite Sirah,Aratás,red,no
