,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
986,Portugal,"This is a sweet, rich Port. Its aromas are of soft berry jelly, with a ripe herbal character. To taste, it is concentrated, but the sweetness of the fruit masks its density. Berry and dried fruits make an attractive blend, leaving a firmer structure in the aftertaste.",Late Bottled Vintage,88,,Port,,,Roger Voss,@vossroger,Quinta de la Rosa 2004 Late Bottled Vintage  (Port),Port,Quinta de la Rosa,red,no
1065,Portugal,"Ripe and fruity, this is already delicious, but that doesn't detract from the firm tannins and density of a wine that will age well. It has all the elements, with the fruit, solid tannins and a juicy aftertaste. Drink from 2025.",Quinta do Seixo Vintage,94,50.0,Port,,,Roger Voss,@vossroger,Sandeman 2015 Quinta do Seixo Vintage  (Port),Port,Sandeman,red,no
1073,Portugal,"Full of ripe fruit, this wine is rich while also having a delicately perfumed character. With its spice, generous fruits and sense of poise, it will age well. Drink from 2027.",Vintage,94,78.0,Port,,,Roger Voss,@vossroger,Quinta do Vesuvio 2015 Vintage  (Port),Port,Quinta do Vesuvio,red,no
1090,Portugal,"Ripe, fruity and balanced, this has the potential to be a delicious, not-too-concentrated wine. Acidity and some dry tannins give the wine a firm character that is balanced by the fragrant berry fruits. Drink from 2026.",Quinta da Gricha Vintage,94,60.0,Port,,,Roger Voss,@vossroger,Churchill's 2015 Quinta da Gricha Vintage  (Port),Port,Churchill's,red,no
1397,Portugal,"This LBV from the Bulas family vineyards, downriver from Pinhão is all ready to drink. It is fruity with just the right amount of structure. Fresh berry fruits are lifted by fine acidity and well integrated into the smooth, just tannic structure. Drink now.",Late Bottled Vintage,88,21.0,Port,,,Roger Voss,@vossroger,Bulas 2011 Late Bottled Vintage  (Port),Port,Bulas,red,no
1412,Portugal,"The balance between wood aging and fruit is at its best in this wine. It shows plenty of red fruits filled out with raisins and nutmeg. As a contrast the wood aging has brought out a spicy, almond character. It is fresh, on the dry side for an aged tawny and, of course, ready to drink.",10 Anos Old Tawny,88,30.0,Port,,,Roger Voss,@vossroger,Quinta dos Murças NV 10 Anos Old Tawny  (Port),Port,Quinta dos Murças,red,no
1494,US,"Made from authentic Port varieties, this dessert wine is quite sweet. The residual sugar is about 9.5%, giving a honeyed finish to the blackberry and chocolate flavors. It doesn't have the complexity for aging, so drink now.",Vintage Port,85,34.0,California,Paso Robles,Central Coast,,,Robert Hall 2005 Vintage Port Port (Paso Robles),Port,Robert Hall,red,no
2393,Portugal,"This wine is light in body but heavily perfumed. Clean fruit shows on the palate, with an addition of geranium aromas.",Vintage,87,80.0,Port,,,Roger Voss,@vossroger,Quinta do Vale Meão 2015 Vintage  (Port),Port,Quinta do Vale Meão,red,no
2920,Portugal,"The pink hue is a little flat. That also applies to the palate, with the fruit showing some maturity and hinting at wood aging. It's a rounded style, full in the mouth, with ripe caramel flavors at the end. Drink now.",Poças Pink,86,15.0,Port,,,Roger Voss,@vossroger,Poças NV Poças Pink  (Port),Port,Poças,red,no
3565,Portugal,"This LBV Port is powered by jammy damson and plum fruits along with dried figs and a juicy aftertaste. The palate is dry, with tannins just in evidence, although the balance is just right. Drink now.",Late Bottled Vintage,89,20.0,Port,,,Roger Voss,@vossroger,Delaforce 2011 Late Bottled Vintage  (Port),Port,Delaforce,red,no
