,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
20,US,"Ripe aromas of dark berries mingle with ample notes of black pepper, toasted vanilla and dusty tobacco. The palate is oak-driven in nature, but notes of tart red currant shine through, offering a bit of levity.",Vin de Maison,87,23.0,Virginia,Virginia,,Alexander Peartree,,Quiévremont 2012 Vin de Maison Red (Virginia),Red Blend,Quiévremont,red,no
28,Italy,"Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.",Mascaria Barricato,87,17.0,Sicily & Sardinia,Cerasuolo di Vittoria,,Kerin O’Keefe,@kerinokeefe,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Red Blend,Terre di Giurfo,red,no
31,Italy,"Merlot and Nero d'Avola form the base for this easy red wine that would pair with fettuccine and meat sauce or pork roast. The quality of the fruit is clean, bright and sharp.",Calanìca Nero d'Avola-Merlot,86,,Sicily & Sardinia,Sicilia,,,,Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),Red Blend,Duca di Salaparuta,red,no
33,US,"Rustic and dry, this has flavors of berries, currants, licorice and spices. Made from Cabernet Franc and Cabernet Sauvignon.",Puma Springs Vineyard,86,50.0,California,Dry Creek Valley,Sonoma,,,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,Envolve,red,no
45,US,"Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage.",#SocialSecret,86,40.0,Virginia,Virginia,,,,Tarara 2010 #SocialSecret Red (Virginia),Red Blend,Tarara,red,no
50,Italy,"This blend of Nero d'Avola and Syrah opens with savory aromas of cured meat, dried berry, cassis, tobacco and wet earth. There's a touch of almond bitterness on the finish.",Scialo,86,,Sicily & Sardinia,Sicilia,,,,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),Red Blend,Viticultori Associati Canicatti,red,no
54,Italy,"A blend of Nero d'Avola and Nerello Mascalese, this delivers forest berry and cola, with blue flower and dusty mineral accents. The palate is easy, bright and lean.",Rosso,85,,Sicily & Sardinia,Sicilia,,,,Corvo 2010 Rosso Red (Sicilia),Red Blend,Corvo,red,no
68,US,"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",Red Blend,86,12.0,California,California,California Other,Jim Gordon,@gordone_cellars,Cocobon 2014 Red (California),Red Blend,Cocobon,red,no
90,US,"This blend of Sangiovese, Malbec, Cabernet Sauvignon, Petite Sirah and other varieties plays well to type. It shows a wealth of ripe, dusty black fruit that's richly round and soft on the palate, approachable and lightly oaked.",Siena,88,23.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,Ferrari-Carano,red,no
104,Italy,"Made with 65% Sangiovese, 20% Merlot and 15% Cabernet Sauvignon, this has subtle aromas of black-skinned fruit and thyme. The easygoing palate delivers black cherry and cinnamon alongside smooth tannins.",Nativo,87,16.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,Madonna Alta,red,no
106,Italy,"A blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Sangiovese, this pleasant red has aromas of dark-skinned fruit, toast and a whiff of espresso. The light-bodied, straightforward palate offers cherry, red currant and a hint of light spice alongside zesty acidity and polished tannins.",Castiglioni,87,30.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,Marchesi de' Frescobaldi,red,no
109,Italy,"An easy-drinking blend of Merlot, Sangiovese and Cabernet Sauvignon, this opens with aromas of red berry, toast, herb and roasted coffee bean. The soft palate offers black cherry, mocha and a hint of coffee alongside bright acidity and silky tannins. Drink now.",Le Volte,87,30.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,Ornellaia,red,no
112,Italy,"Made with 90% Merlot and 10% Alicante, this easygoing red opens with delicate aromas suggesting red currant and baking spice. The straightforward palate delivers red plum and clove alongside soft tannins. Enjoy soon.",Semifonte,87,15.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,Podere Ciona,red,no
118,Italy,"A blend of 50% Cabernet Sauvignon, 30% Merlot and 20% Sangiovese, this offers aromas of black currant, caramel and mocha. The dense palate delivers toast, leather and cedar alongside teeth-coating tannins that grip the finish.",Toscano,87,80.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,Tenuta Forconi,red,no
161,US,"A hearty blend of 76% Zinfandel and 24% Petite Sirah, this bottling packs a wallop of cinnamon-stick on the nose as well as strawberry puree, licorice and black pepper. Clove, allspice, and nutmeg arise immediately on the sip, backed by baked plum and bay leaf notes.",Mr. Nibbles,91,35.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Red Blend,Chronic Cellars,red,no
164,Chile,"This blend of Cabernet Sauvignon, Syrah and Merlot opens with blackened aromas of charred oak and creosote, but it quickly sheds that oak-heavy character to display toasty flavors of olives, herbs and berry fruits. All together, this is a classic Chilean red blend, with fine tannins and patented lightly herbal, balsamic flavors. Drink through 2020.",Condesa Real Premium Blend,91,29.0,Aconcagua Valley,,,Michael Schachner,@wineschach,Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Red Blend,Conde de Velázquez,red,no
176,Chile,"Haven't seen this unusual combination of grapes in quite some time, and you know what, it's much better now than when we last saw it in 2001. This vintage has a nice, almost magnetic nose, while the palate is firm and well structured, with cassis, black cherry, coffee and licorice flavors. It's a bit boring on the finish, but the mouthfeel and length are just fine. Fruity, rich and balanced. 325 cases made.",Unusual Cabernet-Shiraz-Zinfandel,88,50.0,Maipo Valley,,,Michael Schachner,@wineschach,TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley),Red Blend,TerraMater,red,no
187,Italy,"This is a luminous, mature red wine with thick concentration and huge—almost too much—emphasis on toasted oak. Aromas recall vanilla, spice and coffee, although you will find blueberry and cherry on the finish: It is a blend of Nero d'Avola, Cabernet Sauvignon and Merlot.",Montenero,88,48.0,Sicily & Sardinia,Sicilia,,,,Abbazia Santa Anastasia 2003 Montenero Red (Sicilia),Red Blend,Abbazia Santa Anastasia,red,no
190,Italy,"Chocolate, espresso, plum and black currant are backed by smoky nuances and natural rubber. This muscular wine offers polished tannins and firm structure to the end. A bit of wine from the 2005 and 2006 vintages is blended in.",Campole,87,26.0,Southern Italy,Campania,,,,Fattoria Alois 2007 Campole Red (Campania),Red Blend,Fattoria Alois,red,no
192,Italy,"Here's an interesting blend of Corvina, Cabernet Sauvignon and Rondinella that reflects the aromas and power of each grape variety. The wine offers mature notes of cherry, clove, blackberry and cola: It tastes slightly sweet and very succulent.",Le Pietre Santambrogio,87,20.0,Veneto,Rosso del Veronese,,,,Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese),Red Blend,Aldegheri,red,no
213,US,"This blend of 60% Petite Sirah, 21% Syrah, 7% Grenache, 6% Petit Verdot, 5% Tannat and 1% Viognier is tightly wound but likely to improve with time. Opened now, it offers elderberry, black currant, pencil lead and loam on the nose, with lava rock, crème de cassis and kirsch flavors slowing emerging on the palate.",1105,90,48.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,MCV 2014 1105 Red (Paso Robles),Red Blend,MCV,red,no
229,US,"Not clear what the varietal blend is, but it's like a nice, easy southern Rhône wine. Soft and fruity, it's rich in jammy blackberry, cherry, Mandarin orange, chocolate and anise spice flavors.",Costa Del Sol,85,18.0,California,Napa Valley,Napa,,,Benessere 2005 Costa Del Sol Red (Napa Valley),Red Blend,Benessere,red,no
244,Spain,"Simple but well-maded wine with aromas of chewing gum, cherry and blackberry. It's a plump, sort of grabby red with sweet raspberry and chocolate flavors followed by a creamy, soft finish. Not much complexity but good fruit and depth. Not the least bit hard to drink. Good mass wine.",Herederos de François Lurton Villafrance de Duero,85,13.0,Northern Spain,Vino de la Tierra de Castilla y León,,Michael Schachner,@wineschach,J. & F. Lurton 2007 Herederos de François Lurton Villafrance de Duero Red (Vino de la Tierra de Castilla y León),Red Blend,J. & F. Lurton,red,no
257,South Africa,"This approachable Cabernet-based blend, which also has 18% Pinotage, 11% Cab Franc and 2% Shiraz, is a spicy and balanced red with notes of menthol, purple florals, black cherry and berry. With a mouthfeel like crushed velvet, a black pepper finish and an attractive price tag, it's a shame only 100 cases were produced.",The William,89,18.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Graham Beck 2007 The William Red (Coastal Region),Red Blend,Graham Beck,red,no
