,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
232,Australia,Lifted cedar and pine notes interspersed with appealing woodsy scents give way to a surprisingly intense palate that shows some nice peppery notes but ultimately falls short on the finish. Nearly imperceptible tannins suggest early consumption.,Red Belly Black,85,12.0,South Australia,South Australia,,,,Angove's 2006 Red Belly Black Shiraz (South Australia),Shiraz,Angove's,red,no
293,Australia,"This wine displays ample concentration in its inky color and potent aromas of dark berry fruit. There's a hint of raisining as well. In the mouth, it's mouthfilling but lacks a bit of texture; the flavors include dark plums, vanilla and hints of dried fruits, like figs and dates. With a finish that calls to mind chocolate fudge (minus the sugar), opt for drinking this wine over the relatively near term, now to 2020.",Green's Vineyard,92,70.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Kilikanoon 2009 Green's Vineyard Shiraz (Barossa Valley),Shiraz,Kilikanoon,red,no
356,Australia,"Dusty, firm, powerful: just a few apt descriptors for this vintage of one of Heathcote's top wines. Mocha, licorice and blackberries feature on the nose, while the palate delivers more of the same—dark fruit, chocolate and plenty of spice. Best after 2020.",Georgia's Paddock,95,85.0,Victoria,Heathcote,,Joe Czerwinski,@JoeCz,Jasper Hill 2013 Georgia's Paddock Shiraz (Heathcote),Shiraz,Jasper Hill,red,no
365,Australia,"The Taylor family selected Clare Valley for its Cabernet affinity, but this Shiraz is a knockout. Yes, it's oaky—full of menthol, vanilla and toasted coconut—but there's just enough black cherry and plum fruit to support the wood. It's a plush, full-bodied wine with immense appeal, for drinking now–2025.",St. Andrews Single Vineyard Release,95,60.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2013 St. Andrews Single Vineyard Release Shiraz (Clare Valley),Shiraz,Wakefield,red,no
628,Australia,"This plush, full-bodied wine is already delicious, delivering wave after wave of savory fruit flavor, something like soy-marinated, char-grilled beef. Tannins are supple enough to make this wine drinkable now, yet plentiful enough to suggest ample cellaring potential. Drink now-2030.",Alluvial Fans,92,35.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Kangarilla Road 2012 Alluvial Fans Shiraz (McLaren Vale),Shiraz,Kangarilla Road,red,no
636,Australia,"The Torbreck wines, with the emphasis they place on ripeness, can sometimes be controversial. This one is full bodied and rich, with dense plum and chocolate notes that verge on being fudge-like. But those elements are lifted slightly by hints of mint and bacon. Mocha joins the party on the long finish. Drink now–2025.",The Factor,92,125.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Torbreck 2010 The Factor Shiraz (Barossa Valley),Shiraz,Torbreck,red,no
893,Australia,"This is an unusually complex Shiraz for the price, ably marrying meaty-savory notes with tart berries and plenty of weight on the palate. Crisp structure, finishes long, with lingering acids. Drink now–2018.",Heavy Metal,90,15.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Hungerford Hill 2008 Heavy Metal Shiraz (South Eastern Australia),Shiraz,Hungerford Hill,red,no
997,Australia,"Blended from a patchwork of old vineyards throughout the Barossa, this is typical Barossa Shiraz, with plenty of weight and creamy tannins that support plummy, chocolaty fruit. There's a bit of spice for complexity and a crisp, fresh finish. Drink now–2014.",Patchwork,88,18.0,South Australia,Barossa,,Joe Czerwinski,@JoeCz,Yalumba 2006 Patchwork Shiraz (Barossa),Shiraz,Yalumba,red,no
1008,Australia,"Intense and focused, this good value Coonawarra opens with notes of leather and polished wood overlaid with red-berry fruit. Tannins are smooth, but there's plenty of lip-smacking acidity to keep the cherry cordial and plum fruit flavors lively. Drink now. Imported by Freixenet USA.",Shiraz,88,14.0,South Australia,Coonawarra,,,,Nick Faldo 2005 Shiraz (Coonawarra),Shiraz,Nick Faldo,red,no
1074,Australia,"Sourced from vines planted in 1847, this is a full-bodied, open-knit wine, supple and velvety in texture. Vanilla cream and black cherries mark the nose, while the flavors are more savory, resembling black olives and grilled meat. It's long and lush on the finish. Drink it now through 2025.",Moorooroo,94,100.0,South Australia,Barossa Valley,,Joe Czerwinski,@JoeCz,Schild Estate 2013 Moorooroo Shiraz (Barossa Valley),Shiraz,Schild Estate,red,no
1154,Australia,"This wine boasts admirable complexity, but comes across as a bit angular, with the acids maybe a touch too prominent. Still, the flavors of mint, pepper and meat layered over plum and raspberry fruit offer a lot to like, and the acids may actually make this wine more versatile with food than many more unctuous Shiraz.",Old Vine,87,19.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Fire Block 2004 Old Vine Shiraz (Clare Valley),Shiraz,Fire Block,red,no
