,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
18,Spain,"Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.",Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza,87,28.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Tempranillo Blend,Pradorey,red,no
680,Spain,"Plum, prune and raspberry aromas are solid. This shows a bright, juicy palate along with traditional Rioja flavors of vanilla, tobacco, savory oak and dried red-berry fruits. Drink through 2018.",Selección Crianza,90,25.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Bodegas Berceo 2011 Selección Crianza  (Rioja),Tempranillo Blend,Bodegas Berceo,red,no
820,Spain,"Cherry and cassis aromas are a touch flat and jammy. This shows grabby tannins as well as loamy, earthy, lightly bitter flavors of black fruits. The finish lumbers along with size and tannic grip, but overall this blend of 65% Tempranillo, 25% Graciano and 10% Garnacha shows well.",Made With Organic Grapes,86,12.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Navardia 2013 Made With Organic Grapes  (Rioja),Tempranillo Blend,Navardia,red,no
943,Spain,"Slightly gritty aromas are just barely ripe enough. This feels tight, acidic and like tomato juice. Flavors of salty berry fruits, tomato, oak and vanilla are modest but complete. Given how cool 2013 was in Rioja, this is quite good.",Crianza,87,18.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Finca del Marquesado 2013 Crianza  (Rioja),Tempranillo Blend,Finca del Marquesado,red,no
989,Spain,"Mauro will always show you a lot, but frankly this 2005 seems soft and chunky. It has rich, baked, black-fruit aromas and then a mildly syrupy palate with huge blackberry and cassis flavors. The finish is wide and rich, but where are the tannins and structure that this wine is known for? Drink now for best results; it may not improve in the cellar. A Europvin, Christopher Cannan selection, imported by multiple importers, including Michael Skurnik Wines.",Tempranillo Blend,88,53.0,Northern Spain,Vino de la Tierra de Castilla y León,,Michael Schachner,@wineschach,Mauro 2005 Red (Vino de la Tierra de Castilla y León),Tempranillo Blend,Mauro,red,no
1053,Spain,"With tobacco, molasses, spearmint and baked fruit aromas, this finds itself squarely in the old school forum. The palate shows straight-ahead red fruit with light herbal and pepper accents. Snappy and a bit thin, but it offers all the basics.",Reserva,85,30.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Finca La Emperatriz 2000 Reserva  (Rioja),Tempranillo Blend,Finca La Emperatriz,red,no
1358,Spain,"This Rioja opens with a jumpy, lively, candied red-fruit aroma. It feels solid, rubbery and stout, with dark fruit flavors that are accented by mild resin and butter notes. Feels a little sticky on the finish, with firm tannins.",Tinto,86,10.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Burgo Viejo 2011 Tinto  (Rioja),Tempranillo Blend,Burgo Viejo,red,no
1753,Spain,"From the beginning, this crianza from a very good vintage is lacking. The nose is mulchy and cheesy, with almost no fruit character. The palate is edgy in feel, while leafy, stalky red-fruit flavors are salty and taste of vanilla and caramel.",Crianza,84,25.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Finca La Pica 2011 Crianza  (Rioja),Tempranillo Blend,Finca La Pica,red,no
1835,Spain,"Chunky, raisiny lead aromas come with more than enough vanilla, mocha and creamy oak backing. This has a lazy, baked, tannic feel and heavy flavors of candied blackberry and creamy oak. It smells and tastes forced.",Crianza,84,25.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Viña Arnáiz 2010 Crianza  (Ribera del Duero),Tempranillo Blend,Viña Arnáiz,red,no
2181,Spain,"Aromas of tobacco, wood grain, plum and cherry set up a plucky, lively palate with hard tannins. Spicy plum and berry flavors finish steady and drawing. Drunk now through 2023.",Reserva,90,30.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Eduardo Garrido García 2011 Reserva  (Rioja),Tempranillo Blend,Eduardo Garrido García,red,no
