,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
94,US,"Barrel notes are prominent, with aromas of Creamsicle and baking spice. The palate is broad and dry with stone-fruit and barrel flavors. It provides intrigue but the wood seems to get in the way at times.",Grand Klasse Reserve Lawrence Vineyards,88,22.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,Gård,white,no
607,US,"Named after the blending of Steelhead Run and Ox vineyard blocks, this appealing wine is fresh and varietal with notes of ripe peach and herbs. Aged six months in stainless steel and coming in at a low 12% alcohol, the fruit concentration is lighter in style but still offers enjoyment.",Steel-Ox,87,25.0,Oregon,Rogue Valley,Southern Oregon,Sean P. Sullivan,@wawinereport,Quady North 2011 Steel-Ox Viognier (Rogue Valley),Viognier,Quady North,white,no
633,Australia,"This full-bodied wine is rich without ever seeming overdone. Subtle smoke notes frame bold fruit—tangerine, pineapple and apricot—and gingery spice, while the finish is long, peppery and refreshing. Drink now–2020.",Viognier,92,60.0,Victoria,Yarra Valley,,Joe Czerwinski,@JoeCz,Yeringberg 2013 Viognier (Yarra Valley),Viognier,Yeringberg,white,no
724,US,"Peach, banana peel and a slight petrol note show mildly on the nose. The round palate boasts tart peach, pineapple rind and bitter lemon zest.",Mont Sec Vineyards,85,14.0,Texas,Texas,,Alexander Peartree,,Mont Sec 2015 Mont Sec Vineyards Viognier (Texas),Viognier,Mont Sec,white,no
829,US,"A clean, fresh wine, this opens with crisply varietal aromatics of citrus and orange blossom. The flavors follow suit, adding some fresh-cut pineapple as well; then the wine hits a wall and simply pulls up short.",Viognier,86,26.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Columbia Winery 2013 Viognier (Columbia Valley (WA)),Viognier,Columbia Winery,white,no
890,US,"If you like your Voigniers flamboyant, this one's for you. It's an explosion of tangerines, golden mangoes, peaches and pears, with buttery, creamy overtones and a finish of honey. Lots of zesty acidity adds a balancing scour to the mouthfeel.",Estate,90,28.0,California,Napa Valley,Napa,,,Phoenix Ranch 2009 Estate Viognier (Napa Valley),Viognier,Phoenix Ranch,white,no
944,US,"Sharply defined, this has piercing, penetrating high notes that are both floral and fruity. Its lemon and tangerine fruit is amped up with some alcoholic burn. Aerating it helps to smooth it out.",Estate,87,27.0,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Folin Cellars 2015 Estate Viognier (Rogue Valley),Viognier,Folin Cellars,white,no
972,US,"Sweet in jammy apricots and pineapples, with even richer notes of smoky vanilla and buttered toast. Crisp acidity fortunately provides some balance. From Venge Vineyards.",Viognier,85,23.0,California,Clarksburg,Central Valley,,,Saddleback 2008 Viognier (Clarksburg),Viognier,Saddleback,white,no
977,US,"Sweet and simple, with pleasantly exotic flavors of pineapples, green apples, pears, honeysuckle flowers, minerals, spices, vanilla, brown sugar and smoky oak. Easy to drink.",Estate Grown,85,16.0,California,Suisun Valley,North Coast,,,Ledgewood Creek 2007 Estate Grown Viognier (Suisun Valley),Viognier,Ledgewood Creek,white,no
987,Australia,"While lacking the vibrant fruit typical of the variety, there are some attractive hay and honey scents on nose. The full-bodied and soft-textured palate is cloaked in vanilla, which lingers on the finish.",Viognier,88,25.0,South Australia,Barossa Valley,,,,Sieber Rd 2007 Viognier (Barossa Valley),Viognier,Sieber Rd,white,no
1097,US,"This super-smooth late harvest effort is perfectly balanced among sugar/alcohol/acid components. Lively and rich, it offers concentrated flavors of limoncello, apricot and candied peaches. Drink it chilled for best effect.",StevensSweets Late Harvest,90,15.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Stevens 2012 StevensSweets Late Harvest Viognier (Yakima Valley),Viognier,Stevens,white,no
1262,US,"This wine opens sweet, smelling of lemon and grapefruit, and is appropriately creamy in mouthfeel, with a sliver of sweetness on the finish.",Viognier,85,20.0,California,Contra Costa County,Central Coast,Virginie Boone,@vboone,Hannah Nicole Vineyards 2010 Viognier (Contra Costa County),Viognier,Hannah Nicole Vineyards,white,no
