,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
0,Italy,"Aromas include tropical fruit, broom, brimstone and dried herb. The palate isn't overly expressive, offering unripened apple, citrus and dried sage alongside brisk acidity.",Vulkà Bianco,87,,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Nicosia 2013 Vulkà Bianco  (Etna),White Blend,Nicosia,white,no
22,Italy,"Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.",Ficiligno,87,19.0,Sicily & Sardinia,Sicilia,,Kerin O’Keefe,@kerinokeefe,Baglio di Pianetto 2007 Ficiligno White (Sicilia),White Blend,Baglio di Pianetto,white,no
26,Italy,"Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.",Dalila,87,13.0,Sicily & Sardinia,Terre Siciliane,,Kerin O’Keefe,@kerinokeefe,Stemmari 2013 Dalila White (Terre Siciliane),White Blend,Stemmari,white,no
32,Italy,"Part of the extended Calanìca series, this Grillo-Viognier blend shows aromas of honeysuckle and jasmine, backed by touches of cut grass and wild sage. In the mouth, it shows ripe yellow-fruit flavors.",Calanìca Grillo-Viognier,86,,Sicily & Sardinia,Sicilia,,,,Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),White Blend,Duca di Salaparuta,white,no
105,Italy,"Made predominantly with Trebbiano and Malvasia, along with Pinot Bianco, Pinot Grigio and Riesling Renano, this has inviting aromas of ripe orchard fruit and citrus. The round fruity palate doles out ripe apricot, orange zest and juicy pineapple.",Villa Antinori,87,14.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,Marchesi Antinori,white,no
113,Italy,"Made with Vermentino, Malvasia di Candia Aromatica and Petit Manseng, this easy-drinking white has aromas of fragrant white wild flower, citrus and white stone fruit. The ripe round palate offers apricot, lime and a hint of saline.",Poetico,87,19.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Poggioventoso 2015 Poetico White (Toscana),White Blend,Poggioventoso,white,no
127,France,"Attractive mid-gold color with intense aromas of ripe citrus and stone fruit, strong minerality and hints of spice. Racy with crisp acidity, juicy, rich and smooth texture with lots of concentrated, bright flavors of blood orange, peach, apricot, mango and spice. Strong minerality follows through to a long, precise, juicy finish.",Alsace One,91,13.0,Alsace,Alsace,,,,Pierre Sparr 2008 Alsace One White (Alsace),White Blend,Pierre Sparr,white,no
201,Italy,"Made with 60% Pinot Bianco, 30% Chardonnay and 10% Sauvignon Blanc, this boasts appealing aromas of acacia flower, nectarine and Alpine herb. The elegant palate delivers juicy Gala apple, yellow peach and a touch of ginger alongside fresh acidity.",Nova Domus Riserva,90,62.0,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,Terlan 2014 Nova Domus Riserva White (Alto Adige),White Blend,Terlan,white,no
208,South Africa,"A stony, flinty character leads the nose of this blend of 54% Sauvignon Blanc and 46% Sémillon, followed by scents of ripe peach, nectarine, freshly dried grass and herbs. The medium-weight palate offers more clean fruit flavors that result in a smooth, slightly creamy mouthfeel. Ample acidity lends freshness to the finish, alongside a lingering yellow flower character. Drink now–2019.",Reserve,90,40.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Delaire Graff 2013 Reserve White (Coastal Region),White Blend,Delaire Graff,white,no
267,Italy,"This vineyard-designate blend of Trebbiano and Grechetto opens with a luminous golden color and elegant aromas of stone fruit, citrus, Golden Delicious apple and mature pear. There's a pretty hint of vanilla and almond butter at the back.",Torre di Giano Vigna il Pino,89,40.0,Central Italy,Torgiano,,,,Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano),White Blend,Lungarotti,white,no
268,Italy,"This sophisticated white wine from the homeland of Italy's most robust reds (Ripasso and Amarone) shows a full, generous appearance with a golden-amber color. Stone fruit, toasted almond and candied lemon give it heft and consistency.",Terso,89,36.0,Veneto,Veneto,,,,Marchesi Fumanelli 2005 Terso White (Veneto),White Blend,Marchesi Fumanelli,white,no
274,Italy,"This is a gorgeous Italian white from northern Italy that boasts fragrant tones of spring flower and chopped herb backed by peach, honey and white almond. It's crisp, intense and would be perfect with basil Thai curry.",Estrosa,89,13.0,Piedmont,Monferrato,,,,Pico Maccario 2010 Estrosa White (Monferrato),White Blend,Pico Maccario,white,no
308,Greece,"This fuller-bodied white blend offers pineapple, kiwi and citrus on the nose, and a blend of full fruit and acidity on the palate. A balanced, easygoing white that is perfect for everyday poultry, vegetable and fish meals.",Asirtiko Athiri,87,18.0,Santorini,,,Susan Kostrzewa,@suskostrzewa,Domaine Sigalas 2010 Asirtiko Athiri White (Santorini),White Blend,Domaine Sigalas,white,no
328,US,"This New World blend of Sauvignon Blanc, Sémillon, Chardonnay and Viognier is very fruity. It offers a blast of pineapples, honeysuckles, peaches and figs, with a coating of oaky, vanilla buttercream.",Alluvium Blanc,86,16.0,California,Knights Valley,Sonoma,,,Beringer 2007 Alluvium Blanc White (Knights Valley),White Blend,Beringer,white,no
