province,country
Achaia,5
Aconcagua Costa,27
Aconcagua Valley,116
Aegean,22
Agioritikos,3
Ahr,9
Alenquer,7
Alentejano,937
Alentejo,182
Alenteo,1
Algarve,9
Alsace,2440
America,95
Amindeo,2
Amyndeon,5
Andalucia,189
Ankara,18
Apalta,12
Arcadia,1
Arizona,41
Armenia,2
Atalanti Valley,14
Atlantida,5
Attica,6
Australia Other,245
Austria,26
Awatere Valley,27
Baden,62
Bairrada,167
Beaujolais,1044
Beira Atlantico,14
Beira Interior,35
Beiras,18
Bekaa Valley,22
Beotia,1
Black Sea Coastal,3
Bordeaux,5941
Bot River,8
Brazil,7
Brda,7
Breede River Valley,1
Breedekloof,3
British Columbia,160
Bucelas,23
Buin,8
Bulgaria,9
Burgenland,672
Burgundy,3980
Bío Bío Valley,43
Cachapoal Valley,205
Cahul,3
California,36247
Campanha,4
Canada Other,1
Canelones,43
Canterbury,12
Cape Agulhas,1
Cape Peninsula,3
Cape South Coast,2
Cappadocia,10
Carnuntum,103
Casablanca & Leyda Valleys,3
Casablanca Valley,601
Casablanca-Curicó Valley,1
Catalonia,1164
Cauquenes Valley,9
Cederberg,8
Central Greece,1
Central Italy,1233
Central Otago,162
Central Spain,485
Central Valley,356
Cephalonia,8
Ceres Plateau,1
Chalkidiki,5
Champagne,1613
Chile,51
China,1
Choapa Valley,3
Coastal Region,132
Codru Region,2
Coelemu,1
Colares,2
Colchagua Costa,13
Colchagua Valley,830
Colorado,68
Commandaria,2
Connecticut,3
Constantia,24
Corinth,6
Corinthia,1
Crete,27
Croatia,1
Curicó Valley,239
Curicó and Leyda Valleys,3
Curicó and Maipo Valleys,2
Cyclades,2
Cyprus,3
Dalmatian Coast,1
Dan,2
Danube River Plains,19
Darling,8
Dealu Mare,31
Dealurile Hușilor,1
Dealurile Munteniei,9
Devon Valley,2
Dingač,1
Dolenjska,1
Douro,1281
Drama,40
Durbanville,12
Duriense,25
Dão,343
East Coast,7
Eger,13
Egypt,1
Eilandia,3
Eisenberg,16
Elazığ,5
Elazığ-Diyarbakir,1
Elgin,48
Elim,3
Ella Valley,4
Elqui Valley,53
England,74
Epanomi,17
Estremadura,44
Florina,13
France Other,676
Franken,43
Franschhoek,23
Fruška Gora,3
Galicia,410
Galil,13
Galilee,271
Georgia,13
Germany,12
Gisborne,10
Gladstone,1
Golan Heights,3
Goriska Brda,26
Goumenissa,3
Greece,13
Groenekloof,4
Guerrouane,3
Halkidiki,5
Haut-Judeé,4
Hawaii,1
