,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
140,Italy,"A big, fat, luscious wine with plenty of toasty oak, dark jammy fruit and spices. The palate showed the same lushness; with the fruit front and center with surprising length.  A delicious, rather hefty effort short on finesse but long on flavor.",Costa Bruna,90,26.0,Piedmont,Barbera d'Alba,,,,Poderi Colla 2005 Costa Bruna  (Barbera d'Alba),Barbera,Poderi Colla,red,no
304,Italy,This aged expression from the Nizza subzone of Asti offers tertiary aromas of dried tobacco and dried prune. The variety's characteristic acidity kicks in on the finish.,Vignassa,87,,Piedmont,Barbera d'Asti Superiore Nizza,,,,Cascina La Ghersa 2004 Vignassa  (Barbera d'Asti Superiore Nizza),Barbera,Cascina La Ghersa,red,no
665,Italy,"Fruity aromas of mature berry mingle with notes of dark cooking spice and chopped herbs on this savory, medium-bodied red. The round, concentrated palate offers juicy black cherry, crushed raspberry, clove and tobacco framed in firm acidity and a velvety texture.",Costa Bruna,90,25.0,Piedmont,Barbera d'Alba,,Kerin O’Keefe,@kerinokeefe,Poderi Colla 2013 Costa Bruna  (Barbera d'Alba),Barbera,Poderi Colla,red,no
1217,Italy,"Alluring aromas of dark-skinned berry, exotic spice and an earthy note of tilled soil come together in the glass. The elegant, structured palate delivers red currant, Marasca cherry and star anise alongside bright acidity and refined tannins. It's well balanced and delicious. Drink through 2022.",Piano Alto,93,33.0,Piedmont,,,Kerin O’Keefe,@kerinokeefe,Bava 2014 Piano Alto Barbera,Barbera,Bava,red,no
1928,Italy,"This is a pretty, well-made Barbera with an invitingly floral and fruity bouquet. The palate shows ripe black-fruit flavors accompanied by touches of spice, coffee and chocolate. This would be perfect with grilled meats.",Tre Rovere,87,25.0,Piedmont,Barbera d'Asti Superiore,,Kerin O’Keefe,@kerinokeefe,Pico Maccario 2011 Tre Rovere  (Barbera d'Asti Superiore),Barbera,Pico Maccario,red,no
2119,US,"Andis's 100% Barbera tempts with ripe, dried black-cherry and mint flavors, and toasty layers of coffee and toffee that linger until the finish.",Barbera,88,24.0,California,Amador County,Sierra Foothills,Virginie Boone,@vboone,Andis 2010 Barbera (Amador County),Barbera,Andis,red,no
2133,Italy,"Blackberry, tobacco and spice flavors give this an appropriate air of sophistication. It should pair with pizza or pasta.",Costalunga,88,10.0,Piedmont,Barbera d'Asti,,,,Bersano 2009 Costalunga  (Barbera d'Asti),Barbera,Bersano,red,no
2144,US,"Light aromas of red fruit, game and vanilla are followed by quite tart puckering fruit flavors. It needs food to counteract the screaming acid.",Goose Ridge Vineyard,84,28.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Oak Knoll 2011 Goose Ridge Vineyard Barbera (Columbia Valley (WA)),Barbera,Oak Knoll,red,no
2186,Italy,"This offers aromas of red berry, leafy underbrush and a whiff of chopped mint. The juicy palate delivers succulent black cherry, orange zest and ground pepper alongside sleek tannins.",Barbera,89,25.0,Piedmont,Barbera d'Alba Superiore,,Kerin O’Keefe,@kerinokeefe,Mirafiore 2015  Barbera d'Alba Superiore,Barbera,Mirafiore,red,no
2260,Italy,"Tonic and fresh with vibrant tones of wild berry and forest floor, there is a rustic, almost savage quality to this wine that is really quite attractive. It would pair well with home-cooked meals of hand-kneaded pasta or boiled meats.",Barbera,87,16.0,Piedmont,Barbera d'Asti,,,,Colle dei Venti 2006  Barbera d'Asti,Barbera,Colle dei Venti,red,no
2329,Italy,"Aromas of wet earth, leafy underbrush and dark berry lead the nose on this informal red. The simple palate is rather diluted but offers notes of dried black cherry, orange peel and nut alongside zesty acidity.",Barbera,85,20.0,Piedmont,Barbera d'Alba Superiore,,Kerin O’Keefe,@kerinokeefe,Arbéta 2013  Barbera d'Alba Superiore,Barbera,Arbéta,red,no
2498,US,"A fairly uncommon grape for the entire Central Coast, this bottling offers squeezed blueberry and dark purple fruit aromas bolstered by black pepper and black rocks. Lighter in body than expected upon the sip, the palate shows cola, bright cranberry juice and a sandalwood spice that makes it very easy to drink.",Barbera,88,40.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Lone Madrone 2012 Barbera (Paso Robles),Barbera,Lone Madrone,red,no
2943,US,"Acidity dominates this wine, giving it a tart, almost sour taste. Couple that with the sizable tannins, and you have an uncomfortable wine. Call it rustic, old world. The blackberry, currant, coffee and herb flavors are fine.",Cooper Ranch,84,22.0,California,Shenandoah Valley (CA),Sierra Foothills,,,Easton 2007 Cooper Ranch Barbera (Shenandoah Valley (CA)),Barbera,Easton,red,no
2969,US,"Tastes young, sharp in acids and jammy sweet right now, with upfront cherry, raspberry and blackberry flavors. But after all, it is a California Barbera, and these puppies age forever. Give it some time, but don't expect it ever to become sophisticated.",Grand Reserve,85,35.0,California,Sierra Foothills,Sierra Foothills,,,French Hill 2005 Grand Reserve Barbera (Sierra Foothills),Barbera,French Hill,red,no
3055,US,"This is an interesting medium-bodied wine from one of the oldest and largest wineries in the foothills. It is not heavy or rich, but has an appetizing dry flavor and firm texture. It will pair well with food since it has good balance.",Barbera,88,18.0,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Terra d'Oro 2014 Barbera (Amador County),Barbera,Terra d'Oro,red,no
3675,Italy,Cantina Tre Serre is a well-priced and informal Barbera with a thin and informal style backed by fruity freshness. There's even a tiny touch of effervescence that adds a perky and peppery sensation to the mouthfeel.,Cantina Tre Serre,84,11.0,Piedmont,Piedmont,,,,Vinchio-Vaglio Serra 2008 Cantina Tre Serre Barbera (Piedmont),Barbera,Vinchio-Vaglio Serra,red,no
3984,Italy,"The Valdinara is a soft, seductive wine showing plenty of jammy fruit, and a pleasant smoky spice. On the finish it is a touch stemmy, but it is so slight that it adds an exotic edge to the wine. Pleasant, not very intense and easy to like.",Barbera,85,23.0,Piedmont,Barbera d'Alba Superiore,,,,Valdinera 2005  Barbera d'Alba Superiore,Barbera,Valdinera,red,no
4068,Italy,"Fresh and structured, this offers aromas of ripe dark-skinned berry, mature plum, violet, coffee and baking spice. On the smooth palate, notes of chocolate, chopped mint and clove accent the black cherry core. Bright acidity and fine-grained tannins provide balance and structure.",La Court,90,50.0,Piedmont,Barbera d'Asti Superiore,,Kerin O’Keefe,@kerinokeefe,Michele Chiarlo 2012 La Court  (Barbera d'Asti Superiore),Barbera,Michele Chiarlo,red,no
4258,Italy,"Aromas of fig, baked plum, vanilla and a whiff of resin emerge on this forward wine. The evolved palate offers raisin, stewed fruit and clove alongside round tannins, but most of the fruit has dried up.",Bric de Maschi,85,19.0,Piedmont,Barbera d'Alba Superiore,,Kerin O’Keefe,@kerinokeefe,Le Vigne di Ca' Nova 2011 Bric de Maschi  (Barbera d'Alba Superiore),Barbera,Le Vigne di Ca' Nova,red,no
4416,Italy,"Made from organic grapes, this bright red opens with violet, red-skinned berry and white pepper scents. The juicy palate doles out ripe raspberry, red cherry and star anise notes, with fresh acidity and velvety tannins. Enjoy through 2020.",Rossofuoco,89,19.0,Piedmont,Barbera d'Asti,,Kerin O’Keefe,@kerinokeefe,Vite Colte 2016 Rossofuoco  (Barbera d'Asti),Barbera,Vite Colte,red,no
4653,Italy,"Representing four generations of winemaking, Vietti makes a strong show with this intense and vibrant ruby colored wine. Layers of toast, coffee and ripe red fruit reveal themselves to the nose with deep spice and clove that last long on the palate. This wine boasts solid structure and power.",Tre Vigne,89,,Piedmont,Barbera d'Asti,,,,Vietti 2003 Tre Vigne  (Barbera d'Asti),Barbera,Vietti,red,no
4705,Italy,"Warm and full-bodied, this opens with aromas of espresso, fig, dried berry, toasted oak and clove. The dense palate offers raisin, oak, roasted coffee bean and spearmint alongside round tannins. You'll also notice the heat of evident alcohol.",Bricco Paradiso,87,30.0,Piedmont,Barbera d'Asti Superiore,,Kerin O’Keefe,@kerinokeefe,Il Falchetto 2013 Bricco Paradiso  (Barbera d'Asti Superiore),Barbera,Il Falchetto,red,no
4710,Italy,"Aromas of dried berry, plum, rose and underbrush lead the nose. The easygoing palate offers raisin, blackberry jam, walnut and black pepper. Enjoy through 2017.",La Ribelle,87,20.0,Piedmont,Barbera d'Asti,,Kerin O’Keefe,@kerinokeefe,Montalbera 2014 La Ribelle  (Barbera d'Asti),Barbera,Montalbera,red,no
4713,Italy,"Toasted oak, coconut, espresso and exotic spice aromas come together in the glass. The firm palate offers blackberry, licorice and oak-driven spice alongside grainy tannins and brisk acidity.",Fiorenza Cascina Meriame,87,,Piedmont,Barbera d'Alba Superiore,,Kerin O’Keefe,@kerinokeefe,Paolo Manzone 2013 Fiorenza Cascina Meriame  (Barbera d'Alba Superiore),Barbera,Paolo Manzone,red,no
4716,Italy,"Aromas of mature plum, espresso, coconut and toasted oak lead the nose. The firm palate offers fig, blackberry jam, licorice and roasted coffee bean alongside firm, fine-grained tannins. The fruit is starting to dry up so drink sooner rather than later.",Armujan,87,28.0,Piedmont,Barbera d'Alba,,Kerin O’Keefe,@kerinokeefe,Podere Ruggeri Corsini 2012 Armujan  (Barbera d'Alba),Barbera,Podere Ruggeri Corsini,red,no
5112,Italy,"This full-bodied Barbera has ripe black-cherry aromas nuanced with toast and coffee notes. The palate is structured, with dark fruit flavors, pepper, toasted oak and espresso notes, but the drying wood tannins result in an abrupt finish. Grape Expectations and Massanois Imports.",Epico,86,45.0,Piedmont,Barbera d'Asti Superiore,,Kerin O’Keefe,@kerinokeefe,Pico Maccario 2010 Epico  (Barbera d'Asti Superiore),Barbera,Pico Maccario,red,no
5113,Italy,"This is a straightforward and pleasant Barbera exhibiting ripe dark-fruit flavors, spice and fresh acidity. Cries out for food, and will pair beautifully with soups, pastas and white meats. Grape Expectations and Massanois Imports.",Lavignone,86,17.0,Piedmont,Barbera d'Asti,,Kerin O’Keefe,@kerinokeefe,Pico Maccario 2012 Lavignone  (Barbera d'Asti),Barbera,Pico Maccario,red,no
5669,US,"Deep color and lots of concentration make this full-bodied wine stand out. It has smoky, black-peppery aromas along with ripe but not sweet blackberry and black-cherry flavors. Firm tannins add texture. This boldness needs rich food for a pairing.",Reserve,90,37.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Naggiar 2014 Reserve Barbera (Sierra Foothills),Barbera,Naggiar,red,no
5685,Italy,"This youthful expression of Barbera comes forth with ripe and raw aromas of black fruit, plum, prune and wild berries. You really feel the freshness of the fruit here and this wine would pair perfectly with pasta or pizza.",Barbera,88,19.0,Piedmont,Barbera d'Asti,,,,Damilano 2009  Barbera d'Asti,Barbera,Damilano,red,no
6195,Italy,"This opens with black-skinned berry, clove and cooking spice aromas. The straightforward palate shows ripe black cherry, black plum and white pepper notes alongside smooth tannins. Drink soon.",Lavignone,87,16.0,Piedmont,Barbera d'Asti,,Kerin O’Keefe,@kerinokeefe,Pico Maccario 2016 Lavignone  (Barbera d'Asti),Barbera,Pico Maccario,red,no
6306,US,"There's big, stewy fruit happening within the midst of this soft wine. What brings it down is the finish, slightly bitter like a sour cherry.",Barbera,83,14.0,California,California,California Other,Virginie Boone,@vboone,Sobon Estate 2011 Barbera (California),Barbera,Sobon Estate,red,no
6707,Italy,"Stunning aromas of rose, violet, licorice, Asian spices and mature dark-skinned fruit waft out of the glass. The juicy, savory palate offers wild cherry, crushed raspberry, orange zest, anise, clove and chopped herbs alongside bright acidity and soft, supple tannins. A fantastic Barbera.",Ciabot del Fì,91,,Piedmont,Barbera d'Alba,,Kerin O’Keefe,@kerinokeefe,Brovia 2012 Ciabot del Fì  (Barbera d'Alba),Barbera,Brovia,red,no
7069,Italy,"Aromas of scorched earth, game, burned rubber and a funky whiff of barnyard waft out of the glass and carry over to the dense palate along with raisin, fig, licorice and a gamy note. It's rustic and extremely evolved with an abrupt, bitter finish.",Vigna Campo del Gatto,84,30.0,Piedmont,Barbera d'Alba,,Kerin O’Keefe,@kerinokeefe,Costa di Bussia 2011 Vigna Campo del Gatto  (Barbera d'Alba),Barbera,Costa di Bussia,red,no
7142,Italy,"A warm easygoing wine with aromas of black cherry, menthol and earth. On the palate, the flavors were less intense, and the mint and fruit character had not entirely resolved themselves. The finish, though, was solid and it would probably benefit from a couple of years of cellaring.",Bricco delle Olive,85,25.0,Piedmont,Barbera d'Alba Superiore,,,,Palladino 2005 Bricco delle Olive  (Barbera d'Alba Superiore),Barbera,Palladino,red,no
7156,Italy,"A promising nose of blueberries, vanilla and spices. On the palate it was less exciting; the fruit was  muted, and there was not much else showing. The finish proved surprisingly long, and as the wine lay in the glass, it did show signs of improvement.",Rosa del Marchese,84,19.0,Piedmont,Barbera d'Asti,,,,Gruppo Casaleone 2001 Rosa del Marchese  (Barbera d'Asti),Barbera,Gruppo Casaleone,red,no
7157,Italy,"A pleasant wine to drink, and a decent value. On the nose, it shows sweet, slightly roasted fruit, a touch of earth, but on the palate, although it begins well, the flavors disappears half way in, so there is little at the end and a thin finish.",Le Orme,84,13.0,Piedmont,Barbera d'Asti,,,,Michele Chiarlo 2005 Le Orme  (Barbera d'Asti),Barbera,Michele Chiarlo,red,no
7161,Italy,"This was a difficult wine to taste. It was seriously extracted but it did not show a lot of fruit, and showed a slightly sweaty component. On the palate it was heavy and slightly coarse, but redeemed itself with a medium finish where some fruit came through.",Lurëi,83,27.0,Piedmont,Barbera d'Asti Superiore,,,,Il Falchetto 2004 Lurëi  (Barbera d'Asti Superiore),Barbera,Il Falchetto,red,no
7453,Italy,"This informal red has delicate black-skinned fruit and baking spice aromas. The simple palate suggests black plum and clove, with a touch of tobacco. It's not very intense and already extremely accessible, so drink soon.",Cursus Vitae,86,18.0,Piedmont,Barbera d'Asti,,Kerin O’Keefe,@kerinokeefe,CarlindePaolo 2016 Cursus Vitae  (Barbera d'Asti),Barbera,CarlindePaolo,red,no
7454,Italy,"This leads with subtle black plum and cooking spice scents. The simple palate shows clove, tobacco and blackberry flavors. Drink soon.",Roccanera,86,16.0,Piedmont,Barbera d'Asti Superiore,,Kerin O’Keefe,@kerinokeefe,Cascina Radice 2015 Roccanera  (Barbera d'Asti Superiore),Barbera,Cascina Radice,red,no
7478,Italy,"This wine's subdued baking spice, clove and mature black-skinned fruit aromas follow through to the lively, simple palate. Round tannins provide easygoing support. Drink soon.",S. Martino,86,12.0,Piedmont,Barbera d'Asti Superiore,,Kerin O’Keefe,@kerinokeefe,Cascina Radice 2015 S. Martino  (Barbera d'Asti Superiore),Barbera,Cascina Radice,red,no
7633,US,"Bright fruit flavors light up this tart, medium-bodied wine. It smells like raspberries and red cherries, tastes crisp and bright and has a light nip of cranberry-like astringency.",Barbera,87,30.0,California,Shenandoah Valley (CA),Sierra Foothills,Jim Gordon,@gordone_cellars,Wilderotter 2014 Barbera (Shenandoah Valley (CA)),Barbera,Wilderotter,red,no
8431,US,"There are lots of dried tones to the nose: herbs, meat and hay. The palate shows more fruit, with tart cherry and raspberry flavors giving a snappy resistance to the grippy, sandy tannins.",Barbera,85,22.0,Nevada,Nevada,,Alexander Peartree,,Nevada Ridge 2011 Barbera (Nevada),Barbera,Nevada Ridge,red,no
8804,US,"Sourced from the Lonesome Spring Ranch vineyard, this pure Barbera offers light cranberry fruit flavors, tart and puckery, retaining a sense of freshness despite being released more than four years after the vintage. Pretty cherry candy flavors come up in the back, leaving a pleasing impression. Drink up soon before the wine starts to fade.",Barbera,87,25.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Locati Cellars 2009 Barbera (Columbia Valley (WA)),Barbera,Locati Cellars,red,no
9060,Italy,"This dense, savory wine has tobacco, black-skinned berry and red plum aromas and licorice, blackberry jam and black pepper flavors. Fine-grained tannins provide support. Drink through 2022.",Adornes,89,41.0,Piedmont,Barbera d'Asti Superiore,,Kerin O’Keefe,@kerinokeefe,Castello Gabiano 2011 Adornes  (Barbera d'Asti Superiore),Barbera,Castello Gabiano,red,no
9063,Italy,"This textbook Barbera opens with classic varietal aromas of dark berry, blue flower and ground spice. The vibrant, full-flavored palate offers juicy black cherry, crushed raspberry and licorice notes alongside fresh acidity and smooth tannins. It's made for sheer drinking pleasure, so enjoy soon.",L'Avvocata,89,15.0,Piedmont,Barbera d'Asti,,Kerin O’Keefe,@kerinokeefe,Coppo 2016 L'Avvocata  (Barbera d'Asti),Barbera,Coppo,red,no
9078,Italy,"Intense aromas of blackberry, violet and eucalyptus take shape in this. The juicy, concentrated palate doles out raspberry jam, ripe black cherry, clove and licorice flavors framed by fine-grained tannins. Enjoy through 2022.",Galileo,89,22.0,Piedmont,Barbera d'Asti Superiore,,Kerin O’Keefe,@kerinokeefe,Vigne dei Mastri 2014 Galileo  (Barbera d'Asti Superiore),Barbera,Vigne dei Mastri,red,no
9080,Italy,"This leads with forest floor, blue flower and black-skinned berry aromas while the structured, savory palate offers black cherry, red plum and Asian spice hints. Supple tannins and vibrant acidity provide easygoing support and freshness. Enjoy through 2021.",La Luna e i Falò,89,30.0,Piedmont,Barbera d'Asti Superiore,,Kerin O’Keefe,@kerinokeefe,Vite Colte 2015 La Luna e i Falò  (Barbera d'Asti Superiore),Barbera,Vite Colte,red,no
9662,Italy,"Fresh and refined, this delightful, easy-drinking wine opens with scents of rose, woodland berry and a whiff of dark cooking spice. The vibrant, savory palate offers juicy red cherry, raspberry and white pepper alongside bright acidity and polished tannins. Drink through 2018.",Rose,90,25.0,Piedmont,Barbera d'Alba,,Kerin O’Keefe,@kerinokeefe,Cascina delle Rose 2013  Barbera d'Alba,Barbera,Cascina delle Rose,rose,no
9980,Italy,"Here's a plush, modern and thickly extracted Barbera d'Asti Superiore with a polished bouquet and well-dosed aromas of cherry, blackberry, spice, chocolate and tobacco. The wine is drying and crisp at the same time with polished tannins on the close.",Vigne Vecchie,89,,Piedmont,Barbera d'Asti Superiore,,,,Vinchio-Vaglio Serra 2007 Vigne Vecchie  (Barbera d'Asti Superiore),Barbera,Vinchio-Vaglio Serra,red,no
