,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
62,US,"The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.",Alder Ridge Vineyard,86,25.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Ram,red,no
167,US,"The addition of 15% Petite Sirah takes this bottling to a compelling place, showing barely ripe blackberries, animal fat, smoke, black pepper and a wild clove element on the nose. It's rich and layered on the palate, where chalky tannins support black cherry, grilled beef and mint flavors. This has the bones to last awhile.",Cabernet Franc,91,28.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Dracaena 2013 Cabernet Franc (Paso Robles),Cabernet Franc,Dracaena,red,no
199,US,"This is a beatifully balanced, not-too-full-bodied wine from vines grown at 2,400 feet in the Sierra range. It has classic black cherry, black olive and anise aromas, harmonious fruit flavors accented with light oak spiciness and a firm, fine-grained tannic structure.",Rising Starr Estate Bottled,90,28.0,California,Nevada County,Sierra Foothills,Jim Gordon,@gordone_cellars,Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc (Nevada County),Cabernet Franc,Sierra Starr,red,no
410,US,"An elegant nose of violet and blackberry gives this Cab Franc a graceful start. On the palate, soft cherry and blackberry flavors are punctuated by spice and pepper. An interesting sip that will pair well with fowl, beef.",Cabernet Franc,85,20.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Miles 2006 Cabernet Franc (Finger Lakes),Cabernet Franc,Miles,red,no
442,US,"Voluptuous blackberry and plum flavors are edged by hints of bitter coffee and spice in this richly bodied wine. Fringed by a bare feather of tannins, it's luscious in mouthfeel, with an unctuousness that persists luxuriously on the palate.",Caya,89,35.0,New York,Long Island,Long Island,Anna Lee C. Iijima,,Wölffer 2013 Caya Cabernet Franc (Long Island),Cabernet Franc,Wölffer,red,no
497,US,"This wine has the variety's trademark notes of herb, green bell pepper, with a woodsy qulaity. This is a full-bodied effort, bearing a long, spicy finish.",Babcock Vineyard,87,30.0,California,Suisun Valley,North Coast,Virginie Boone,@vboone,MICA Cellars 2009 Babcock Vineyard Cabernet Franc (Suisun Valley),Cabernet Franc,MICA Cellars,red,no
603,US,"Ripe and luscious, this decadent Cabernet Franc is chock full of ripe red cherry and plum fruit, accented with purple violets and fresh herb tones. It's bold in alcohol and soft in style, but delicately framed by brisk acidity and a ruffle of feathery tannins.",Cabernet Franc,87,36.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Peconic Bay Winery 2010 Cabernet Franc (North Fork of Long Island),Cabernet Franc,Peconic Bay Winery,red,no
693,US,"Although the fine mountain site straddles both Napa and Sonoma, this wine's fruit is all Sonoma, the bulk of it Cabernet Franc, with 17% Cabernet Sauvignon. Dried cranberry shows on the nose and palate, followed by chalky tannins and a refined use of oak, finishing in a bite of currant and cherry. Enjoy through 2017.",Cabernet Franc,91,65.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Pride Mountain 2012 Cabernet Franc (Sonoma County),Cabernet Franc,Pride Mountain,red,no
748,US,"The sweet scent of raspberry and strawberry preserves waft from this Cab Franc icewine from Casa Larga. On the palate as well, there's a nice concentration of preserved berry flavors that soar on the palate with a bright, sunny acidity. Finishes clean and long with just a hint of autumn leaves and bramble.",Fiori Delle Stelle Ice Wine,87,75.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Casa Larga 2008 Fiori Delle Stelle Ice Wine Cabernet Franc (Finger Lakes),Cabernet Franc,Casa Larga,red,no
843,US,"Aged for 20 months in 40% new French oak, this remains a tough nut to crack. It's encased in a hard tannic shell, with little ripe fruit, and is strongly flavored with barrel notes of tobacco and vanilla. Decant it or put it through an aerator.",Proprietor's Reserve,86,25.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Maryhill 2011 Proprietor's Reserve Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Maryhill,red,no
860,US,"Fresh cracked peppercorn, dense black and purple fruit and a cedar tone carry through the nose of this lavish yet nuanced bottling from a South Coast winery that practices extended aging before release. The elderberry fruit is hung on a strong tannic structure, bolstered by woody cigar box, incense, juniper and espresso flavors.",Erato De Portola Trail Vineyard,90,45.0,California,Temecula Valley,South Coast,Matt Kettmann,@mattkettmann,Gershon Bachus 2009 Erato De Portola Trail Vineyard Cabernet Franc (Temecula Valley),Cabernet Franc,Gershon Bachus,red,no
888,US,"A complex mix of wild berry, cherry and somewhat brambly fruits provides a substantial core to this wine. The fruit rolls on through a slightly chalky patch, then finishes with a flourish of toast and graphite.",Slide Mountain Vineyard,90,72.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Owen Roe 2009 Slide Mountain Vineyard Cabernet Franc (Yakima Valley),Cabernet Franc,Owen Roe,red,no
1084,France,"The Meridian in the name is the zero-longitude Prime Meridian which passes through this vineyard. The wine, with its minty flavors from new-wood aging, is serious, concentrated and with an impressive structure. The dark firm character of this wine promises plenty more aging. Drink from 2020.",La Coulée du Méridien,94,120.0,Loire Valley,Saumur-Champigny,,Roger Voss,@vossroger,Château de Parnay 2014 La Coulée du Méridien  (Saumur-Champigny),Cabernet Franc,Château de Parnay,red,no
1089,US,"This is an impressively well-crafted, and beautiful wine, blended with 12% Cabernet Sauvignon and 10% Malbec, the main variety mountain-grown on Pritchard Hill. It shines in big, bold and powerfully built black fruit and leather. Dusty, firm tannins and a taste of graphite, coffee and tar are also highly evident. The finish is tart and seasoned in white pepper. Best enjoyed 2023 through 2033.",Cabernet Franc,94,80.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Chappellet 2013 Cabernet Franc (Napa Valley),Cabernet Franc,Chappellet,red,no
1106,US,"Boushey and Red Willow are the vineyards that contribute to this 100% varietal Cabernet Franc. There's excellent concentration to the brambly, bright, blackberry fruit, and some sharp acidity to underscore it. It's pure varietal and should continue to improve 2019–2021.",Outcast,90,35.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Barrage Cellars 2010 Outcast Cabernet Franc (Yakima Valley),Cabernet Franc,Barrage Cellars,red,no
1267,US,"Soft, sweet and fruity, tasting like a granola bar, with roasted almonds, raspberry filling and cinnamon spice.",The Franc,85,20.0,California,California,California Other,,,Cosentino 2007 The Franc Cabernet Franc (California),Cabernet Franc,Cosentino,red,no
1396,US,"Dark-berry aromas meet hints of menthol and game on the nose. The medium-bodied palate follows suit on entry, but becomes lighter by the midpalate from a slick of minerality. Pair alongside gamy meats such as grilled venison loin.",Estate Grown,88,50.0,Michigan,Old Mission Peninsula,,Alexander Peartree,,Brys 2012 Estate Grown Cabernet Franc (Old Mission Peninsula),Cabernet Franc,Brys,red,no
1401,US,"With 26 months in small oak barrels, aromas of coconut cream, finely ground sawdust and cherry stems ride over condensed black cherry and currant. The medium-weight palate has a plush feel to it, offering a balance of ripe berry fruit and zesty streaks of minerals.",Reserve,88,25.0,Michigan,Old Mission Peninsula,,Alexander Peartree,,Chateau Grand Traverse 2012 Reserve Cabernet Franc (Old Mission Peninsula),Cabernet Franc,Chateau Grand Traverse,red,no
1604,US,"Vanilla, licorice, herb and woodspice aromas are followed by slightly gritty-feeling cranberry flavors. This wine is interesting, but it doesn't all come together.",Cabernet Franc,88,25.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gamache 2012 Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Gamache,red,no
1679,US,"Another Livermore Valley producer to watch, Cuda Ridge has fashioned a varietally textbook Cab Franc here, with an intensely woody, herbal nose. Medium-bodied, with tannins that are integrated and ready to soften, this Cab Franc, barrel-aged for 18 months, is really, really good, and ready to age another 3–5 years.",Cabernet Franc,90,28.0,California,Livermore Valley,Central Coast,Virginie Boone,@vboone,Cuda Ridge Wines 2008 Cabernet Franc (Livermore Valley),Cabernet Franc,Cuda Ridge Wines,red,no
1963,US,"This is dry, full bodied and pretty tannic, with a sense of elegance, plus flavors of sour cherry candy, red licorice, tobacco and sweet, smoky cedar.",Leopoldina,88,60.0,California,Oakville,Napa,,,Turnbull 2009 Leopoldina Cabernet Franc (Oakville),Cabernet Franc,Turnbull,red,no
2101,US,"A very easy wine to like. It's so softly balanced, so rich in cherries, licorice and smoky vanilla, so light in texture, you could drink it as a cocktail wine. But it will also nicely complement a wide variety of foods.",Reserve,87,20.0,California,El Dorado,Sierra Foothills,,,Lava Cap 2004 Reserve Cabernet Franc (El Dorado),Cabernet Franc,Lava Cap,red,no
2120,US,There's a savage appeal (what the French call sauvage) to this unabashedly rustic Cabernet Franc that was fermented entirely using wild yeasts. Initial notes of tomato leaf and green stem blow off to reveal aripe red fruit with a gorgeously floral character. Tart acidity and a concentrated red-cherry flavor are accented with graphite and black tea notes.,Bordo,88,20.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Anthony Nappa 2010 Bordo Cabernet Franc (North Fork of Long Island),Cabernet Franc,Anthony Nappa,red,no
