,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
10,US,"Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.",Mountain Cuvée,87,19.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Kirkland Signature,red,no
12,US,"Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.",Cabernet Sauvignon,87,34.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Louis M. Martini,red,no
37,Italy,"This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel.",Missoni,86,21.0,Sicily & Sardinia,Sicilia,,,,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,Feudi del Pisciotto,red,no
60,US,"Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.",Estate,86,100.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Okapi,red,no
71,US,"Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.",Old Vine,86,40.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Eco Terreno,red,no
73,US,"Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.",Bella Vetta Vineyard,86,75.0,California,Howell Mountain,Napa,Virginie Boone,@vboone,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Hindsight,red,no
111,US,"This 100% varietal wine opens in a heady aroma of leather pouch, clove and marshmallow. Both herbaceous and tannic, it begs for more time in the bottle or substantial swirling in the glass.",Wolff Vineyard,87,85.0,California,Yountville,Napa,Virginie Boone,@vboone,Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Cabernet Sauvignon,Piña,red,no
124,US,"This sophisticated wine is mostly Cabernet Sauvignon, which accounts for the firm tannins and dense structure as well as most of the blackberries and blackcurrants. Smaller amounts of Merlot and Cabernet Franc add cherries and violets, while oak contributes smoky complexities. Rich and elegant, the wine provides lovely drinking now.",Cabernet Sauvignon,92,45.0,California,Napa Valley,Napa,,,Silverado 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Silverado,red,no
125,South Africa,"Etienne Le Riche is a total Cabernet specialist. With a tiny production of 5,000 cases across all his wines, this is boutique in the best sense. The Reserve Cabernets are, of course, the stars. This 2003 is fruit and wood driven, a powerful but still elegant wine, with black plums, tannins and super-ripe fruits.",Cabernet Sauvignon Reserve,91,45.0,Stellenbosch,,,Roger Voss,@vossroger,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Le Riche,red,no
132,South Africa,"A Cabernet-dominated (98%) wine, which boasts a dense, concentrated tannic structure. Flavors of cassis underly this, while the wood spices contribute their ribbon of flavor. This is an impressive wine, the flagship red from this estate founded by Spatz Sperling over 30 years ago.",Grand Reserve,91,30.0,Simonsberg-Stellenbosch,,,Roger Voss,@vossroger,Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),Cabernet Sauvignon,Delheim,red,no
134,US,"Give this young Cab time in the cellar to come around. Right now, it's fresh and tannic, with primary fruit blackberry and cherry flavors, and the sweet smoky oak hasn't been integrated. Should knit together over the next 4-6 years, at least.",Cabernet Sauvignon,91,78.0,California,Napa Valley,Napa,,,Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Clark-Clauden,red,no
144,US,"Thick and brooding, this dark, sweetly tannic wine also offers higher-toned elements of cedar, dried herb and graphite. It finds its balance amid a full-bodied density of fruit concentration and girth of structure. Drink now through 2023.",K Block,91,85.0,California,Spring Mountain District,Napa,Virginie Boone,@vboone,Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Terra Valentine,red,no
146,US,"There's a touch of hot asphalt, pencil lead and miso on the nose of this first vintage from a promising, well-funded project, with dark elderberry fruit and dried dill rounding out the aromas. The palate blends a gamy beef quality with oregano, marjoram, cooked strawberry, baked blackberry and a sesame-oil character.",Family Reserve,91,68.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards,red,no
147,US,"Black cherry, black plum and black currant are integrated well into the fresh dill and smoke scents on the nose of this wine from one of the region's newest properties. It discloses a rich dark-chocolate sauce character on the palate as well as black-currant-jelly flavors, but most impressive is the lush, sexy and soft mouthfeel.",Family Reserve,91,68.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards,red,no
150,US,"This wine shows off Yountville fruit at its finest, starting with a floral component to the nose. Spicy, bright and lifted, it coats the palate in ripe berry and cherry, ending with a snap of vanilla.",Ruth's Reach,91,25.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Yardstick,red,no
165,Chile,"Dry, briary aromas of field brush, black olive, herbs, berry fruits and saucy tomato are textbook Maipo. This is fresh, a touch choppy, and not overly heavy. Flavors of cassis, plum and vanilla carry over to the finish, which is fresh and bolstered by fine natural acidity. Drink through 2022.",20 Barrels,91,32.0,Maipo Valley,,,Michael Schachner,@wineschach,Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Cono Sur,red,no
172,Chile,"Dry, spicy aromas of tobacco, cedar, vanilla and berry fruits come together nicely. This Maule Valley Cab is fresh and harmonious across the palate, with nothing too pushy. Complex, balsamic flavors of olives, herbs, dried berries, turned earth and cocoa finish dry, peppery and elegant. Drink through 2019.",The 7th Generation Gran Reserva Estate Bottled,91,20.0,Loncomilla Valley,,,Michael Schachner,@wineschach,G7 2012 The 7th Generation Gran Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley),Cabernet Sauvignon,G7,red,no
191,Australia,"From the little-known region of Padthaway, this Cabernet starts off with some very promising, perfumed aromas of mint and cassis, but then shows touches of chocolate and raisined fruit on the palate. It's soft and mouthfilling—an easy-drinking Cab to consume on the young side.",The Trial of John Montford,87,30.0,South Australia,Padthaway,,Joe Czerwinski,@JoeCz,Henry's Drive Vignerons 2006 The Trial of John Montford Cabernet Sauvignon (Padthaway),Cabernet Sauvignon,Henry's Drive Vignerons,red,no
198,US,"This is a soft, well-crafted wine from the eastern side of St. Helena that's both classic in its dried herb, tobacco and tea aromas and fruity with red currant and cranberry notes.",Four Soil Mélange,90,60.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequum,red,no
206,US,"This is an extraordiary deal for a solidly built, high-level wine. It offers succulent cherry, raspberry and vanilla flavors, wrapped in approachable, mellowed tannin and oak.",Cabernet Sauvignon,90,25.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Courtney Benham 2014 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Courtney Benham,red,no
236,US,"Shows rich, firm mountain tannins and well-ripened, concentrated flavors of blackberries, cherries, currants and cocoa, and is thoroughly dry. But the wine loses a few points for hot caramelization, which may be partly over-charred oak and partly shriveled, overripe berries, if not both.",Kiss Ridge Vineyard,85,85.0,California,Diamond Mountain District,Napa,,,Meeker 2004 Kiss Ridge Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Meeker,red,no
239,US,"A little rough and rugged, with jangly tannins and blackberry fruit so ripe it veers into raisins. Very dry, it's probably at its best now.",Cabernet Sauvignon,85,36.0,California,Mendocino,,,,Dogwood 2005 Cabernet Sauvignon (Mendocino),Cabernet Sauvignon,Dogwood,red,no
250,US,"Ripe, soft and a little sweet, with jellied flavors of blackberries, cherries, chocolate and anise. Drink now.",Estate,85,49.0,California,Alexander Valley,Sonoma,,,Blue Rock 2005 Estate Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Blue Rock,red,no
258,South Africa,"This wine strikes a superb balance between herbaceous, green notes and ripe black fruit, all graced with a kiss of sweet vanilla. Rich blackberry and cassis flavors flood the palate, but then transition to sweet smoke and oak flavors on the finish.",Cabernet Sauvignon,89,35.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Hartenberg 2007 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Hartenberg,red,no
275,Argentina,"A medium-weight Cabernet with plum, prune, tobacco and herb aromas. Features average weight and body, with a creamy texture and layered flavors of black fruit, raspberry and spice. Finishes with herb and plum notes as well as a pinch of tobacco.",Reserva de Familia,89,30.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Sottano,red,no
277,US,"Quite a good Cabernet, showing the elegance and ripe fruitiness you expect from Napa, in a style for drinking now. Drily tannic, it shows classic blackberry and blueberry flavors.",Cabernet Sauvignon,89,30.0,California,Napa Valley,Napa,,,Trailhead 2010 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Trailhead,red,no
289,US,"This 100% Cabernet Sauvignon is so rich and decadent, with milk chocolate, blackberry and new French oak flavors. Made by celebrity winemaker Philippe Melka, it's soft and approacheable on the palate and widely appealing. Your best bet is to drink up now.",Fortune Teller,92,125.0,California,Napa Valley,Napa,,,Parallel 2010 Fortune Teller Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Parallel,red,no
