,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
80,Chile,"Caramelized oak and vanilla aromas are front and center on a barrel-heavy nose. This feels a bit choppy, with astringent tannins. Herbal salty plum flavors wear a lot of oaky makeup, while this finishes with a forced woody flavor.",Special Release Reserva,86,12.0,Rapel Valley,,,Michael Schachner,@wineschach,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),Carmenère,Aresti,red,no
185,Chile,"Composed and structured, with its fair share of richness manifested as raisin and molasses. Interestingly, the palate rings with acidity, resulting in a feel that's borderline sharp. But there's enough fruit and heft to balance things out, and the flavors of cherry, blackberry and cola are nice. A good example of elevated Carmenère (with 10% Cabernet Sauvignon) that doesn't cost an arm and a leg.",Envero Gran Reserva,88,15.0,Colchagua Valley,,,Michael Schachner,@wineschach,Apaltagua 2007 Envero Gran Reserva Carmenère (Colchagua Valley),Carmenère,Apaltagua,red,no
367,Chile,"Aromas of mint, berry syrup and dense, lemony oak lay a good foundation for the heavy black fruit that comes on the palate atop a plush carpet of toasty, fresh-grained wood. The finish is round, tasty and mouthfilling, while overall the wine seems to dance due to popping acidity. This is Carmenère with a vital streak.",Reserva de la Familia,88,10.0,Maipo Valley,,,Michael Schachner,@wineschach,De Martino 1999 Reserva de la Familia Carmenère (Maipo Valley),Carmenère,De Martino,red,no
868,Chile,"Composed berry, spice, herb and oak aromas are complete and inviting. In the mouth, this is ripe and dense, with chewy tannins. Blackberry, mixed herb and dark chocolate flavors are integrated, while this settles nicely on the finish.",Gran Reserva,90,15.0,Colchagua Valley,,,Michael Schachner,@wineschach,Carmen 2014 Gran Reserva Carmenère (Colchagua Valley),Carmenère,Carmen,red,no
969,Chile,"Good introductory Carmenère. It's a touch green, which is common for this quality level, but there's also some coconut and mild burnt aromas to wade through. Lively and clanky on the palate, with red fruit, bramble and herbal snap. Good if you're not expecting too much.",Pionero,85,9.0,Maipo Valley,,,Michael Schachner,@wineschach,Morandé 2008 Pionero Carmenère (Maipo Valley),Carmenère,Morandé,red,no
1150,Chile,"Blocky, stewy, raisiny aromas of nonspecific black fruits are jumbled and green. This feels awkward and jammy, with little to no structural integrity. Flavors of prune, raisin and oak finish soft and loamy.",Reserva Casillero del Diablo,83,11.0,Central Valley,,,Michael Schachner,@wineschach,Concha y Toro 2014 Reserva Casillero del Diablo Carmenère (Central Valley),Carmenère,Concha y Toro,red,no
1548,Chile,"Wiry currant and plum aromas show a touch of oak in this value-priced wine. It feels somewhat chunky on the palate, with scraping tannins. Herbal plum flavors finish gamy and with a mild note of oaky clove.",120 Reserva Especial,85,8.0,Central Valley,,,Michael Schachner,@wineschach,Santa Rita 2016 120 Reserva Especial Carmenère (Central Valley),Carmenère,Santa Rita,red,no
1773,Chile,"Herbal berry aromas include a heavy dose of spent coffee grinds and oak. This has an edgy, hard mouthfeel and oaky flavors of plastic and vanilla that sit on top of herbal berry notes. A creamy finish maintains the wine's oaky theme.",Carmenère,84,13.0,Central Valley,,,Michael Schachner,@wineschach,Doña Isadora 2012 Carmenère (Central Valley),Carmenère,Doña Isadora,red,no
2084,Chile,"It's been a while since we've reviewed this wine, so this is a fine comeback. Plum, blackberry and rubber aromas are solid, but the real star is the palate, which is smooth and thick, with lush dark fruit flavors and a smoky background. Good, slightly herbal and long on the finish.",Edición Limitada,90,22.0,Maipo Valley,,,Michael Schachner,@wineschach,Morandé 2007 Edición Limitada Carmenère (Maipo Valley),Carmenère,Morandé,red,no
2105,Chile,"A little sweet, dense and pasty on the nose, and that's also how the wine plays out. It's a ripe style of Carmenère, with brooding but not overly expressive black-fruit flavors. Ripeness is clearly not an issue as it shows no vegetal or herbal notes. Simply big, bold and not terribly unique.",Legado Reserva,87,15.0,Maipo Valley,,,Michael Schachner,@wineschach,De Martino 2006 Legado Reserva Carmenère (Maipo Valley),Carmenère,De Martino,red,no
