,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
63,France,"This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.",Rosé,86,58.0,Champagne,Champagne,,Roger Voss,@vossroger,Roland Champion NV Brut Rosé  (Champagne),Champagne Blend,Roland Champion,rose,yes
69,France,"This cooperative, based in Aÿ, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.",Rosé,86,55.0,Champagne,Champagne,,Roger Voss,@vossroger,Collet NV Brut Rosé  (Champagne),Champagne Blend,Collet,rose,yes
334,France,"A ripe, fruity wine that takes its raspberry flavor from the color. The wine has softness, a creamy character that rounds out any acidity, leaving a smooth, fruity finish.",Rosé,86,42.0,Champagne,Champagne,,Roger Voss,@vossroger,Jacquart NV Mosaïque Rosé Brut  (Champagne),Champagne Blend,Jacquart,rose,yes
406,France,"A creamy, caramel- and pear-flavored wine, keeping freshness but enriched with an almond and custard tart finish.",Brut Mosaïque,85,30.0,Champagne,Champagne,,Roger Voss,@vossroger,Jacquart NV Brut Mosaïque  (Champagne),Champagne Blend,Jacquart,white,yes
450,France,"Now part of Jacquart Champagne, Montaudon produces sophisticated and elegant wines, as this Classe M shows. It is crisp and dry in style with citrus and grapefruit flavors dominating. but some bottle age adds texture and notes of toastiness.",Classe M,92,,Champagne,Champagne,,Roger Voss,@vossroger,Montaudon NV Classe M  (Champagne),Champagne Blend,Montaudon,white,yes
453,France,"This is a rich, bottle-aged wine is bright with lemon and green-apple fruitiness, but it's starting to develop secondary flavors—notes of toast, almonds and cookies—as well. It's at just the right stage of development and ready to drink now.",Brut Prestige,92,69.0,Champagne,Champagne,,Roger Voss,@vossroger,Philippe Fontaine NV Brut Prestige  (Champagne),Champagne Blend,Philippe Fontaine,white,yes
459,France,"A rich, bottled-aged wine, full of toast as well as apple and crisp grapefruit flavors, this has great balance and elegance. It's full of fruit, but structured and seamlessly integrated. It's ready to drink now, but will also improve with age. Drink until 2020.",Tzarina No 1 Brut,92,100.0,Champagne,Champagne,,Roger Voss,@vossroger,Chanoine NV Tzarina No 1 Brut  (Champagne),Champagne Blend,Chanoine,white,yes
463,France,"This is a beautiful wine showing remarkable richness and maturity. Hints of toast and bright fruits combine seamlessly to yield a full, ripe wine marked with with intense acidity. With concentration from old vines showing strongly, it's a wine that's ready to drink now.",Cuvée Marguerite Brut,92,60.0,Champagne,Champagne,,Roger Voss,@vossroger,Vollereaux 2007 Cuvée Marguerite Brut  (Champagne),Champagne Blend,Vollereaux,white,yes
470,France,"Very dry in style, this is a beautifully crisp, tight and taut Champagne. It has citrus and green apple flavors, and is steely in character while also fruity. It could do well with some more bottle age.",Édition Limitée Extra Brut,92,70.0,Champagne,Champagne,,Roger Voss,@vossroger,H. Blin 2003 Édition Limitée Extra Brut  (Champagne),Champagne Blend,H. Blin,white,yes
474,France,"Already mature, this is a rich and opulent wine that blends together toast and secondary-fruit aromas with fresh, lively acidity. It has weight and substantial depth and concentration. It should age well for another few years, but this impressive wine can be drunk now as well.",Les Grands Nots Millesimé Brut,92,,Champagne,Champagne,,Roger Voss,@vossroger,Jeaunaux-Robin 2004 Les Grands Nots Millesimé Brut  (Champagne),Champagne Blend,Jeaunaux-Robin,white,yes
478,France,"This is a superior vintage Champagne that is just beginning to mature. Crisp white and citrus fruits are beginning to fade into mature toast and cookie flavors, but the wine maintains its zesty texture. Drink this wine now, but beware the cork is secured precariously with string that must be cut to open.",Grand Cru Family Reserve Brut,92,,Champagne,Champagne,,Roger Voss,@vossroger,Dampierre 2005 Grand Cru Family Reserve Brut  (Champagne),Champagne Blend,Dampierre,white,yes
511,France,"This potentially rich Champagne is still young. The Chardonnay and Pinot Noir that dominate the blend show tight acidity, minerality and a tangy, orange-like edge. Give it time to mature, and it will be splendid.",Cuvée St Clément,91,70.0,Champagne,Champagne,,Roger Voss,@vossroger,Boude Baudin 2010 Cuvée St Clément  (Champagne),Champagne Blend,Boude Baudin,white,yes
512,France,"Aged for an extra two years to soften its tense acidity, this Champagne is defiantly bone-dry yet not searing. Its ripe and rich fruitiness cushions the crisp acidity and taut, nervy citrus character. Drink now.",B. Zéro Brut Dosage,91,59.0,Champagne,Champagne,,Roger Voss,@vossroger,Boude Baudin NV B. Zéro Brut Dosage  (Champagne),Champagne Blend,Boude Baudin,white,yes
528,France,"This producer shows its preference for dry Champagnes with this bone-dry, oak-fermented bottling. With its bottle age and the softening effect of wood, it's generous and gently textured, leaving plenty of room for its bright fruit and balanced acidity to show. Drink from 2018.",Brut Zéro Sélection,91,42.0,Champagne,Champagne,,Roger Voss,@vossroger,Jeaunaux-Robin NV Brut Zéro Sélection  (Champagne),Champagne Blend,Jeaunaux-Robin,white,yes
779,France,"This is a powerful, almost concentrated, very dry selection. Its richness comes from the weight of its fruit flavors and the tight tang of its intense acidity. From a fine vintage, it could still age for several more years. Disgorged July 2011.",Assemblage Brut,92,101.0,Champagne,Champagne,,Roger Voss,@vossroger,Bruno Paillard 2002 Assemblage Brut  (Champagne),Champagne Blend,Bruno Paillard,white,yes
940,France,"Neatly divided between the three major grapes of Champagne, this full, ripe wine is packed with rich apple and pear fruits. It is crisp while showing a high dosage giving a softer, smoother aftertaste. Drink this bottling now.",Grande Réserve Premier Cru Brut,87,38.0,Champagne,Champagne,,Roger Voss,@vossroger,Duménil NV Grande Réserve Premier Cru Brut  (Champagne),Champagne Blend,Duménil,white,yes
959,France,"Partially from Grand Cru vineyards in the Montagne de Reims and the Côte des Blancs, this wine is soft, ripe and balanced, with a ripe dosage that contrasts with citrus acidity. It has a fine, cool texture.",Brut Mosaïque,87,40.0,Champagne,Champagne,,Roger Voss,@vossroger,Jacquart NV Brut Mosaïque  (Champagne),Champagne Blend,Jacquart,white,yes
962,France,"A balanced wine, with softness that indicates a relatively high dosage. There is no complexity, but the wine is light, creamy, flavored with green plums and kiwi, just edged with bitterness.",Demoiselle Tête de Cuvée Brut,85,40.0,Champagne,Champagne,,Roger Voss,@vossroger,Vranken NV Demoiselle Tête de Cuvée Brut  (Champagne),Champagne Blend,Vranken,white,yes
971,France,"Although it is labeled “Extra Dry” (that is sweeter than Brut), this lively Champagne in its festive little pink bottle is very fresh, with delicious acidity. It finishes lightly, easily.",Rosé,85,15.0,Champagne,Champagne,,Roger Voss,@vossroger,Pommery NV Pop Rosé Extra Dry  (Champagne),Champagne Blend,Pommery,rose,yes
1807,France,"Lanson suggests adding fruit to this wine or using it as the base for cocktails. It is off dry, ripe and fruity in itself. A touch of toast suggests this bottling is not young. The wine confuses between crisp acidity and a soft, neutral texture. It will probably be best when it is part of a mixed drink.",White Label Sec,85,50.0,Champagne,Champagne,,Roger Voss,@vossroger,Lanson NV White Label Sec  (Champagne),Champagne Blend,Lanson,white,yes
