,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
7,France,"This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",Gewürztraminer,87,24.0,Alsace,Alsace,,Roger Voss,@vossroger,Trimbach 2012 Gewurztraminer (Alsace),Gewürztraminer,Trimbach,white,no
8,Germany,"Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.",Shine,87,12.0,Rheinhessen,,,Anna Lee C. Iijima,,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),Gewürztraminer,Heinz Eifel,white,no
11,France,"This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste.",Gewürztraminer,87,30.0,Alsace,Alsace,,Roger Voss,@vossroger,Leon Beyer 2012 Gewurztraminer (Alsace),Gewürztraminer,Leon Beyer,white,no
126,France,"Mid-gold color. Pronounced and enticing aromas of ripe citrus and stone fruit, layered with honey and floral notes with a touch of sweet spice. Rich and creamy texture packed with sweet ripe juicy fruit, honey, spice and a twist of sage. Off-dry, deliciously smooth with fresh acidity and medium-body. An elegant wine with a long, creamy, spicy finish.",Vendages Tardives,91,48.0,Alsace,Alsace,,,,Pierre Sparr 2007 Vendages Tardives Gewurztraminer (Alsace),Gewürztraminer,Pierre Sparr,white,no
230,US,"Orange blossom and flowers lead on this Gewürtz, and on the palate, a citric, lemon edge outweighs the sweet and floral components that would give this wine a prettier edge. Nonetheless, the wine has an attractive, crisp and clean character and will pair well with grilled seafood and poultry.",Gewürztraminer,85,16.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Bloomer Creek 2006 Gewürztraminer (Finger Lakes),Gewürztraminer,Bloomer Creek,white,no
331,Chile,"Frosted aromas of orange creamsicle, lychee and melon give this an elevated, unique sort of bouquet. Among Chilean Gewürztraminers, this is one of the more expressive ones you'll find. Pineapple, mango and other tropical flavors are pleasant, while the feel is forward and fun. Drink this summer with fish and salads.",Visión,86,15.0,Casablanca Valley,,,Michael Schachner,@wineschach,Cono Sur 2008 Visión Gewürztraminer (Casablanca Valley),Gewürztraminer,Cono Sur,white,no
384,Italy,"Aromas of roses, pepper and spices make this an enticing wine. On the palate, it is ripe, soft, full-bodied and rich, lacking acidity, but otherwise classic Gewürztraminer.",Sanct Valentin,88,30.0,Northeastern Italy,Alto Adige,,Roger Voss,@vossroger,San Michele Eppan 2002 Sanct Valentin Gewürztraminer (Alto Adige),Gewürztraminer,San Michele Eppan,white,no
409,US,"Fresh and delicate with floral and citrus overtones, this wine has an elegant character. Its dry, spicy flavors are subtle and refreshing, giving the wine food pairing flexibility. Ideally, though, think of spicy cuisine like Indian, Thai or Indonesian.",Dry,85,20.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,McGregor 2007 Dry Gewürztraminer (Finger Lakes),Gewürztraminer,McGregor,white,no
581,US,"This one-of-a-kind in the state wine was fermented on skins for 12 days, giving it a light-orange color. The aromas leap up from the glass, with notes of spice, lychee, orange peel and mineral. The palate is dry and textured, with a rich but still sleek feel. Put it on the dinner table to see it shine.",Orange Oak Ridge Vineyard,89,26.0,Washington,Columbia Gorge (WA),Washington Other,Sean P. Sullivan,@wawinereport,Savage Grace 2016 Orange Oak Ridge Vineyard Gewürztraminer (Columbia Gorge (WA)),Gewürztraminer,Savage Grace,white,no
631,France,"Lifted notes of honey and rose petal play on the nose, the palate is altogether more lively than the nose suggests: sprightly and fresh, concentrated and caramel-tinged with lemon freshness. This strikes an appetizing, moreish palate and makes for joyful drinking.",Vendanges Tardives,92,54.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Willm 2011 Vendanges Tardives Gewurztraminer (Alsace),Gewürztraminer,Willm,white,no
752,France,"Blowsy, lychee aromas, a wine that is ripe, soft, open, with a light touch of acidity. Pepper and sweet spices fit well into this easy profile. Screwcap.",Gewürztraminer,87,,Alsace,Alsace,,Roger Voss,@vossroger,Dopff Au Moulin 2009 Gewürztraminer (Alsace),Gewürztraminer,Dopff Au Moulin,white,no
755,US,"Shows the perfect balance and varietal richness that Anderson Valley Gewürztraminers are known for. With crisp acidity, it has exotic flavors of Asian pears, candied pears, tangerines, gingersnap cookies and dusty spices, with a dry finish. Would score much higher if it were more concentrated.",Gewürztraminer,87,18.0,California,Anderson Valley,,,,Handley 2009 Gewürztraminer (Anderson Valley),Gewürztraminer,Handley,white,no
816,US,"While demure on the nose, this light-footed Gewürztraminer is pretty on the palate with delicate lychee and floral notes. Its unusually nervous and shy for it's variety, but refreshingly quaffable.",Pre-Emption Vineyard,86,22.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Keuka Spring 2013 Pre-Emption Vineyard Gewürztraminer (Finger Lakes),Gewürztraminer,Keuka Spring,white,no
983,US,"Off-dry, with sugary flavors of apricots, pears, flowers, vanilla and dusty Asian spices. Crisp acidity provides needed balance. Try with Vietnamese, Thai or Burmese fare.",Gewürztraminer,85,25.0,California,Anderson Valley,,,,Breggo 2008 Gewürztraminer (Anderson Valley),Gewürztraminer,Breggo,white,no
1018,France,"This wine is still young, showing spice and not yet enough fruit. It has the right weight and potential richness as well as concentration from the old vines. Drink this ageworthy wine from 2016.",Vieilles Vignes,88,20.0,Alsace,Alsace,,Roger Voss,@vossroger,Ruhlmann 2013 Vieilles Vignes Gewurztraminer (Alsace),Gewürztraminer,Ruhlmann,white,no
1415,France,"This is a remarkably spicy wine that is also finely balanced. It's sophisticated as well as rich, with spice and lychee flavors lifted by a crisp edge of acidity. It's complex in texture and should age well. Drink from 2015.",Cuvée Théo,93,31.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Weinbach 2011 Cuvée Théo Gewurztraminer (Alsace),Gewürztraminer,Domaine Weinbach,white,no
1421,France,"Sweet and rich, this is a wine that combines honey with a touch of toast and smokiness. The mid palate is filled with apricot and fresh lemon flavors. There is a fine acidity on the finish that gives a delicious lift.",Vendanges Tardives,93,,Alsace,Alsace,,Roger Voss,@vossroger,Trimbach 2007 Vendanges Tardives Gewurztraminer (Alsace),Gewürztraminer,Trimbach,white,no
1802,Portugal,"It seems perverse to plant Gewürztraminer in the Douro and this wine is as much a curiosity as it is attractively perfumed. Showing all the hallmarks of the grape, the palate carries flavors of lychee and rosewater, although it all seems muted. The acidity does give a final lift.",Gewürztraminer,85,20.0,Duriense,,,Roger Voss,@vossroger,Real Companhia Velha 2014 Gewurztraminer (Duriense),Gewürztraminer,Real Companhia Velha,white,no
1852,France,"This is soft and lightly flavored. Fruit and some fresh acidity are there along with spice, but the wine seems muted.",Gewürztraminer,83,21.0,Alsace,Alsace,,Roger Voss,@vossroger,Dopff Au Moulin 2013 Gewurztraminer (Alsace),Gewürztraminer,Dopff Au Moulin,white,no
1999,France,"This wine has a light, fresh character to go with the ripe spiced fruits. It's smooth with a tangy lime-zest flavor filled out with yellow fruits. Drink now.",Anne de K,84,19.0,Alsace,Alsace,,Roger Voss,@vossroger,Cave de Kientzheim-Kaysersberg 2013 Anne de K Gewurztraminer (Alsace),Gewürztraminer,Cave de Kientzheim-Kaysersberg,white,no
2007,France,"The style is all perfume, recalling straightforward lychee and spice wine. It has a rounded texture, soft and medium sweet, and is ready to be enjoyed.",Gewürztraminer,84,23.0,Alsace,Alsace,,Roger Voss,@vossroger,Wunsch & Mann 2013 Gewurztraminer (Alsace),Gewürztraminer,Wunsch & Mann,white,no
2009,France,"This is light, fruity and fresh for a Gewurztraminer. A crisp character brings out bitter orange and ripe pear flavors. Drink now.",Gewürztraminer,84,19.0,Alsace,Alsace,,Roger Voss,@vossroger,Pierre Sparr 2013 Gewurztraminer (Alsace),Gewürztraminer,Pierre Sparr,white,no
2010,France,There's no mistaking the grape in this spiced and peppery wine. Candy-shop aromas and bergamot flavors go together with a light acidity to create a wine that's drinkable now.,Bonheur Convivial,84,24.0,Alsace,Alsace,,Roger Voss,@vossroger,Rieflé 2013 Bonheur Convivial Gewurztraminer (Alsace),Gewürztraminer,Rieflé,white,no
2013,France,"This wine is all about perfumes and spice. It's ripe, fruity and already drinkable. Bergamot and fruity candy dominate the light acidity and soft texture.",Gewürztraminer,84,15.0,Alsace,Alsace,,Roger Voss,@vossroger,Arthur Metz 2013 Gewurztraminer (Alsace),Gewürztraminer,Arthur Metz,white,no
2065,US,"A beautiful Gewürz that could get more people to drink this Alsatian variety. It's dry and crisp, with rich flavors of citrus and tropical fruits, honeysuckle flowers, lychee nuts, vanilla and Asian spices.",Dutton Ranch-Green Valley Vineyard,90,25.0,California,Green Valley,Sonoma,,,Dutton-Goldfield 2008 Dutton Ranch-Green Valley Vineyard Gewürztraminer (Green Valley),Gewürztraminer,Dutton-Goldfield,white,no
2212,France,"Rounded rose and honey notes with inflections of apple and Mirabelle are cut very pleasingly by the citric freshness of tangerine peel. This is easy drinking, medium bodied and aromatic.",Gewürztraminer,88,23.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Paul Blanck 2014 Gewurztraminer (Alsace),Gewürztraminer,Paul Blanck,white,no
2335,US,"Reserved aromas of spice, pear and lychee are followed by medium-sweet flavors. Pair it with yellow curry.",Gewürztraminer,85,6.0,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Two Vines 2014 Gewürztraminer (Washington),Gewürztraminer,Two Vines,white,no
2491,France,"Rounded, almost luscious fruitiness is at the core of this easy wine. Lychee, lemon, peach and apricot scented with rose petals on a rich palate close with orange peel freshness.",Vieilles Vignes,88,19.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Jean-Marc Bernhard 2014 Vieilles Vignes Gewurztraminer (Alsace),Gewürztraminer,Jean-Marc Bernhard,white,no
3014,France,"Showing as much freshness and acidity as the hallmark spice of a Gewürztraminer, this is a white-fruit-dominant wine, poised and elegant, with a touch of minerality. Keep for 2–3 years.",Schlossberg Grand Cru,92,,Alsace,Alsace,,Roger Voss,@vossroger,André Blanck et ses Fils 2010 Schlossberg Grand Cru Gewurztraminer (Alsace),Gewürztraminer,André Blanck et ses Fils,white,no
3059,US,"The aromas are light, with notes of freshly cut apple and spice. It drinks dry with elegantly styled fruit flavors that linger on the finish. It shows a very pretty styling.",Atavus Vineyard,88,27.0,Washington,Columbia Gorge (WA),Washington Other,Sean P. Sullivan,@wawinereport,Analemma 2014 Atavus Vineyard Gewürztraminer (Columbia Gorge (WA)),Gewürztraminer,Analemma,white,no
3214,Italy,Sweet peach nectar and fragrant white flower open the nose of this lush Gewürztraminer. The wine feels slightly sweet and sticky on the palate with rich density and a waxy finish.,Sanct Valentin,88,38.0,Northeastern Italy,Alto Adige,,,,Cantina Produttori San Michele Appiano 2011 Sanct Valentin Gewürztraminer (Alto Adige),Gewürztraminer,Cantina Produttori San Michele Appiano,white,no
3405,US,"Muddled aromas of tangerine, grapefruit and papaya seem a bit soapy in character. The palate feels a bit underripe, showing milky florals upfront and unconcentrated citrus on the back.",Dry,84,18.0,Michigan,Leelanau Peninsula,,Alexander Peartree,,Verterra 2014 Dry Gewurztraminer (Leelanau Peninsula),Gewürztraminer,Verterra,white,no
3432,US,"The aromas are light, with notes of freshly cut apple and spice. It drinks dry with elegantly styled fruit flavors that linger on the finish. It shows a very pretty styling.",Atavus Vineyard,88,27.0,Washington,Columbia Gorge (WA),Washington Other,Sean P. Sullivan,@wawinereport,Analemma 2014 Atavus Vineyard Gewürztraminer (Columbia Gorge (WA)),Gewürztraminer,Analemma,white,no
3486,France,"Rounded, spicy wine with only light acidity and more of the lychee and mango side. It is ripe and generous, hinting at a dry core of firmness.",Cuvée Marie,87,30.0,Alsace,Alsace,,Roger Voss,@vossroger,Lucien Albrecht 2009 Cuvée Marie Gewurztraminer (Alsace),Gewürztraminer,Lucien Albrecht,white,no
