,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
93,Austria,"Freshness characterizes the nose: green pear, ivy leaves and citrus notes play on nose and palate. This is light footed, easy drinking and charming. Drink soon while flavors are fresh.",Grüner Veltliner,88,12.0,Burgenland,,,Anne Krebiehl MW,@AnneInVino,Fuchs 2015 Grüner Veltliner (Burgenland),Grüner Veltliner,Fuchs,red,no
280,Austria,"A strongly spicy, rich wine, this has great concentration and an intense, dense texture.There is weight with plenty of ripe tropical fruits to contrast pronounced black pepper and bitter almond character. It's still young, so don't drink before 2015. Screwcap.",Schiefer Reserve,92,24.0,Kremstal,,,Roger Voss,@vossroger,Forstreiter 2012 Schiefer Reserve Grüner Veltliner (Kremstal),Grüner Veltliner,Forstreiter,red,no
288,Austria,"While it feels rich and round, this is also a wine with a crisp side to it. Acidity cuts through ripe pear, apricot and lychee flavors, giving a decidedly crisp balance. It's a wine that is already ready to drink. Screwcap.",Kremser Gebling Erste Lage,92,,Kremstal,,,Roger Voss,@vossroger,Josef Schmid 2011 Kremser Gebling Erste Lage Grüner Veltliner (Kremstal),Grüner Veltliner,Josef Schmid,red,no
423,Austria,"There is a savory, fragrant, mossy greenness that draws you in. On the concentrated palate, this becomes more distinct as the peel of Bosc pear and crushed arugula emerge. Lime zestiness comes with a slightly warm finish.",Kittl,89,23.0,Weinviertel,,,Anne Krebiehl MW,@AnneInVino,Kohl 2015 Kittl Grüner Veltliner (Weinviertel),Grüner Veltliner,Kohl,red,no
428,Austria,"An earthy hint colors the pear notes which on the palate acquire a fresh, almost floral quality. The earthy tone of yeast and miso provides a counterpoint to the zesty, lime-peel freshness. The finish is clean-cut and very refreshing.",Crazy Creatures,89,17.0,Kremstal,,,Anne Krebiehl MW,@AnneInVino,Malat 2015 Crazy Creatures Grüner Veltliner (Kremstal),Grüner Veltliner,Malat,red,no
444,Austria,"Earthy, savory notes of yeast and miso swing alongside the green pear flavors. There is spice and concentration on the midpalate and some tingling pepper spice.",Altweingarten,88,12.0,Wagram,,,Anne Krebiehl MW,@AnneInVino,Eschenhof Holzer 2015 Altweingarten Grüner Veltliner (Wagram),Grüner Veltliner,Eschenhof Holzer,red,no
491,Austria,"This is a soft, creamed-apple style of wine, with a great shaft of acidity cutting through the crisp fruit. Kiwi and gooseberry fruits are lifted on the bright, lively finish.",Kellermeister Privat Goldberg,87,18.0,Kremstal,,,Roger Voss,@vossroger,Winzer Krems 2011 Kellermeister Privat Goldberg Grüner Veltliner (Kremstal),Grüner Veltliner,Winzer Krems,red,no
584,Austria,"That herbal, yeasty tang of Grüner is on display on the nose. The dry palate further brings out the earthy aspect with miso, stone, yeast and lemon. The body is light and balanced with a savory but diffuse finish.",Grüner Veltliner,89,18.0,Kamptal,,,Anne Krebiehl MW,@AnneInVino,Steininger 2016 Grüner Veltliner (Kamptal),Grüner Veltliner,Steininger,red,no
591,Austria,"Almost luscious pear aromas and notes of peardrop make for a very fruity nose. The palate has a fruity, lemony ease, while the body is slender, dry and has some spritz. The lemon freshness is vivid, brightening everything on this easy, fruity summer wine.",GV,89,13.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Winzer Krems 2016 GV Grüner Veltliner (Niederösterreich),Grüner Veltliner,Winzer Krems,red,no
609,US,"Grüner Veltliner, though still rare, shows good promise in Oregon. This is a big, sappy, ripe version that's borderline syrupy, with big flavors of peaches and apricots. But the supporting acids, and a lick of mineral, keep it from crashing.",Estate,87,20.0,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine ,Raptor Ridge 2012 Estate Grüner Veltliner (Chehalem Mountains),Grüner Veltliner,Raptor Ridge,red,no
