,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
16,Argentina,"Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.",Felix,87,30.0,Other,Cafayate,,Michael Schachner,@wineschach,Felix Lavaque 2010 Felix Malbec (Cafayate),Malbec,Felix Lavaque,red,no
17,Argentina,"Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.",Winemaker Selection,87,13.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),Malbec,Gaucho Andino,red,no
59,US,"Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.",Malbec,86,55.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Mellisoni 2014 Malbec (Columbia Valley (WA)),Malbec,Mellisoni,red,no
160,France,"Low-yield vines on the best parcels of the Vincens estate are the source of this wine. It is super-rich and concentrated, maybe too much in its opulent excess. The wine does have great plum and berry flavors that are generous and full in the mouth. The wine even now is still young and will be better from 2018.",Malbec,91,35.0,Southwest France,Cahors,,Roger Voss,@vossroger,Château Vincens 2012 Malbec (Cahors),Malbec,Château Vincens,red,no
224,Argentina,"Blackberry and road-tar aromas are dark and stout. This is moderately tannic and a bit rough and jagged on the palate. Flavors of stewed black plum and prune are ripe almost to an extreme, and that's how it finishes as well.",Lunta,90,22.0,Mendoza Province,Luján de Cuyo,,Michael Schachner,@wineschach,Mendel 2014 Lunta Malbec (Luján de Cuyo),Malbec,Mendel,red,no
253,Argentina,"Huge in color and extract, but also a little childish. The nose has gumball, berry jam and a touch of volatility, but after things settle it rests on bold black fruit. It's not overly rich or sweet, and the feel is sort of sinewy. Seems more about size and color than refinement and polish.",Reserve,85,15.0,Mendoza Province,Luján de Cuyo,,Michael Schachner,@wineschach,Cueva de las Manos 2007 Reserve Malbec (Luján de Cuyo),Malbec,Cueva de las Manos,red,no
259,France,"Tannic yet balanced wine with a great swathe of perfumed fruit as well as dense black flavors. There is a herbal character as well as dark plum and sweet fruit flavors. Age for 2–3 years, the wine will always be firm.",Noir 46,89,13.0,Southwest France,Cahors,,Roger Voss,@vossroger,Vignobles 46N118 2007 Noir 46 Malbec (Cahors),Malbec,Vignobles 46N118,red,no
284,Argentina,"This huge Malbec defines jammy and concentrated. The bouquet is ripe, soft and minty, while the palate echoes the nose with thickness and density. Flavors of prune, raisin, tea and blackberry are borderline syrupy, while the finish is smooth and pure but doesn't offer much spine or foundation. Drink this modern Malbec sooner rather than later.",Marchiori Vineyard Block C2,92,215.0,Mendoza Province,Perdriel,,Michael Schachner,@wineschach,Viña Cobos 2011 Marchiori Vineyard Block C2 Malbec (Perdriel),Malbec,Viña Cobos,red,no
294,Argentina,"Deep, lush aromas of black fruits, graphite and coconut are welcoming and friendly. The mouthfeel is pure and smooth, with elegance and power. Flavors of cassis, blackberry, hard spices and licorice filter into a long, mellow, classy finish. This is a pushy, full-bodied wine that doesn't throw punches; drink through 2020.",Synthesis,92,30.0,Mendoza Province,Tupungato,,Michael Schachner,@wineschach,Finca Sophenia 2011 Synthesis Malbec (Tupungato),Malbec,Finca Sophenia,red,no
553,Argentina,"Smoky, charred aromas of blackberry and blackened spices set up a bold palate with energy to spare. Blackberry and cassis flavors are rich, toasty and chocolaty, while the finish on this full-bodied, ripe Malbec is lengthy and moderately complex. Drink through 2021.",Winemaker's Selection Reserva,93,42.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Clos d'Argentine 2013 Winemaker's Selection Reserva Malbec (Mendoza),Malbec,Clos d'Argentine,red,no
567,Argentina,"Smoky and intense from the get-go, this saturated, black-as-night Malbec is full of blackberry, cassis and gamy aromas. While it goes heavy on the gas, the wine's structure is up to it. Flavors of chocolate, burnt toast, salt and blackberry finish toasty and long, with savory blackened spice notes. Drink through 2023.",Benegas Lynch La Encerrada Estate Vineyard,93,55.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Benegas 2011 Benegas Lynch La Encerrada Estate Vineyard Malbec (Mendoza),Malbec,Benegas,red,no
592,US,"Purple fruit and wood spice intermingle on the aromas, along with clove, herb and baking spice, showing a touch of volatility. The fruit flavors are big and bold, bringing a sense of structure and liveliness. It's an intriguing example of the variety from an up-and-coming vineyard.",Summit View Vineyard,89,41.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Kontos 2014 Summit View Vineyard Malbec (Walla Walla Valley (WA)),Malbec,Kontos,red,no
615,Argentina,"Four years running this wine has scored 87 and been a Best Buy. The bouquet is scratchy but nicely aromatic, including hints of spice to go with ripe berry scents. The palate is jammy and home to rooty berry, mild spice and very light oak flavors. The finish is a bit hot and fiery, which food will tame.",Malbec,87,11.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Tilia 2011 Malbec (Mendoza),Malbec,Tilia,red,no
669,US,"All varietal, this wine offers unique aromas of toast, fig, dried herb and exotic spice. The purple fruit flavors are deft in style with a pleasing sense of balance, length and texture.",McClellan Estate Vineyard,90,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Seven Hills 2013 McClellan Estate Vineyard Malbec (Walla Walla Valley (WA)),Malbec,Seven Hills,red,no
