,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
376,Italy,"A well-judged, well-structured wine that balances fresh, crisp and light fruit against flavors of peaches, almonds and cinnamon. It will be better in two or three years' time.",Zuc de Volpe,88,18.0,Northeastern Italy,Colli Orientali del Friuli,,Roger Voss,@vossroger,Volpe Pasini 2002 Zuc de Volpe Pinot Grigio (Colli Orientali del Friuli),Pinot Grigio,Volpe Pasini,white,no
488,Italy,"Pinot Grigio from the Friuli Grave tends to show extra creaminess and structure in the mouth. Here is a stellar example that's backed by flavors of peach, citrus and Golden Delicious apple.",Pinot Grigio,87,18.0,Northeastern Italy,Friuli Grave,,,,Vigneti Le Monde 2010 Pinot Grigio (Friuli Grave),Pinot Grigio,Vigneti Le Monde,white,no
661,US,"Livelier than usual in texture and popping with bright citrus aromas and flavors, this light-bodied and barrel-fermented wine is a great palate-cleanser and will pair beautifully with dishes like raw oysters and herbed goat cheese. It smells and tastes like lemon, lime, green apple and kiwi, and has great balance.",Pinot Grigio,90,15.0,California,Mendocino,,Jim Gordon,@gordone_cellars,Monte Volpe 2013 Pinot Grigio (Mendocino),Pinot Grigio,Monte Volpe,white,no
746,Australia,"Melon and citrus aromas and flavors mingle easily in this cleanly made quaffer. It's a bit plump on the palate, yet refreshing on the lemon-lime finish.",Classic,85,9.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Jacob's Creek 2015 Classic Pinot Grigio (South Eastern Australia),Pinot Grigio,Jacob's Creek,white,no
1044,Italy,"The wine boasts a pretty golden hue and segues to tones of almond skin, stone fruit, nut and cardboard. It feels smooth and rich in the mouth and has some tart citrus flavors on the close.",Rive Alte,85,17.0,Northeastern Italy,Isonzo del Friuli,,,,Tenuta Luisa 2007 Rive Alte Pinot Grigio (Isonzo del Friuli),Pinot Grigio,Tenuta Luisa,white,no
1052,US,"Estancia produces solid, savory Pinot Grigios at a fair price, and they even dropped their price last year. This one's a little off-dry, with crisp acidity and pleasant citrus, peach and honeysuckle flavors.",Pinot Grigio,85,12.0,California,California,California Other,,,Estancia 2007 Pinot Grigio (California),Pinot Grigio,Estancia,white,no
1059,Italy,"La Piazza is a line of wine from Sicily's Calatrasi winery that uses fruit from various parts of Italy. This is their Pinot Grigio from northern Italy that tastes rich and creamy and is made in a New World style. Aromas revolve around butter, almond paste, peach and apricot. It doesn't have huge length, but it does taste rich and dense.",La Piazza,85,,Northeastern Italy,Delle Venezie,,,,Calatrasi 2006 La Piazza Pinot Grigio (Delle Venezie),Pinot Grigio,Calatrasi,white,no
1199,Australia,"This is plump and custardy in feel, but still refreshing thanks to bright apple and lime aromas and flavors. It's more citrus than apple on the crisp finish.",Beacon Hill,87,13.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Beresford 2014 Beacon Hill Pinot Grigio (South Australia),Pinot Grigio,Beresford,white,no
1384,Italy,"This is richer than most Pinot Grigios. It opens with aromas of toast, yellow flower, vanilla and a balsamic note while the round, full-bodied palate offers baked yellow apple, candied lemon drop, nectarine zest and almond. Fresh acidity brightens the creamy fruit while a vanilla note closes the finish. You can barely detect the warmth of alcohol on the close.",Pinot Grigio,88,25.0,Northeastern Italy,Collio,,Kerin O’Keefe,@kerinokeefe,Renato Keber 2012 Pinot Grigio (Collio),Pinot Grigio,Renato Keber,white,no
1402,Italy,"Aromas of orchard fruit, nut and a light whiff of toast lift from the glass. The medium-bodied, straightforward palate offers pear, apple and a note of lemon drop. Vibrant acidity gives it a clean finish.",Puiten,88,23.0,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,Colterenzio 2014 Puiten Pinot Grigio (Alto Adige),Pinot Grigio,Colterenzio,white,no
1404,Italy,"Inviting aromas of toasted almond, pear and a whiff of chopped herb lead the nose on this linear white. The lively palate offers crisp apple, nectarine zest and flinty mineral accompanied by bright acidity.",Pinot Grigio,88,28.0,Northeastern Italy,Collio,,Kerin O’Keefe,@kerinokeefe,Mario Schiopetto 2013 Pinot Grigio (Collio),Pinot Grigio,Mario Schiopetto,white,no
1475,Italy,"Opens with a pretty shade of gold that denotes more sophisticated extraction and in fact that impression is carried through to the nose and mouth where the wine exhibits ripe fruity aromas, honey, almond skin, dried herbs and natural rubber. The mouthfeel is thin, but remains a step above the commercial Pinot Grigio that is so commonly available. The wine is packaged with a real vine clipping around the bottle neck.",Pinot Grigio,86,15.0,Northeastern Italy,Colli Orientali del Friuli,,,,Mosolo Gleni 2006 Pinot Grigio Pinot Grigio (Colli Orientali del Friuli),Pinot Grigio,Mosolo Gleni,white,no
1491,Italy,"Here's a lean, almost colorless, citrus-driven Grigio from sunny Umbria that has a bit of candy and cola on its sweet, fragrant nose. There are peppermint renderings and dried hay in the background. It's watery and lean in the mouth and would pair with appetizers or simple vegetable dishes.",Pinot Grigio,85,15.0,Central Italy,Umbria,,,,Lungarotti 2006 Pinot Grigio Pinot Grigio (Umbria),Pinot Grigio,Lungarotti,white,no
1497,Argentina,"Timing is everything with this full-bodied PG. Get at it right away and it will still be almost viscous, but it should also show ripe tropical fruit flavors, core acidity and lots of personality. Just don't let it hang around for long, especially not at room temperature.",Pinot Grigio,85,8.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Santa Julia 2007 Pinot Grigio (Mendoza),Pinot Grigio,Santa Julia,white,no
1498,Italy,"This Pinot Grigio is a bit more fragrant and floral in essence with aromas of stone fruit and peach blossom. It has a fresh, almost piquant edge but it also has that characteristic watery mouthfeel you'll likely encounter with this variety.",Pinot Grigio,85,16.0,Northeastern Italy,Collio,,,,Ronco Blanchis 2006 Pinot Grigio (Collio),Pinot Grigio,Ronco Blanchis,white,no
1719,US,"With a honeyed edge of sweetness to the pineapple and lime flavors, this wine also has a zesty acidity that makes it finish with mouthwatering cleanness. It's easy to like, a nice late afternoon cocktail sipper, and good with baked ham or pot stickers.",Pinot Grigio,85,10.0,California,Lodi,Central Valley,,,Renwood 2006 Pinot Grigio (Lodi),Pinot Grigio,Renwood,white,no
2028,Italy,"Aromas of green apples, peach and citrus carry over to palate. The juicy flavors are accompanied by lively acidity that makes this wine very food friendly.",Pinot Grigio,87,9.0,Northeastern Italy,Vigneti delle Dolomiti,,Kerin O’Keefe,@kerinokeefe,Mezzacorona 2013 Pinot Grigio (Vigneti delle Dolomiti),Pinot Grigio,Mezzacorona,white,no
2092,Italy,"Honey, kiwi, mango and peach come to mind and color an easy, but fragrant Grigio from the mountains of northern Italy that would pair well with exotic or Asian foods. It closes with spicy acidity and is a perfect palate cleaner.",Pinot Grigio,87,13.0,Northeastern Italy,Alto Adige,,,,Tolloy 2007 Pinot Grigio (Alto Adige),Pinot Grigio,Tolloy,white,no
2093,Italy,"This Pinot Grigio from northern Italy has good density and direct aromas of honey, peach and grapefruit that make for a well balanced ensemble. The wine is fresh and clean and would pair with grilled calamari or Thai mango shrimp.",Pinot Grigio,87,20.0,Northeastern Italy,Collio,,,,Pighin 2006 Pinot Grigio (Collio),Pinot Grigio,Pighin,white,no
