,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
151,Portugal,"This bottling shows a rich, wood-aged wine, full of ripe yellow and tropical fruits as well as rich toasty flavors. The wine is warm, rounded, spicy and with its impressive structure still developing, it has the potential to age well. The wine is named to celebrate the second Lança generation in charge at the estate. Drink from 2017.",Gerações Colheita Seleccionada Branco,91,30.0,Alentejano,,,Roger Voss,@vossroger,Herdade Grande 2014 Gerações Colheita Seleccionada Branco White (Alentejano),Portuguese White,Herdade Grande,white,no
608,Portugal,"Verdelho and Sauvignon Blanc hangs together easily on this herb-dominant wine. The texture has a creamy character, showing green fruits, lively acidity and a bright orange-zest aftertaste.",Verdelho and Sauvignon Blanc,87,15.0,Douro,,,Roger Voss,@vossroger,Quinta do Portal 2012 Verdelho and Sauvignon Blanc White (Douro),Portuguese White,Quinta do Portal,white,no
613,Portugal,"With its light prickle on the tongue, this is as fresh as possible. It's clean, packed with green and citrus fruits, and boosted with some textured richness. Drink at once.",Paço de São Lourenço,87,12.0,Vinho Verde,,,Roger Voss,@vossroger,Solar de Pinheiro 2012 Paço de São Lourenço White (Vinho Verde),Portuguese White,Solar de Pinheiro,white,no
718,Portugal,"Heading nicely in the crisp and aromatic direction, this is a light and bright wine. It has a citrus flavor that is balanced by richer pear and plum fruits. The wine is ready to drink.",Bote Chardonnay-Fernão Pires-Vital,85,8.0,Lisboa,,,Roger Voss,@vossroger,Casca Wines 2015 Bote Chardonnay-Fernão Pires-Vital White (Lisboa),Portuguese White,Casca Wines,white,no
723,Portugal,"In a medium sweet style, the wine has a light prickle and fine citrus acidity to balance the soft freshness. It is a refreshing wine, totally drinkable immediately.",Santola,85,8.0,Vinho Verde,,,Roger Voss,@vossroger,Messias 2015 Santola White (Vinho Verde),Portuguese White,Messias,white,no
729,Portugal,"The wine is ripe with apple and creamed pear flavors. It is warm, rich and missing acidity. There is an attractive almond and spice character to this ripe wine. Drink now.",Audaz Branco,85,10.0,Alentejano,,,Roger Voss,@vossroger,Herdade Grande 2015 Audaz Branco White (Alentejano),Portuguese White,Herdade Grande,white,no
887,Portugal,"Aromas of fresh-cut hay lead to a wine that has considerable concentration and good balance from wood aging. Very citrus with pineapple touches, it finishes with an herbaceous feel. The wine comes from a vineyard planted at the end of the 19th century.",Reserva Branco,90,60.0,Douro,,,Roger Voss,@vossroger,Maritávora 2009 Reserva Branco White (Douro),Portuguese White,Maritávora,white,no
901,Portugal,"A wood-aged white, spicy and ripe. It has just the right balance of acidity to go with the ripe green plum and melon fruits. With a great bite of acidity to finish, this is a wine that will age for 3–4 years.",Reserva Branco,90,50.0,Douro,,,Roger Voss,@vossroger,Quinta do Vallado 2010 Reserva Branco White (Douro),Portuguese White,Quinta do Vallado,white,no
921,Portugal,"A blend of Fernão Pires and Arinto, this is totally crisp and refreshingly fruity. It is perfumed, smooth while also cut with acidity. The acidity comes from both citrus and pineapple flavors. Drink now.",Conde Vimioso Colheita Seleccionada Branco,87,9.0,Tejo,,,Roger Voss,@vossroger,Falua 2015 Conde Vimioso Colheita Seleccionada Branco White (Tejo),Portuguese White,Falua,white,no
1279,Portugal,"A just off-dry Vinho Verde, fresh and spritzy. Acidity, sweet apples and a breezy citrus edge combine easily and lightly. Ready to drink.",Praia,84,,Vinho Verde,,,Roger Voss,@vossroger,Aveleda 2010 Praia White (Vinho Verde),Portuguese White,Aveleda,white,no
1308,Portugal,"This blend of Alvarinho and Trajadura is initially crisp and fresh. Gradually, it broadens out into a rich wine with a blend between lemon and yellow fruits that is delicious and concentrated. This tangy wine is developing well, and is ready to drink now although it will age.",Torre de Menagem Escolha,89,13.0,Vinho Verde,,,Roger Voss,@vossroger,Quintas de Melgaço 2014 Torre de Menagem Escolha White (Vinho Verde),Portuguese White,Quintas de Melgaço,white,no
