,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
149,US,"Smashed blackberry and blueberry fruit are enhanced by burned caramel, heavy slate and touches of soy and smoke on the nose. There's great depth in both body and flavors once sipped, with a layer of fine-grained tannins revealing teriyaki, black plum, boysenberry and touches of lavender.",Destruction Level,91,35.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Wrath 2013 Destruction Level Red (Monterey),Rhône-style Red Blend,Wrath,red,no
209,France,"Intriguing, thought provoking and complex, this wine starts off with perfumed aromas of thyme, bay leaf and lavender. It's supple in the mouth and silky in feel, imbued with black cherry and blueberry fruit, then shows a hint of adhesive bandage on the finish. Drink now.",Rhône-style Red Blend,90,16.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,Domaine St Pierre 2014 Red (Côtes du Rhône),Rhône-style Red Blend,Domaine St Pierre,red,no
211,France,"This is taut and sinewy in profile, but shows off a fine range of aromas, from thyme and lavender to cocoa, red plum and ripe cherry. The raspberry and herb flavors finish in a storm of firm tannins. Drink 2020–2025.",Les Christins,90,32.0,Rhône Valley,Vacqueyras,,Joe Czerwinski,@JoeCz,Famille Perrin 2013 Les Christins Red (Vacqueyras),Rhône-style Red Blend,Famille Perrin,red,no
214,US,"This is a big, brawny expression of Grenache, Mourvèdre, Syrah and Counoise, the Grenache playing the dominant role in the blend. It coats the palate in dense raspberry and blueberry fruit, seasoned with pepper and nutmeg. A leathery touch to the texture and lifted acidity keeps it from feeling heavy or overdone.",Verah,90,36.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Mounts 2014 Verah Red (Dry Creek Valley),Rhône-style Red Blend,Mounts,red,no
485,France,"Bulky and rugged but sound, with some drying tannins on the finish. It compensates by offering attractive flavors of black cherries, black olives and hints of asphalt and garrigue. Try it with hearty braises or stews.",Rhône-style Red Blend,87,13.0,Rhône Valley,Côtes du Rhône Villages,,Joe Czerwinski,@JoeCz,Louis Bernard 2009 Red (Côtes du Rhône Villages),Rhône-style Red Blend,Louis Bernard,red,no
504,France,"A simple but attractive Côtes du Rhône, with impressively pure cherry-berry fruit, medium body and a slightly chunky feel. Drink it over the next couple of years.",Réserve Grand Veneur,87,15.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,Alain Jaume et Fils 2009 Réserve Grand Veneur Red (Côtes du Rhône),Rhône-style Red Blend,Alain Jaume et Fils,red,no
594,France,"This medium-bodied blend of 50% Grenache and 50% Syrah is simple but satisfying. Ripe cherries and raspberries carry the load, dressed up by hints of vanilla and cinnamon. A soft dustiness marks the texture, turning silky on the finish. Drink now–2020.",La Decelle,89,20.0,Rhône Valley,,,Joe Czerwinski,@JoeCz,Lavau 2015 La Decelle Red,Rhône-style Red Blend,Lavau,red,no
657,South Africa,"The 2011 Night Sky shows more earthy character than the 2012, as upfront aromas of soil, blackberry leaf and pepper are grounded by ripe fruit tones of black currant, plum and mulberry. Medium weight on the palate, with velvety tannins that grip through the long, spicy finish. The dense, tight mouthfeel, firm structure and overall balance suggest this wine will age well through 2022.",Night Sky,92,50.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Fable Mountain 2011 Night Sky Red (Coastal Region),Rhône-style Red Blend,Fable Mountain,red,no
886,France,"This Grenache-heavy blend (with 20% Syrah) offers a good amount of bittersweet cocoa powder and rich jammy black berries and all-fruit preserves on the nose and mouth. A hint of gaminess adds interest to the bouquet, while the crushed velvet texture and firm tannins transition into a long finish laced with earthy spice.",La Mère Grand,90,25.0,Languedoc-Roussillon,Minervois,,Lauren Buzzeo,@laurbuzz,Loup Blanc 2007 La Mère Grand Red (Minervois),Rhône-style Red Blend,Loup Blanc,red,no
1014,US,"This blend from a newer Westside Paso winery offers blackberry, charred pine and sour cherry aromas. The palate is driven by pine sap, charred game and sharp herbs such as oregano and rosemary, and would be a great way to spice up a steak dinner.",Forty Two,88,42.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Brecon Estate 2012 Forty Two Red (Paso Robles),Rhône-style Red Blend,Brecon Estate,red,no
1108,US,"Distinct crushed lava rock aromas meet with dust, cinnamon, cola and Dr Pepper on this blend of 28% Syrah, 22% Grenache, 17% Cinsault, 17% Mourvèdre and 16% Carignane. Light red fruits of cranberry and slight strawberry show on the palate that dives into serious tannins quickly.",Le Cigare Volant,90,38.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Bonny Doon 2010 Le Cigare Volant Red (Central Coast),Rhône-style Red Blend,Bonny Doon,red,no
1112,France,"Dense almost to the point of chewiness, this is a concentrated blend of Syrah, Carignan and Grenache. Earthy, plummy notes pick up hints of dark chocolate and licorice before ending rich and velvety.",Les Cimels,90,17.0,Rhône Valley,Costières de Nîmes,,Joe Czerwinski,@JoeCz,Château d'Or et de Gueules 2010 Les Cimels Red (Costières de Nîmes),Rhône-style Red Blend,Château d'Or et de Gueules,red,no
1343,US,"Damp chaparral, dried blueberry, beef and pencil lead scents show on the nose of this blend of 54% Grenache, 35% Syrah and 11% Mourvèdre. Rounded blueberry and black plum flavors meet loamy soil, anise, thyme and marjoram spice, with a savory touch of smoke.",Rendition,90,38.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Écluse 2014 Rendition Red (Paso Robles),Rhône-style Red Blend,Écluse,red,no
1414,France,"Big, full bodied and concentrated, this is a ripe, rich wine. Ripe plum flavors are balanced with nervy acidity and dense tannins. This is a wine that will still need to age, so don't drink before 2017.",Rhône-style Red Blend,93,,Provence,Bandol,,Roger Voss,@vossroger,Domaine de l'Hermitage 2010 Red (Bandol),Rhône-style Red Blend,Domaine de l'Hermitage,red,no
1433,France,"Structured and firm, this is a tight wine with powerful, youthful acidity as well as a dense structure and dark tannins. It has weight as well, indicating a wine with excellent aging potential. Drink from 2016.",Rhône-style Red Blend,92,40.0,Provence,Bandol,,Roger Voss,@vossroger,Château Salettes 2011 Red (Bandol),Rhône-style Red Blend,Château Salettes,red,no
1437,France,"Dense and structured, this is a wine with good potential. It has weight, concentrated tannins and ripe fruit, as well as a solid, full-bodied feel. The palate is marked with power, a fine mineral texture and great acidity on the finish. Drink from 2017.",Rhône-style Red Blend,92,,Provence,Bandol,,Roger Voss,@vossroger,Domaine de Val d'Arenc 2011 Red (Bandol),Rhône-style Red Blend,Domaine de Val d'Arenc,red,no
1443,US,"Dark and thick in the glass, this blend of 82% Syrah and 18% Mourvèdre leads with black cherry syrup, smoked beef and dark chocolate aromas, which blossom as the wine opens. Rich and lavish on the palate, it has fine tannins that frame its blueberry, cassis and mocha flavors. It's firmly structured, with a lingering acidity.",Authenticity,94,75.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Epoch Estate Wines 2013 Authenticity Red (Paso Robles),Rhône-style Red Blend,Epoch Estate Wines,red,no
1449,France,"Purists will no doubt object to this wine's fine patina of sophisticated, cedary oak, but there's plenty of high-quality fruit to back it up. Incorporating unusual proportions of 44% Grenache, 33% Mourvèdre and 23% Syrah, the fruit is ripe and lush, velvety-supple and medium to full in weight, without any sense of heaviness. Drink 2020–2030.",Cuvée des Cadettes,94,180.0,Rhône Valley,Châteauneuf-du-Pape,,Joe Czerwinski,@JoeCz,Château La Nerthe 2013 Cuvée des Cadettes Red (Châteauneuf-du-Pape),Rhône-style Red Blend,Château La Nerthe,red,no
1455,US,"The winery's characteristic dense style is immediately apparent in this blend of 54% Syrah, 21% Mourvèdre, 16% Grenache and 9% Petite Sirah. It offers black licorice, smoked meat, baked black cherry and graphite aromas, needing time to breathe before unleashing black coffee, elderberry jam, asphalt and charcoal flavors through tarry tannins. Drink 2018–2028.",Ingenuity,94,70.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Epoch Estate Wines 2013 Ingenuity Red (Paso Robles),Rhône-style Red Blend,Epoch Estate Wines,red,no
1731,US,"This blend of Syrah, Mourvèdre, Carignan, Counoise, Grenache and Cinsault immediately appeals with its aromas of plum, candied raspberry and garrigue, with no oak influence anywhere in sight. It's fruit laden, focused and supple, with a feel that dazzles the senses and pure fruit flavors that just won't quit.",Subduction,92,20.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Syncline 2013 Subduction Red (Columbia Valley (WA)),Rhône-style Red Blend,Syncline,red,no
1756,US,"This wine is a field blend of Syrah, Mourvèdre and Grenache from Bishop's vineyard. Aromas of herbs, berry, cumin and wet copper penny are followed by smooth-feeling dark berry flavors with a tart, mesquite-filled finish.",Bishop's Block,84,29.0,Washington,Ancient Lakes,Columbia Valley,Sean P. Sullivan,@wawinereport,Crayelle Cellars 2013 Bishop's Block Red (Ancient Lakes),Rhône-style Red Blend,Crayelle Cellars,red,no
1780,US,"This Southern Rhône-style blend is roughly half Mourvèdre, 31% Grenache and 17% Cinsault. It's a delicious match-up, with the Mourvèdre underscoring the minerality, and providing grip and texture around the racy red berry flavors of the other two grapes. The wine has a spine of steel, suggesting it will age through 20206–2022.",Stone Tree SoRhô,91,33.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Helix by Reininger 2011 Stone Tree SoRhô Red (Columbia Valley (WA)),Rhône-style Red Blend,Helix by Reininger,red,no
1873,US,"The Doyenne Métier generally drinks very well right out of the chute, and this 2009 is no exception. Supple and concentrated, this blend of 51% Grenache, 32% Mourvèdre and 17% Syrah is an absolute riot of mixed berry fruit scents and flavors. Full, lush, dense and quite long in the finish, it's a spicy, brilliant bit of winemaking. Can it age? Undoubtedly. But good luck keeping your hands off it!",Métier,93,36.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Doyenne 2009 Métier Red (Yakima Valley),Rhône-style Red Blend,Doyenne,red,no
1874,France,"It's sad that only 5,080 bottles of this wine were produced, as it's truly a stunner. Dark and developed, complex and concentrated, this wine exhibits such superb balance and finesse, with nuanced notes of minerality, scrubland, whole tobacco leaf, black pepper and licorice root all gracing the dark fruit core of the nose and mouth. It's lush and full on the palate, and medium tannins provide a solid structure, making the wine drinkable now or ready to age.",L'Hospitalitas - La Clape,93,75.0,Languedoc-Roussillon,Coteaux du Languedoc,,Lauren Buzzeo,@laurbuzz,Gérard Bertrand 2008 L'Hospitalitas - La Clape Red (Coteaux du Languedoc),Rhône-style Red Blend,Gérard Bertrand,red,no
