,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
83,Australia,"Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.",Rosé,86,20.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),Rosé,Mitolo,rose,no
337,France,"An easy and inviting selection, there's a mentholated streak to the soft red currant and cherry core of this wine. Light and breezy on the palate, it offers thin, quickly dissipating flavors and a fleeting finish.",Rosé,83,16.0,Languedoc-Roussillon,Languedoc,,Lauren Buzzeo,@laurbuzz,Château Notre Dame du Quatourze 2015 Rosé (Languedoc),Rosé,Château Notre Dame du Quatourze,rose,no
338,France,The wine is earthy and somewhat rustic. There is fruit but it is spoiled by a spicy pepper edge. Chill this drastically.,Rosé,82,11.0,Provence,Coteaux Varois en Provence,,Roger Voss,@vossroger,Mémoires 2015 Rosé (Coteaux Varois en Provence),Rosé,Mémoires,rose,no
425,US,"Blossom and berry notes are accented by hints of smoked nut in this refreshingly light-bodied wine. Zesty and lithe on the palate, it's an ideal summer-to-fall apéritif or porch sipper. The moderately long finish is marked with a hint of waxy florals.",Rosé,89,18.0,New York,New York,New York Other,Anna Lee C. Iijima,,Lieb 2015 Bridge Lane Rosé (New York),Rosé,Lieb,rose,no
499,France,"This is a big, spicy wine, with very ripe flavors of red berries. It''ss concentrated, with layers of pepper a tight lemon-zest acidity.",Rosé,87,20.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Domaine du Grand Cros 2011 L'Esprit de Provence Rosé (Côtes de Provence),Rosé,Domaine du Grand Cros,rose,no
500,Spain,"Aromas of watermelon and a dusting of natural vanilla mark the bouquet. On the palate, it's fleshy but still crisp and focused, with nectarine, red apple and strawberry flavors. The finish lasts, with some sweetness.",Rosé,87,11.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,El Coto 2011 Rosado Rosé (Rioja),Rosé,El Coto,rose,no
552,France,"Coming from a remote estate on the edge of the Lubéron mountains in the north of Provence, this wine is impressively rich. It gains great concentration and structure from the Cabernet Sauvignon and Syrah in the blend. Full of ripe red fruits, it is dense at the end.",Rosé,93,20.0,Provence,Coteaux d'Aix-en-Provence,,Roger Voss,@vossroger,Château Vignelaure 2015 Rosé (Coteaux d'Aix-en-Provence),Rosé,Château Vignelaure,rose,no
554,France,"Named after the Negrel family, owners of the estate, this is the top cuvée in their range. Aging in wood gives it a surprising series of flavors ranging from caramel to spice to buttery toast. While some of the fruit is lost along the way, the wine has a rounded, very complete character that is rich and made for food.",Rosé,93,40.0,Provence,Côtes de Provence Sainte-Victoire,,Roger Voss,@vossroger,Mas de Cadenet 2015 Mas Negrel Cadenet Rosé (Côtes de Provence Sainte-Victoire),Rosé,Mas de Cadenet,rose,no
574,France,"This bend of 70% Syrah and 30% Grenache is nevertheless very pale in hue. the nose hints at wet stone, thyme and bay leaf, while the medium-bodied palate delivers a harmonious blend of red berries and citrus. Long on the finish, with mouthwatering persistence.",Rosé,89,11.0,Rhône Valley,Costières de Nîmes,,Joe Czerwinski,@JoeCz,Château de Campuget 2016 Tradition Rosé (Costières de Nîmes),Rosé,Château de Campuget,rose,no
577,US,"Ripe luscious black-cherry and berry notes lend heft to this bold concentrated rosé. It's just a shade off dry, but balances neatly, juxtaposing crisp acidity against lavish texture and a pleasantly clingy finish.",Rosé,89,17.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Chateau Lafayette Reneau 2016 Pinot Noir Rosé (Finger Lakes),Rosé,Chateau Lafayette Reneau,rose,no
579,US,"This refreshing, well-structured wine offers vivid but light fruit flavors, a crisp balance and mouthwatering texture. It has lots of fresh citrus flavors that will pair well with salty meats and all kinds of seafood.",Rosé,89,13.0,California,California,California Other,Jim Gordon,@gordone_cellars,Cupcake 2016 Rosé (California),Rosé,Cupcake,rose,no
701,France,"Always released after a further year's aging, this rich and full-bodied wine is now at its peak. With a dense texture, layers of spice and vanilla as well as intense red fruits, this powerful wine expresses the more complex side of Provence rosé. Drink now.",Rosé,91,65.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château d'Esclans 2013 Les Clans Rosé (Côtes de Provence),Rosé,Château d'Esclans,rose,no
702,France,"Produced by the owners of Châteauneuf-du-Pape estate Château Mont-Redon, this is a full and fruity wine. It has a good balance between acidity and red berry fruits that give a rich character. Packed with flavor, it's ready to drink.",Rosé,91,17.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château Riotor 2014 Rosé (Côtes de Provence),Rosé,Château Riotor,rose,no
703,France,"While the wine is really pale in color, it does have a great range of flavors, offering red fruit notes balanced by beautiful acidity and citrus streaks. It's gently textured, giving a good bite to the fruitiness at the end.",Rosé,91,,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château Sainte Marguerite 2014 Rosé (Côtes de Provence),Rosé,Château Sainte Marguerite,rose,no
704,France,"This rich and impressive wine has structure and a firm texture, partly from the Cabernet Sauvignon in the blend (45% Grenache, 35% Syrah, 20% Cabernet Sauvignon). It is dense and full of juicy red fruits, caramel and delicious spice. Production is only 2,500 cases. It would be worth aging for a few more months, so drink from late 2015.",Rosé,91,20.0,Provence,Coteaux d'Aix-en-Provence,,Roger Voss,@vossroger,Château Vignelaure 2014 Rosé (Coteaux d'Aix-en-Provence),Rosé,Château Vignelaure,rose,no
706,France,"Very fruity and fresh, this wine has crisp apples as well as red fruit giving it a bright, delicious feeling. The acidity goes right through the wine, giving a beautifully fresh feel that points up the fragrant raspberries. Vineyards are in the heart of the sandy soils of the Saint Tropez peninsula.",Rosé,91,20.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Domaine de la Bastide Blanche 2014 TwoB Rosé (Côtes de Provence),Rosé,Domaine de la Bastide Blanche,rose,no
707,France,"Rounded and soft, this rich rosé is fruity while also perfumed. The blending of Syrah in the mix gives the wine a sense of power and concentration, making it an adquate partner at the dinner table.",Rosé,91,20.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Domaine du Grand Cros 2014 L'Esprit de Provence Rosé (Côtes de Provence),Rosé,Domaine du Grand Cros,rose,no
708,France,"This wine is full in the mouth with a taste between pepper and fruit. It's ripe, rounded and tangy with clementine zest as well crisp apples and red currants. It could benefit from a few months in bottle, so drink from late 2015.",Rosé,91,25.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Domaine Sainte-Marie 2014 VieVité Extraordinaire Rosé (Côtes de Provence),Rosé,Domaine Sainte-Marie,rose,no
717,France,"An addition to the worldwide JCB brand, produced by the Boisset family of Burgundy, this feels rich and sumptuous, full of ripe red fruits and juicy plums. It is also balanced and well structured. Drink this wine with food.",Rosé,91,25.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,JCB 2014 No. 5 Rosé (Côtes de Provence),Rosé,JCB,rose,no
720,Portugal,"Onion skin orange in color, this is a full and fat wine. It has attractive red-berry fruit and just the right amount of acidity to keep it fresh and crisp. Drink now.",Rosé,85,22.0,Alentejano,,,Roger Voss,@vossroger,Cortes de Cima 2015 Rosé (Alentejano),Rosé,Cortes de Cima,rose,no
726,Portugal,"A rose pink colored wine that is dry and with ripe fruit. Its acidity contrasts with the warm red-berry fruit and the edge of tannin. There is a peppery, crisp aftertaste.",Rosé,85,9.0,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Paços 2015 Casa de Paços Rosé (Vinho Verde),Rosé,Quinta de Paços,rose,no
