,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
182,Italy,"Loaded with bold, ripe fruit, exotic spice and leather, this is a simple but genuine expression of Brunello di Montalcino. The wine tastes thick and a bit chunky in the mouth because of its chewy, succulent tannins.",M. Vigna,88,,Tuscany,Brunello di Montalcino,,,,Abbadia Ardenga 2003 M. Vigna  (Brunello di Montalcino),Sangiovese Grosso,Abbadia Ardenga,red,no
1258,Italy,"This special selezione Brunello delivers big ripe fruit flavors—almost too ripe—of blueberry, strawberry and red currants. The wine has power and heft with more flavors of spice, leather, tobacco and gritty tannins.",Vigna La Casa,88,90.0,Tuscany,Brunello di Montalcino,,,,Caparzo 2004 Vigna La Casa  (Brunello di Montalcino),Sangiovese Grosso,Caparzo,red,no
1682,Italy,"Il Veltro is a newish brand of Brunello from Montalcino that opens with bright berry nuances and background notes of spice, cola, tobacco and leather. The mouthfeel is rich and firm, enduring but not too heavy or overdone.",Sangiovese Grosso,90,,Tuscany,Brunello di Montalcino,,,,Il Veltro 2005  Brunello di Montalcino,Sangiovese Grosso,Il Veltro,red,no
1713,Italy,"This Sangiovese from a hot vintage definitely seems past its peak. It has a very sweet-smelling, cherry-driven nose with a touch of marmalade that is blasted by a sudden rush of oak wood.",Birba,85,29.0,Tuscany,Toscana,,,,La Gerla 2003 Birba Sangiovese Grosso (Toscana),Sangiovese Grosso,La Gerla,red,no
1876,Italy,"This wonderful Brunello opens with sultry aromas of black fruit, cherry, spice, leather and tobacco. It's a rich and penetrating wine with a soft, lush mouthfeel and a hint of crisp acidity on the close. You'll want to keep this treasure in your cellar for a few more years.",L'Orciaia,93,,Tuscany,Brunello di Montalcino,,,,Argiano 2006 L'Orciaia  (Brunello di Montalcino),Sangiovese Grosso,Argiano,red,no
2224,Italy,Opens with dark concentration and extra flesh and density in terms of texture. There's an extra padding of softness that helps buffer the vintage's high acidity and natural firmness. Not ready to drink for another 10 years at least.,Riserva,94,92.0,Tuscany,Brunello di Montalcino,,,,Fornacina 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Fornacina,red,no
2225,Italy,"A rich and sophisticated wine, with loads of dark fruit and exotic spice. It's bright ruby-garnet appearance, with bright acidity and a fresh, lively finish.",Riserva,94,85.0,Tuscany,Brunello di Montalcino,,,,San Polino 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,San Polino,red,no
2226,Italy,"Tenuta di Sesta is run by a perfect father-mother-daughter-son team and is located in one of the least-traveled corners of Montalcino. The 2007 Brunello delivers sweet oak tones that drive the initial bouquet and are soon followed by bright cherry, vanilla bean, sweet mocha and rum cake. Pretty balsam notes at the back will undoubtedly increase and evolve with age. Cellar this wine 10 years.",Sangiovese Grosso,94,90.0,Tuscany,Brunello di Montalcino,,,,Tenuta di Sesta 2007  Brunello di Montalcino,Sangiovese Grosso,Tenuta di Sesta,red,no
2228,Italy,"The ripe fruit element is perfectly contained and just short of seeming overdone or jammy. It's soft and round, with loads of oak-driven spice, like cinnamon and ground clove, and plump tones of red cherry, blackberry and plum. What's really nice is the freshness and overall supple texture.",Sangiovese Grosso,94,70.0,Tuscany,Brunello di Montalcino,,,,Máté 2007  Brunello di Montalcino,Sangiovese Grosso,Máté,red,no
2230,Italy,"Well stitched together with a broad, wide assembly of dark fruit, spice and cola-like aromas. All the wine's elements sing loud as a single chorus; bold, plush, chewy. Ends with ripe fruit, rum cake, pipe tobacco and dark espresso bean. Firm, great length.",Sangiovese Grosso,94,40.0,Tuscany,Brunello di Montalcino,,,,Molino di Sant'Antimo 2007  Brunello di Montalcino,Sangiovese Grosso,Molino di Sant'Antimo,red,no
2232,Italy,"This wine has some big shoulders. There's a dusty, aged quality, with sophisticated, silky tannins and tertiary aromas of black licorice, dried tobacco, peppercorn and dried berry fruit. It's firm, tight and compact; age 10 more years.",Riserva,94,120.0,Tuscany,Brunello di Montalcino,,,,Podere Brizio 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Podere Brizio,red,no
2234,Italy,"This Brunello delivers an intense and complex bouquet featuring beautifully integrated aromas of dark fruit, spice, leather and tobacco. Tight tannins promise a long future ahead.",Riserva,94,65.0,Tuscany,Brunello di Montalcino,,,,Mocali 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Mocali,red,no
2236,Italy,"Opens with dark concentration and ripe berry fruit with layers of plum, blackberry, dark chocolate, pipe tobacco, cherry liqueur, cola and underbrush. It offers a wonderful 360-degree portrait of Sangiovese Grosso. Tight structure, integration and loads of fruity intensity. Drink after 2018.",Sangiovese Grosso,94,45.0,Tuscany,Brunello di Montalcino,,,,Pietranera 2007  Brunello di Montalcino,Sangiovese Grosso,Pietranera,red,no
2237,Italy,"This beautiful riserva opens with dark concentration and bold berry notes spanning from cassis to blackberry. It's a ripe, extracted wine with savory spice and cured meat aromas that fill in the back. Crushed black pepper and cardamom also make a brief, but lively, appearance.",Riserva,94,,Tuscany,Brunello di Montalcino,,,,Quattroventi 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Quattroventi,red,no
2239,Italy,"This full-bodied wine opens with compelling aromas of black fruit, smoked bacon, leather, cinnamon and crushed clove. There's a sassy, spicy characteristic here that is further underlined by the wine's natural sweetness and roundness.",Vigna Spuntali Val di Suga,94,106.0,Tuscany,Brunello di Montalcino,,,,Tenimenti Angelini 2006 Vigna Spuntali Val di Suga  (Brunello di Montalcino),Sangiovese Grosso,Tenimenti Angelini,red,no
2240,Italy,"Austere, tight and sophisticated, this well-extracted Brunello shows dry aromas of crushed granite along with ethereal tones of dried ginger, black licorice and root beer. Inky appearance with chewy richness. The mouthfeel is round, chewy and packed with sweet fruit and spice. Drink after 2015.",Sangiovese Grosso,94,72.0,Tuscany,Brunello di Montalcino,,,,Uccelliera 2007  Brunello di Montalcino,Sangiovese Grosso,Uccelliera,red,no
2243,Italy,"This successful riserva displays opulence and a bold, modern style that focuses on bright cherry and savory spice aromas. The wine is loaded with density and richness, and combines a ripe soft feel with a lively berries on the finish.",Riserva,94,75.0,Tuscany,Brunello di Montalcino,,,,Collosorbo 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Collosorbo,red,no
2247,Italy,"Here's a gorgeous wine with a deep, inky color and super extraction that is elegant but powerful at the same time. This is a balanced wine, but it's also an intense wine, with loads of ripe fruit, spice and tobacco. It feels smooth and rich, with a finely crafted texture that is velvety and supple.",Sangiovese Grosso,94,55.0,Tuscany,Brunello di Montalcino,,,,Verbena 2007  Brunello di Montalcino,Sangiovese Grosso,Verbena,red,no
2248,Italy,"This is a lovely Brunello with black cherry, plum, smoke, bacon, leather and a drying touch of crushed mineral on the nose. It is rich and concentrated, with a slightly sweet-smelling bouquet. The mouthfeel is compact, tight and polished—but there is excellent length too.",Sangiovese Grosso,94,65.0,Tuscany,Brunello di Montalcino,,,,Castello Romitorio 2007  Brunello di Montalcino,Sangiovese Grosso,Castello Romitorio,red,no
2249,Italy,"Inky color, with a broad array of aromas, including earth, candied fruit, plum cake and cinnamon spice. Smooth and luscious in the mouth, where its tight structure shows promising potential for longevity.",Il Mio Brunello Riserva,94,150.0,Tuscany,Brunello di Montalcino,,,,Il Poggiolo E. Cosimi 2006 Il Mio Brunello Riserva  (Brunello di Montalcino),Sangiovese Grosso,Il Poggiolo E. Cosimi,red,no
2295,Italy,"Pian delle Vigne's 2004 Brunello is worlds apart from the scorching hot 2003 vintage—so different, in fact, the wine seems utterly reborn. You can smell those hallmark Sangiovese aromas: cherry, blue flower and wet earth, and taste the variety's elegant acidity.",Pian delle Vigne,90,66.0,Tuscany,Brunello di Montalcino,,,,Marchesi Antinori 2004 Pian delle Vigne  (Brunello di Montalcino),Sangiovese Grosso,Marchesi Antinori,red,no
