,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
61,Italy,This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.,Prugneto,86,17.0,Central Italy,Romagna,,Kerin O’Keefe,@kerinokeefe,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,Podere dal Nespoli,red,no
98,Italy,"Forest floor, menthol, espresso, cranberry and pressed violet aromas take shape in the glass. The lean linear palate shows dried sour cherry, licorice and coffee bean alongside assertive close-grained tannins. Even though the tannins are still firm, drink sooner rather than later to capture the remaining fruit.",Dono Riserva,88,30.0,Tuscany,Morellino di Scansano,,Kerin O’Keefe,@kerinokeefe,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,Serpaia di Endrizzi,red,no
158,Italy,"Baked plum, Asian spice, vanilla and menthol aromas carry the nose. The elegantly structured palate offers fleshy black cherry, licorice, mint and well-integrated French oak alongside fine-grained tannins that lend firm, polished support. A coffee note marks the finish.",Bellezza Gran Selezione,91,38.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,Castello di Gabbiano,red,no
159,Italy,"Intense aromas of ripe red berry, menthol, espresso and star anise lead the nose. The concentrated palate offers cranberry, dried Morello cherry, sage and licorice alongside close-grained tannins that grip the finish. Drink from 2018 through 2025.",Filo di Seta,91,,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino),Sangiovese,Castello Romitorio,red,no
177,Italy,"This Chianti Classico strikes a beautiful balance between elegance and intensity. It has both and its pretty aromas of wild berry, rose, ginger, anise and spice come forth in a continuous, steady manner. It feels bright and lively in the mouth and ends with a touch of piquant spice.",Sangiovese,88,22.0,Tuscany,Chianti Classico,,,,Isole e Olena 2005  Chianti Classico,Sangiovese,Isole e Olena,red,no
194,Italy,"Here's a traditional Chianti Classico with pretty aromas of cherry cola, mesquite, almonds and violets. The wine is compact and elegant in the mouth and offers crisp berry flavors on the close.",Sangiovese,87,,Tuscany,Chianti Classico,,,,Campomaggio 2005  Chianti Classico,Sangiovese,Campomaggio,red,no
200,Italy,"Aromas of mature black-skinned berry, tobacco and dark spice lead the way. The rounded palate offers dried cherry, raspberry, coffee and a licorice note alongside velvety if not very persistent tannins. Showing the heat of the vintage, this is evolving quickly so enjoy over the next several years.",Riserva,90,,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Tenuta di Sesta 2011 Riserva  (Brunello di Montalcino),Sangiovese,Tenuta di Sesta,red,no
216,Italy,"Black-skinned berry, pipe tobacco and Mediterranean herb aromas waft out of the glass and carry over to the firm linear palate along with morello cherry, licorice and a hint of clove. Taut fine-grained tannins and fresh acidity provide the backbone while orange peel marks the finish. Drink 2019–2025.",Sangiovese,90,57.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Podere Scopetone 2012  Brunello di Montalcino,Sangiovese,Podere Scopetone,red,no
222,Italy,"Chopped herb, forest floor, leather, espresso and a balsamic note are some of the aromas that waft out of the glass. The powerfully structured palate delivers prune, dried cherry, tobacco, and roasted coffee bean framed in firm fine-grained tannins. Give the tannins a few more years to unwind then drink to capture the fruit richness. Drink 2018–2023.",Trentennale,90,,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Talenti 2011 Trentennale  (Brunello di Montalcino),Sangiovese,Talenti,red,no
241,US,"Sweetly rich in cherry, red currant and chocolate flavors, with a peppery edge, this Sangiovese is soft in structure. The bright acidity can cut through tomato sauce with cheese.",Sangiovese,85,34.0,California,Napa Valley,Napa,,,Falcor 2005 Sangiovese (Napa Valley),Sangiovese,Falcor,red,no
300,US,"Soft, light in body and easy to drink, this Sangiovese, from the Napa estate vineyard, is delicious in raspberry, red currant, licorice, bacon and spice flavors. It's somewhat ephemeral, an instantly pleasant wine to drink especially with cured meats, olives, hard cheeses.",Estate,87,28.0,California,Napa Valley,Napa,,,Benessere 2007 Estate Sangiovese (Napa Valley),Sangiovese,Benessere,red,no
375,Italy,"A soft, ripe wine that manages to showcase tobacco, earth and black cherry flavors in a relatively lightweight format, finishing long and tart.",Vino in Musica,88,40.0,Tuscany,Toscana,,,,Valiano 1997 Vino in Musica Sangiovese (Toscana),Sangiovese,Valiano,red,no
451,Italy,"Here's an enticing Vino Nobile offering aromas of underbrush, tobacco leaf, ripe cherry and spice. The palate delivers succulent black cherry, plum, cinnamon and nutmeg along with velvety tannins. Although it shows the warmth of the vintage, it still retains elegance and class. Delicatio Wines, Golden Vines.",Messaggero,92,35.0,Tuscany,Vino Nobile di Montepulciano,,Kerin O’Keefe,@kerinokeefe,Montemercurio 2007 Messaggero  (Vino Nobile di Montepulciano),Sangiovese,Montemercurio,red,no
492,US,"Tart and lively, this medium-bodied Sangiovese was co-fermented with small amounts of Syrah and Viognier. The Viognier contributes scents of citrus and stone fruit, which add some welcome complexity.",Sangiovese,87,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Zerba Cellars 2008 Sangiovese (Walla Walla Valley (WA)),Sangiovese,Zerba Cellars,red,no
547,US,"Deep aromas of dried strawberries and blueberries meet with hot bricks, dried meats, purple flowers, a touch of smoke and secondary notes of truffle on the nose of this delicious smelling and tasting wine. The layers of flavor on the palate range from black cherry to milk chocolate, framed by chalky tannins.",Stolpman Vineyard,93,150.0,California,Ballard Canyon,Central Coast,Matt Kettmann,@mattkettmann,Turiya 2011 Stolpman Vineyard Sangiovese (Ballard Canyon),Sangiovese,Turiya,red,no
598,US,"Light and lively aromas of dried red berries, concentrated roses, cola and black plums show on the nose of this very accessible and pleasurable Sangiovese. The cohesive palate integrates cherry, cola and milk-chocolate flavors into an easy-drinking frame, perfect for barbecues or family-style Italian meals.",Starlight,89,36.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Midnight 2013 Starlight Sangiovese (Paso Robles),Sangiovese,Midnight,red,no
740,US,"There seems to be a dusty veil over the fruit of this sold, approachable Sangiovese. A bit of sweet spice creeps up on the palate, making it enjoyable by itself or paired alongside pizza Tuesday.",Sangiovese,85,,Texas,Texas,,Alexander Peartree,,McPherson 2014 Sangiovese (Texas),Sangiovese,McPherson,red,no
