,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
34,US,"This shows a tart, green gooseberry flavor that is similar to New Zealand Sauvignon Blanc. Other notes include tropical fruit, orange and honey. Unoaked, with a splash of Muscat, this has commendable dryness and acidity.",Sauvignon Blanc,86,20.0,California,Sonoma Valley,Sonoma,,,Envolve 2011 Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,Envolve,white,no
43,US,"The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections.",Sauvignon Blanc,86,14.0,California,Paso Robles,Central Coast,,,Robert Hall 2011 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,Robert Hall,white,no
48,US,"This bottling resembles the New Zealand paradigm of Sauvignon Blanc, bearing aromas of grapefruit, passion fruit and kiwi; a sprinkling of graham cracker adds interest. The wine hits the palate like a fleshy fist, with an intense, grassy gooseberry flavor that provides plenty of punch. Pair with apricot-glazed roasted chicken.",Sauvignon Blanc,86,16.0,Virginia,Monticello,,,,Trump 2011 Sauvignon Blanc (Monticello),Sauvignon Blanc,Trump,white,no
64,US,"There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.",Golden Horn,86,26.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Sevtap,white,no
174,New Zealand,"The Stoneleigh style traditionally favors ripeness over herbaceousness, and the 2008 holds true to form, offering up grapefruit and nectarine aromas and an appealing blend of citrus and stone-fruit flavors. It's plump and round, yet finishes fresh. Good as an apéritif or with light dishes.",Sauvignon Blanc,88,19.0,Marlborough,,,Joe Czerwinski,@JoeCz,Stoneleigh 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Stoneleigh,white,no
246,Australia,"Juicy and well balanced, this is an admirable effort at the price. Boxwood, grapefruit, lemon and quince notes make for a sophisticated first impression. The palate is straightforward citrus while gooseberry notes pop up on the dry finish. Drink now.",Destinations,85,15.0,South Australia,Adelaide Hills,,,,Long Flat 2006 Destinations Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Long Flat,white,no
371,Italy,"Fragrant, aromatic, grassy aromas give way to fresh, crisp, green fruit and gooseberry flavors. Finishes lively and vibrant.",Castel Ringberg,88,23.0,Northeastern Italy,Alto Adige,,Roger Voss,@vossroger,Elena Walch 2002 Castel Ringberg Sauvignon Blanc (Alto Adige),Sauvignon Blanc,Elena Walch,white,no
373,Italy,"Crisp, green, grassy wine with fresh acidity and herbeceous character. It is very New World with its tropical flavors and open, forward fruit.",I Fiori del Borgo,88,15.0,Northeastern Italy,Collio,,Roger Voss,@vossroger,Borgo Conventi 2002 I Fiori del Borgo Sauvignon Blanc (Collio),Sauvignon Blanc,Borgo Conventi,white,no
374,US,"An irresistibly drinkable white wine, filled with the juiciest flavors of citrus fruits, fig, melon and peach, and just the tiniest bit sweet. Crisp acidity cleanses the palate and leaves it feeling minty fresh on the long, spicy finish.",Kathleen's Vineyard,88,19.0,California,Mendocino County,,,,Ceago Vinegarden 2001 Kathleen's Vineyard Sauvignon Blanc (Mendocino County),Sauvignon Blanc,Ceago Vinegarden,white,no
385,US,"Richly textured, viscous but with good acidty for balance. The wine shows pretty melon, citrus, herb, grass, peach and spice flavors and features a mineral edge that is fresh and clean at the end.",Sauvignon Blanc,88,18.0,California,Rutherford,Napa,,,Vinoce 2001 Sauvignon Blanc (Rutherford),Sauvignon Blanc,Vinoce,white,no
387,US,"A great and versatile food wine. Its polished flavors of lime, fig and apricot are drizzled with Oriental spices and smoky oak. One of California's  most consistent wines, and rich enough to stand in for Chardonnay.",Reserve Fume,88,17.0,California,Alexander Valley,Sonoma,,,Murphy-Goode 2000 Reserve Fume Sauvignon Blanc (Alexander Valley),Sauvignon Blanc,Murphy-Goode,white,no
392,US,"A lovely wine, made even more attractive by the value price. It has flavors and lemons and limes and a ripe, sweet edge of honey, although it's technically dry. The acidity is clean and refreshing.",Sauvignon Blanc,87,12.0,California,Santa Ynez Valley,Central Coast,,,Bridlewood 2000 Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Bridlewood,white,no
398,Chile,"On the plump but balanced side, with a perfumed nose that's almost sweet for SB. In the mouth, it's fairly lively and lifted, with nectarine and melon flavors that morph into pink grapefruit on the finish. Decent quality; will get the job done.",Estate Selection,85,13.0,Curicó Valley,,,Michael Schachner,@wineschach,Aresti 2008 Estate Selection Sauvignon Blanc (Curicó Valley),Sauvignon Blanc,Aresti,white,no
430,US,"Yellow pear, fresh-squeezed lime, light mint and wet-cement aromas show on the brisk nose of this bottling by veteran Adam Tolmach. A grippy texture and lively acidity frame the palate, where green apple and lime flavors show. It's clean, pure and easy.",McGinley Vineyard,89,30.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Ojai 2014 McGinley Vineyard Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Ojai,white,no
503,US,"Sauvignon Blanc has been a consistent performer for Hanna, usually yielding a rich, ripe wine with brisk acidity. The '11 is one of their best efforts. It's tart, clean and savory, with the pineapple, tangerine and Meyer lemon flavors touched with a slight sweetness.",Sauvignon Blanc,87,19.0,California,Russian River Valley,Sonoma,,,Hanna 2011 Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,Hanna,white,no
587,Austria,"Notes of tart lemon peel appear on the nose. The lean and light body continues in that lemony vein with brisk freshness. This wine is light, with a slight texture made up of yeastiness and zesty lemon. Some notes of grass appear on the finish. Drink this light, dry wine soon.",Classic,89,20.0,Südsteiermark,,,Anne Krebiehl MW,@AnneInVino,Strauss 2016 Classic Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Strauss,white,no
601,Mexico,"Sauvignon Blanc is, in general, one of Baja's more consistent performers. This version is light in color, with varietally familiar aromas of nettle, grapefruit and passion fruit. It's a bit weighty, with apple, grapefruit and tropical flavors. A mild bitterness can be found on the finish.",Viña Kristel,87,15.0,Valle de Guadalupe,,,Michael Schachner,@wineschach,Monte Xanic 2012 Viña Kristel Sauvignon Blanc (Valle de Guadalupe),Sauvignon Blanc,Monte Xanic,white,no
610,US,"A touch of oak adds a sweet, smoky creaminess to this wine, but it's really dominated by Sauvignon Blanc's acidity and racy spearmint and tropical fruit. The alcohol is moderate, making it easy to drink.",Charlotte's Home Estate,87,17.0,California,Northern Sonoma,Sonoma,,,Rodney Strong 2012 Charlotte's Home Estate Sauvignon Blanc (Northern Sonoma),Sauvignon Blanc,Rodney Strong,white,no
694,South Africa,"This is a well-balanced, well-structured white wine that's sure to evolve through 2020, at least. It's certainly attractive now, with subtle toasty notes of sweet spice and wood-grilled apple alongside hints of kiwi, sweet grass, green plum and lime. The medium-weight palate offers ample acidity and a streak of minerality that keeps things fresh and lifted through the softly spiced finish.",Reserve,91,50.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Reyneke 2013 Reserve Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,Reyneke,white,no
696,New Zealand,"The Dillons Point subregion of Marlborough often produces particularly pungent examples of Sauvignon Blanc, but this wine doesn't quite hew to that mold. The herbal notes are prominent but well mannered, backed by plenty of mild citrus—think white grapefruit—and melon. Ample weight, a silky texture and a lengthy finish complete the package.",Pioneer Block 20 Dillons Point Cash Block,91,28.0,Marlborough,,,Joe Czerwinski,@JoeCz,Saint Clair 2014 Pioneer Block 20 Dillons Point Cash Block Sauvignon Blanc (Marlborough),Sauvignon Blanc,Saint Clair,white,no
