,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
339,Spain,"Red in color, with berry and apple aromas, this is sweet, with a heavy body and light effervescence.",1887 Rosado,82,13.0,Catalonia,Cava,,Michael Schachner,@wineschach,Cavas Hill NV 1887 Rosado Sparkling (Cava),Sparkling Blend,Cavas Hill,white,yes
342,Spain,"Funky, yeasty aromas of cinnamon, spent lees and bread yeast dominate the nose. This feels foamy, with lightly vegetal flavors of apple that finish briny.",Sparkling Blend,82,11.0,Catalonia,Cava,,Michael Schachner,@wineschach,Bellisco NV Sparkling (Cava),Sparkling Blend,Bellisco,white,yes
427,US,"A touch blossomy against a core of ripe raspberry and cherry perfume, the nose on this traditional-method Pinot Noir sparkler is particularly alluring. The palate is elegant and fresh, marked by fine, mouthfilling mousse and delicate raspberry-candy finish.",Rosé,89,35.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Macari 2010 Cuvée Gabriella Brut Rosé Sparkling (North Fork of Long Island),Sparkling Blend,Macari,rose,yes
456,US,"Thickly moussed, Roederer's Brut, 60% Chardonnay blended with 40% Pinot Noir, aged two years on yeast is affordable and luxurious. A gorgeous, very dry sparkling wine with aromatics of honey, raisin, apple and pear, it is rich and soft and offers both depth and length. It's an ideal marriage of bright acidity and ripe fruit character.",Brut,92,23.0,California,Anderson Valley,,Virginie Boone,@vboone,Roederer Estate NV Brut Sparkling (Anderson Valley),Sparkling Blend,Roederer Estate,white,yes
458,Italy,"From one of Franciacorta's leading producers, Gran Cuvée Pas Operé offers an enticing fragrance of acacia flower, white flowers and beeswax. The creamy palate delivers apple, nut, spice, thyme and sage along with fine, persistent effervescence.",Gran Cuvée Pas Operé,92,50.0,Lombardy,Franciacorta,,Kerin O’Keefe,@kerinokeefe,Bellavista 2006 Gran Cuvée Pas Operé Sparkling (Franciacorta),Sparkling Blend,Bellavista,white,yes
490,Spain,"Lime, apple and mineral aromas come with a note of eggy yeast. The mouthfeel is regular and a touch foamy, with semisweet flavors of kiwi, apple and gooseberry. Mild and feeling good on the finish, it's basic but well worth a go.",Reserva Brut,87,19.0,Catalonia,Cava,,Michael Schachner,@wineschach,V&N; Cellars NV Reserva Brut Sparkling (Cava),Sparkling Blend,V&N; Cellars,white,yes
531,US,"One of a crop of new Oregon sparklers, this was barrel fermented with native yeast and aged for 56 months prior to disgorging. Fine tiny bubbles and a fresh, yeasty aroma introduce the wine, which has excellent concentration. Green apple and green banana, a touch of cucumber and a nice toasty frame all combine gracefully. The odds are that this will continue to improve in bottle for another five years at least.",Blanc de Noir,91,50.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Le Cadeau 2011 Blanc de Noir Sparkling (Oregon),Sparkling Blend,Le Cadeau,white,yes
771,US,"A beautiful sparkling wine that shows the Iron Horse signature of balanced elegance. The lime, raspberry, vanilla and brioche flavors are rich and intricate, but particularly lovely is the texture, which is soft and silky.",Ocean Reserve,92,40.0,California,Green Valley,Sonoma,,,Iron Horse 2007 Ocean Reserve Sparkling (Green Valley),Sparkling Blend,Iron Horse,white,yes
782,US,"There's a honeyed accent to this sparkler, with tangerine, lime, buttered toast and yeasty flavors that are savory and complex. The mouthfeel is wonderfully soft and creamy. A great success for Laetitia, at a good price.",Cuvée M,92,35.0,California,Arroyo Grande Valley,Central Coast,,,Laetitia 2008 Cuvée M Sparkling (Arroyo Grande Valley),Sparkling Blend,Laetitia,white,yes
821,Spain,"Bready aromas feature melon as the main fruit scent. This is chunky in feel, with moderate acidity and cut. Apple, melon and green-herb flavors finish with hints of toast, yeast and generic sweetness.",Brut,86,15.0,Catalonia,Cava,,Michael Schachner,@wineschach,Pata Negra NV Brut Sparkling (Cava),Sparkling Blend,Pata Negra,white,yes
836,Spain,"Apple and melon aromas are standard and light. A juicy, citrusy feeling palate delivers stone-fruit flavors of peach and nectarine. A mild finish is fresh in flavor and feel.",Cinta Púrpura Brut Reserva,86,13.0,Catalonia,Cava,,Michael Schachner,@wineschach,Juvé y Camps NV Cinta Púrpura Brut Reserva Sparkling (Cava),Sparkling Blend,Juvé y Camps,white,yes
837,Spain,"Generic white-fruit and matchstick aromas are quiet in nature. This is creamy and not assaulting or sugary on the palate. Mango, melon, lychee and citrus flavors finish with lime notes.",Sweet Reserva,86,15.0,Catalonia,Cava,,Michael Schachner,@wineschach,Juvé y Camps NV Sweet Reserva Sparkling (Cava),Sparkling Blend,Juvé y Camps,white,yes
884,US,"Pretty dark in color and full bodied for a sparkling wine, even one that's majority Pinot Noir. But it's delicious and dry, which surely are prime requisites for any bubbly. Shows ripe, flashy raspberry, strawberry, orange, vanilla, honey, yeast and toast flavors, and the mouthfeel is silky and refined.",Rose,90,28.0,California,Russian River Valley,Sonoma,,,J Vineyards & Winery NV Brut Rose Sparkling (Russian River Valley),Sparkling Blend,J Vineyards & Winery,rose,yes
1111,Spain,"The nose falls somewhere between smoky and gritty, while dusty white-fruit scents prop things up. Peachy acidity and citric tang let you know this is a “nature” Cava, while nectarine, rhubarb and green-herb flavors finish razor crisp and dry.",Reserva Brut Nature,90,25.0,Catalonia,Cava,,Michael Schachner,@wineschach,Castellroig 2010 Reserva Brut Nature Sparkling (Cava),Sparkling Blend,Castellroig,white,yes
1120,France,"Chardonay and Pinot Noir are both present in this apple and pear flavored wine. A lively mousse brings out the fruit and acidity, giving a tangy, bright wine that's ready to drink now.",Brut,90,24.0,France Other,Crémant de Jura,,Roger Voss,@vossroger,Domaine Rolet Père et Fils 2008 Brut Sparkling (Crémant de Jura),Sparkling Blend,Domaine Rolet Père et Fils,white,yes
1179,France,"Packed with red fruits and crisp acidity, this lively wine has a tight mousse, while the red-currant fruitiness adds intense acidity. The wine is bright and ready to drink.",Rosé,88,10.0,Burgundy,Crémant de Bourgogne,,Roger Voss,@vossroger,Bailly-Lapierre NV La Burgondie Rosé Brut  (Crémant de Bourgogne),Sparkling Blend,Bailly-Lapierre,rose,yes
1209,US,"This is an assertive, flavorful and robust wine, with a medium to full body, a mouthfilling texture and fine-beaded bubbles. A creamy viscosity and wonderful layers of butter, apple, vanilla and ginger make for a delicious palate.",Estate Bottled Brut,93,24.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Roederer Estate NV Estate Bottled Brut Sparkling (Anderson Valley),Sparkling Blend,Roederer Estate,white,yes
1223,US,"After three years en tirage, this well-evolved wine is heady and floral, made to highlight and celebrate diversity. Creamy and lush on the palate, it has a rounded richness of stone fruit. Made predominantly from Pinot Noir, it has an accentuated taste of strawberry shortcake.",Rainbow Cuvée,93,65.0,California,Green Valley,Sonoma,Virginie Boone,@vboone,Iron Horse 2013 Rainbow Cuvée Sparkling (Green Valley),Sparkling Blend,Iron Horse,white,yes
1321,Spain,"Focused crisp aromas of white fruits reflect a cool vintage. This is roughly one-quarter each Macabeo, Parellada, Xarello and Chardonnay, and it feels tight, fresh and focused. Dry stone-fruit flavors include a hint of lime, while this is clean on the finish.",Brut Natural Reserva,90,25.0,Catalonia,Penedès,,Michael Schachner,@wineschach,Albet I Noya 2013 Brut Natural Reserva Sparkling (Penedès),Sparkling Blend,Albet I Noya,white,yes
1323,Spain,"Briny cidery aromas are fortunately not that loud or intense. This is wide and generous on the palate, with dry briny stone-fruit and apple flavors. A sense of dryness and pickle brine is amplified on a purposeful finish.",Privat Gran Reserva Brut Nature,90,36.0,Catalonia,Cava,,Michael Schachner,@wineschach,Alta Alella 2013 Privat Gran Reserva Brut Nature Sparkling (Cava),Sparkling Blend,Alta Alella,white,yes
1751,Spain,"Briny lemon-lime aromas are simplistic. This blend of Moscatel and Merseguera is foamy, while good acidity keeps it on a level plane. Ripe, sweet flavors of lychee, honeydew and mango are pure Moscato, while acidity from the Mersequera helps this along.",Tarima,84,12.0,Levante,Alicante,,Michael Schachner,@wineschach,Volver 2014 Tarima Sparkling (Alicante),Sparkling Blend,Volver,white,yes
1755,Spain,"Aromas of rhubarb, herbs and strawberry mark the nose. This feels solid and mostly fresh, while flavors of pickled rhubarb and briny plum come with sugary sweetness in front of a salty finish.",Rose,84,13.0,Catalonia,Cava,,Michael Schachner,@wineschach,Conde de Subirats NV Brut Rose Sparkling (Cava),Sparkling Blend,Conde de Subirats,rose,yes
1816,Spain,"Leesy vanilla aromas are scattershot and include bready notes of baked apple and pear. This feels round, plump and low on acidity. Flavors of grassy, green citrus and tropical fruits turn bitter before flattening out on a mild finish.",Brut,85,15.0,Catalonia,Cava,,Michael Schachner,@wineschach,Tarantas 2014 Brut Sparkling (Cava),Sparkling Blend,Tarantas,white,yes
1878,US,"Based on Chardonnay and Pinot Noir, this luxe rosé bubbly is delicious to drink now. It's likeable for the array of strawberry, orange and lime flavors, with that savory sparkling wine yeastiness, and the bubbles are smooth and refined. Will set off many different foods, but sushi is a definite hit.",Rosé,93,50.0,California,Sonoma-Napa,Napa-Sonoma,,,Chandon NV Etoile Rosé Sparkling (Sonoma-Napa),Sparkling Blend,Chandon,rose,yes
2135,Spain,"Clover and apple aromas are basic but fresh. This is simple on the palate, with little to the mouthfeel. Vapid flavors of soda crackers, spent yeast and apple cider disappear on a quick finish.",Reserva Cuvée Barcelona 1872,85,,Catalonia,Cava,,Michael Schachner,@wineschach,Codorníu NV Reserva Cuvée Barcelona 1872 Sparkling (Cava),Sparkling Blend,Codorníu,white,yes
2179,Spain,"This aerated, yellow-tinted brut nature smells mature, bready and buttery. The palate is full bodied, yeasty and anything but sweet. Salted citrus and papaya flavors are nutty and hold steady on a slightly flat finish. Drink now.",Glaç Brut Nature,90,31.0,Catalonia,Cava,,Michael Schachner,@wineschach,Maria Casanovas NV Glaç Brut Nature Sparkling (Cava),Sparkling Blend,Maria Casanovas,white,yes
2324,France,"This soft, gentle sparkling wine is fresh with raspberry fruits and acidity at the end. Drink as an apéritif.",Rosé,85,24.0,France Other,Vin Mousseux,,Roger Voss,@vossroger,Château Saint-Pierre NV Saint-Pierre Rosé Brut Sparkling (Vin Mousseux),Sparkling Blend,Château Saint-Pierre,rose,yes
2380,US,"This neon-watermelon sparkler shows playfully fruity aromas of watermelon hard candy and fresh strawberries. Ample acidity keeps the palate lively, with ripe watermelon, cherry and strawberry flavors carrying through to the bright finish.",Blanc de Noir Brut,87,25.0,America,,,Fiona Adams,@bkfiona,Biltmore Estate NV Blanc de Noir Brut Sparkling (America),Sparkling Blend,Biltmore Estate,white,yes
