,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
117,US,"Baked red cherry, crushed clove, iron and rose petals make for standard aromas on this bottling, although they are fairly light and simple here. There is a sizzle of acitity on the palate, where juicy strawberry and olallieberry flavors are easy to enjoy, made more complex by graphite and cedar touches.",Estate,87,44.0,California,Central Coast,,Matt Kettmann,@mattkettmann,Rideau 2014 Estate Syrah,Syrah,Rideau,red,no
153,US,"Dark and thick in the glass, this wine shows strong but not bitter tar notes on the nose plus charred beef in a blueberry glaze, wet campfire, bourbon barrel and vanilla. The structure is massive now, gooey with thick tannins and flavors of espresso bean and condensed purple flowers. Judicious acidity ensures strong cellaring potential. Drink 2018–2027.",Old 900,91,46.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Alta Colina 2012 Old 900 Syrah (Paso Robles),Syrah,Alta Colina,red,no
155,US,"Bradley Brown's appellation blend is a nice entry point to this exciting winery. This wine shows lavish smoked black currant and plum flavors, with aromatically lifting spices of anise and black pepper and a savory roast-beef element. The palate packs lots of pepper and relies on plump black cherry, boysenberry and a dark-chocolate syrup richness.",Syrah,91,36.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Big Basin 2013 Syrah (Santa Cruz Mountains),Syrah,Big Basin,red,no
178,US,"Black as a moonless night, dense in structure, tannic, bone dry and super-peppery, this Syrah isn't offering much relief right now. In all likelihood it will emerge from its cocoon in a few years to offer a wealth of ripe blackberry, currant and carob fruit.",Jack London Vineyard,88,25.0,California,Sonoma Valley,Sonoma,,,Kenwood 2005 Jack London Vineyard Syrah (Sonoma Valley),Syrah,Kenwood,red,no
202,Israel,"This wine features pleasing aromas of raspberry, jumper berry and black pepper. There is a nice mélange of fruit and spice flavors, notably black cherry, dark plums, anise, and cardamom. Smooth tannins ply the palate right into a bright finish that bears a touch of salinity.",Syrah,90,50.0,Judean Hills,,,Mike DeSimone,@worldwineguys,Yatir 2011 Syrah (Judean Hills),Syrah,Yatir,red,no
235,US,"Overly sweet and simple, and something of a disappointment given the winery's past performance, this Syrah tastes like melted cherry jam, stirred with chocolate pie filling and sprinkled with fennel and pepper.",Thompson Vineyard,85,49.0,California,Santa Barbara County,Central Coast,,,Testarossa 2006 Thompson Vineyard Syrah (Santa Barbara County),Syrah,Testarossa,red,no
264,South Africa,"A good amount of earthy spice, tea leaves and forrest floor lead the way on the nose, but the black cherry and berry fruit aromas follow shortly after with an additional accent of sweet cured meat. Medium weight and lush, the creamy mouth transitions into a finish loaded with sweet spice and bittersweet cocoa.",Syrah,89,19.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Jardin 2007 Syrah (Stellenbosch),Syrah,Jardin,red,no
311,New Zealand,"This wine is light in color, but still packs a mouthful of flavor. It's peppery and meaty upfront, filled out on the midpalate by tart fruit that verges on cranberry in flavor. Pretty rather than potent; drink now-2014.",Syrah,87,18.0,Hawke's Bay,,,Joe Czerwinski,@JoeCz,Otto's Constant Dream 2008 Syrah (Hawke's Bay),Syrah,Otto's Constant Dream,red,no
402,Chile,"Formerly doing business as “Shiraz,” this Syrah from Bisquertt offers a huge purple tint, roasted aromas of blackberry and campfire, and a ripe, grapey palate that brims with simple, racy black cherry, pepper and other driving flavors. Not timid by any means but also nothing out of the ordinary.",Casa la Joya Reserve,85,11.0,Colchagua Valley,,,Michael Schachner,@wineschach,Viña Bisquertt 2007 Casa la Joya Reserve Syrah (Colchagua Valley),Syrah,Viña Bisquertt,red,no
404,US,"Smells funky, with sweaty leather aromas, although you'll also find varietal notes of the grape. Tastes all right, with blackberries, currants, leather and mocha that are wrapped into firm tannins.",White Hawk Vineyard,85,45.0,California,Santa Barbara County,Central Coast,,,Vino V 2005 White Hawk Vineyard Syrah (Santa Barbara County),Syrah,Vino V,red,no
429,US,"Aromas of coffee, barrel spice and dark-blue fruit lead to rich, full-bodied blackberry and spice flavors. It's not for the faint of heart but delivers a lot of enjoyment.",The Estates Clifton Hill Vineyard,89,42.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Milbrandt 2013 The Estates Clifton Hill Vineyard Syrah (Wahluke Slope),Syrah,Milbrandt,red,no
507,US,"Medium bodied, this sharply defined wine brings in plenty of notes of herb, root and earth around its light berry fruit. It captures the defining flavors of Wahluke Slope Syrah in a somewhat muted style, reflecting the abbreviated growing season.",Clifton Vineyard,87,28.0,Washington,Wahluke Slope,Columbia Valley,Paul Gregutt,@paulgwine ,Camaraderie 2009 Clifton Vineyard Syrah (Wahluke Slope),Syrah,Camaraderie,red,no
524,US,"Wood spice, cherry and herb aromas are followed by luscious cherry flavors. It keeps you coming back for more with a high yum factor.",Wallula,91,35.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Structure 2014 Wallula Syrah (Horse Heaven Hills),Syrah,Structure,red,no
530,Chile,"Jammy berry aromas seem reduced at first, with notes of iodine and rubber. But with airing this packed Syrah comes around. A flush saturated tannic palate is home to toasty blackened berry, coffee and spice flavors. On the finish, burnt toast and espresso flavors don't slip. Drink through 2022.",Cuvée Alexandre Apalta Vineyard Made With Organic Grapes,91,24.0,Colchagua Valley,,,Michael Schachner,@wineschach,Lapostolle 2013 Cuvée Alexandre Apalta Vineyard Made With Organic Grapes Syrah (Colchagua Valley),Syrah,Lapostolle,red,no
560,US,"As the name makes clear, this wine is made from a head-pruned, older block of very unlikely Syrah at the estate property, as seductive as rare. Plum, black cherry, leather and black pepper jump from the glass, slowly and with purpose, around a core of burly tannin and intensely floral aromatics. This is a great wine.",Headpruned Block,93,45.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Limerick Lane 2013 Headpruned Block Syrah (Russian River Valley),Syrah,Limerick Lane,red,no
564,US,"Spicy cracked peppercorns, light tar, fresh picked lavender and light purple fruits show on the savory nose of this bottling. More strong pepper notes show on the palate, as do tart elderberries, sesame, soy and hoisin elements, with a nice smoked meat character adding to the delicious complexity.",Fire Light,93,62.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Four Lanterns 2013 Fire Light Syrah (Paso Robles),Syrah,Four Lanterns,red,no
570,US,"Aromas of sea salt, olive brine, smoked meat, herb and earth lead to medium-bodied fruit flavors that run warm on the finish. There are plenty of good things going on but they don't seem to entirely come together.",Art Den Hoed Vineyard,89,50.0,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Ardor 2015 Art Den Hoed Vineyard Syrah (Yakima Valley),Syrah,Ardor,red,no
677,Italy,"Full-bodied and concentrated, this opens with aromas of crushed black plum, spicy blueberry, vanilla and dried sage. The dense, warm palate delivers dried black cherry, blackberry extract, oak and black pepper alongside velvety tannins. The soft acidity shows the heat of the vintage, so enjoy soon.",Smeriglio Riserva,90,50.0,Tuscany,Cortona,,Kerin O’Keefe,@kerinokeefe,Baracchi Riccardo 2011 Smeriglio Riserva Syrah (Cortona),Syrah,Baracchi Riccardo,red,no
678,Italy,"Aromas of dark-skinned fruit, cedar and allspice lead the nose on this smooth, full-bodied red. The structured palate doles out mature black currant, black cherry, peppercorn and espresso that follow through to the finish. Soft acidity and ripe, firm tannins provide the framework. Drink 2016–2022.",Smeriglio,90,35.0,Tuscany,Cortona,,Kerin O’Keefe,@kerinokeefe,Baracchi Riccardo 2012 Smeriglio Syrah (Cortona),Syrah,Baracchi Riccardo,red,no
681,US,"All Syrah, this blend of Yakima Valley and Wahluke Slope fruit offers aromas and flavors of cocoa, vanilla, pepper and dark cherry. The pleasing interplay of fruit and barrel comes with a soft, pillowy feel.",ALX,90,42.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Bunnell 2011 ALX Syrah (Columbia Valley (WA)),Syrah,Bunnell,red,no
759,US,"A big burly Syrah from this Temecula producer whose goal it is to become the premier winery of Southern California, the wine is loaded with plummy black fruit and a peppery mouthfeel, its oakiness derived from the almost three years it spent barrel-aging in new French oak. Not for the meek at 15.6% alcohol, it finishes a tad sweet.","Reserve, Vista del Monte Vineyard",87,70.0,California,Temecula Valley,South Coast,Virginie Boone,@vboone,"Monte De Oro 2006 Reserve, Vista del Monte Vineyard Syrah (Temecula Valley)",Syrah,Monte De Oro,red,no
760,US,"The blackberry, blueberry, bacon, pepper and sandalwood flavors are nice, and the wine finishes dry. A good, rich Syrah for drinking now if you're looking for a full-bodied and tannic red wine. Give it a brief decant.",Estate Grown,87,28.0,California,Dry Creek Valley,Sonoma,,,Mounts 2008 Estate Grown Syrah (Dry Creek Valley),Syrah,Mounts,red,no
764,US,"A touch overripe, showing some bitter, dried raisinskin notes. If you can get past that, you'll find plenty of rich blackberry, dark chocolate, plum, beef jerky and black pepper flavors.",Cuvée Christine,87,45.0,California,North Coast,North Coast,,,Pax 2007 Cuvée Christine Syrah (North Coast),Syrah,Pax,red,no
801,US,"Made entirely from Syrah grown on its property across multiple vintages, and then cave-aged six years in American oak, this is a nice dessert wine, raisiny and brimming in Christmas spice. With plenty of body and acidity, it swims effortlessly and smoothly on the palate, a bite of decadence that will work well with rich cheeses.",Tawny Estate,90,50.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Deerfield Ranch NV Tawny Estate Syrah (Sonoma Valley),Syrah,Deerfield Ranch,red,no
812,US,"This is a particularly expressive wine with lots of personality. It opens with aromas of cherry, tea and wood smoke, and tastes very dry and structured with vivid fruit acidity and tannins. Sour cherry and raspberry provide the fruit flavors.",Perli Vineyards,90,42.0,California,Mendocino Ridge,,Jim Gordon,@gordone_cellars,Donkey & Goat 2013 Perli Vineyards Syrah (Mendocino Ridge),Syrah,Donkey & Goat,red,no
838,US,"Despite the abv listed, this wine does not seem especially ripe. Peppery highlights carry a whiff of onion, and between the alcohol burn and the green edges, the wine has not come together. Aging in 40% new oak adds some toast, but not grip or density.",Les Collines Vineyard,86,36.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Kontos 2011 Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Kontos,red,no
857,US,"Tar and beef char kick off the nose on this dark and heavy wine, which offers asphalt, smoked meats and crushed elderberry. Caramelized beef, balsamic-blackberry reduction, tobacco and touches of smoke show on the palate.",Syrah,90,28.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Fess Parker 2013 Syrah (Santa Barbara County),Syrah,Fess Parker,red,no
870,US,"This is an amazingly tasty and focused wine that has the most distinctive black pepper character. It's medium-bodied, dark and smoky looking and quite flavorful, backing up the pepper with lively raspberry notes and staying lively from the first sip to the last.",Estate Bottled,90,29.0,California,Mendocino Ridge,,Jim Gordon,@gordone_cellars,Greenwood Ridge 2013 Estate Bottled Syrah (Mendocino Ridge),Syrah,Greenwood Ridge,red,no
880,US,"Impressive for its depth and deliciousness. The grapes are from Cline's estate on the Sonoma side of the Carneros district. The wine is dry, full-bodied and tannic, although you can drink it now. It's very rich in blackberries, currants, mushu plum sauce, grilled beef and smoky sandalwood, and seems at its best now.",Sonoma Estate,90,20.0,California,Los Carneros,Napa-Sonoma,,,Cline 2008 Sonoma Estate Syrah (Los Carneros),Syrah,Cline,red,no
896,US,"Aged a little more than two years in 90% new French oak and then in bottle, time has been kind to this wine, a Syrah of dark mushroom and baked blackberry, that's savory and silky with a slight hint of mint on the finish. Mighty and impressive.",Signature Selection,90,70.0,California,Temecula Valley,South Coast,Virginie Boone,@vboone,Leonesse Cellars 2007 Signature Selection Syrah (Temecula Valley),Syrah,Leonesse Cellars,red,no
897,US,"Dusty and tight, with a whiff of coffee and cocoa introducing an elegant wine with interesting streaks of metal and graphite. Young fruit and fine tannins are in perfect balance, and the wine has a lovely delicacy.",Dividend,90,39.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Market Vineyards 2008 Dividend Syrah (Columbia Valley (WA)),Syrah,Market Vineyards,red,no
973,US,"A bit earthy and herbal, and soft, with cherry and cocoa fruit flavors. The acidity and tannin structure could be firmer.",Alexander School Reserve Big Barrel,85,35.0,California,Alexander Valley,Sonoma,,,Alexander Valley Vineyards 2006 Alexander School Reserve Big Barrel Syrah (Alexander Valley),Syrah,Alexander Valley Vineyards,red,no
996,Italy,"Here's a Syrah with bursting aromas of mature blueberry, cherry, spice and smoked bacon. The wine is full, round and generous with a supple feel and soft concentration. Pair it with lamb or roasted pork.",Terre di Giumara,88,14.0,Sicily & Sardinia,Sicilia,,,,Caruso & Minini 2006 Terre di Giumara Syrah (Sicilia),Syrah,Caruso & Minini,red,no
1037,US,"This wine offers notes of toasted vanilla bean, herbs and red fruit. It's broad in feel while the fruit flavors are elegant in style, with the supple feel bringing much of the enjoyment.",Spofford Station,88,28.0,Oregon,Walla Walla Valley (OR),Oregon Other,Sean P. Sullivan,@wawinereport,WildAire 2012 Spofford Station Syrah (Walla Walla Valley (OR)),Syrah,WildAire,red,no
1058,US,"This is the kind of wine someone serves at a big party, maybe in paper cups, along with the canapes, and you're delighted because it's actually pretty good. It's dry, soft and chocolaty, with a rich undertow of blackberries and currants.",Syrah,85,16.0,California,Central Coast,Central Coast,,,Bridgeway 2004 Syrah (Central Coast),Syrah,Bridgeway,red,no
1082,US,"Lighter in color, this wine is aromatic and expressive, with notes of fire pit, blood, black olive tapenade, sea salt, black pepper, cured meat, nori, crushed flowers and umami. The palate brings soft, lithe, focused notes of earth and savory flavors that shimmer on the salty finish. It's all about delicacy but the aroma and flavor expression is compelling. Give it some time in the cellar or decant.",The Tribe Vineyard,94,120.0,Oregon,Walla Walla Valley (OR),Oregon Other,Sean P. Sullivan,@wawinereport,Horsepower 2014 The Tribe Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Horsepower,red,no
