,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
426,Spain,"Slightly foxy on the nose, with rubbery aromas of cherry and cassis, this offers a tight, tannic palate with hard, elastic tannins. Flavors of cherry and cassis are pleasant, while the finish is ripe, warming and healthy.",Seis,89,18.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Luberri 2011 Seis  (Rioja),Tempranillo,Luberri,red,no
431,US,"This Tempranillo-based pinkie is quite inviting and tightly textured, with aromas of orange shave ice, strawberry cream, watermelon and cement. It is extremely zesty and lively once sipped, offering easy-to-drink raspberry and melon notes. It's great for all sorts of food, from spicy to rich.",Indie,89,24.0,California,Templeton Gap District,Central Coast,Matt Kettmann,@mattkettmann,ONX 2015 Indie Tempranillo (Templeton Gap District),Tempranillo,ONX,red,no
505,Spain,"Full and smoky, with bacon, blackberry and tire rubber on the nose. This is a bit grating in feel due to full tannins and acids, with wild berry flavors, bitter oak, black plum and darkness. Lengthy on the finish.",Tempranillo,87,16.0,Northern Spain,Vino de la Tierra de Castilla y León,,Michael Schachner,@wineschach,Aleo 2009 Tempranillo (Vino de la Tierra de Castilla y León),Tempranillo,Aleo,red,no
508,US,"This is a mix of fruit from both warm and cool vineyards, crafting a clean, fresh, lightly herbal wine with a pleasing dusty character. Hints of cocoa and toast annotate the tart berry fruit, with a thread of smoke and chalk running through the tannins.",Tempranillo,87,28.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Camaraderie 2009 Tempranillo (Yakima Valley),Tempranillo,Camaraderie,red,no
556,Spain,"Welcoming aromas of wood spice, plum and blackberry become more smoky with airing. This strong-boned RDD is pure and deep, with manageable tannins. Generous flavors of spiced blackberry, tobacco and vanilla finish long, elegant and with a lot in reserve. Drink from 2017 through 2030.",Gran Resalte,93,88.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Resalte 2010 Gran Resalte  (Ribera del Duero),Tempranillo,Resalte,red,no
736,US,"A rare miss for this winery, this bottling shows cooked red cherries, dust, vanilla and caramel on the somewhat hollow nose. The palate is almost overly rich with caramelized black cherry, fudge and chalky tannins. Patience will likely improve this one.",Tempranillo,85,32.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Felten Cellars 2013 Tempranillo (Paso Robles),Tempranillo,Felten Cellars,red,no
767,Spain,"Aromas of red licorice candy and raspberry are fruity, forward and clean. The palate is more than competent and balanced, with creamy strawberry and raspberry flavors. The finish is short but easy, and for the price that's all you can ask for.",Tempranillo,87,9.0,Northern Spain,Cariñena,,Michael Schachner,@wineschach,Manyana 2008 Tempranillo (Cariñena),Tempranillo,Manyana,red,no
809,Spain,"Mild raisin, black cherry, anise and burnt tire aromas lead to a plump, balanced palate that's full but not overloaded. Earthy baked black-fruit flavors show a hint of oaky coconut, while this Tempranillo finishes with depth and density.",Parcela 23,90,20.0,Central Spain,Vino de la Tierra de Castilla,,Michael Schachner,@wineschach,Finca Constancia 2011 Parcela 23 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Finca Constancia,red,no
938,Spain,"Earthy, cool aromas of wet cement, raisin and raspberry are a bit flat. This feels drawing and tannic, with flavors of tomato, red plum, currant and raspberry. A full-size finish is comfortable but not very complex.",II Crianza,87,15.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Covila 2013 II Crianza  (Rioja),Tempranillo,Covila,red,no
1031,Spain,"Leathery cherry and cassis aromas are softened up by baking spice accents. In the mouth, this is hard-edged and pointed, with sharp, lemony acidity. Flavors of spiced plum and pie cherry finish with jagged acids and heat. This is a real enamel-peeler; more time in bottle can only help.",Crianza,88,28.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Linaje Garsea 2010 Crianza  (Ribera del Duero),Tempranillo,Linaje Garsea,red,no
