,word,word count
0,wine,391
1,cherry,375
2,black,357
3,fruit,343
4,aroma,315
5,palate,306
6,barbera,296
7,flavor,283
8,acidity,272
9,tannin,258
10,spice,253
11,berry,200
12,blackberry,180
13,offer,165
14,bright,160
15,red,157
16,plum,144
17,note,142
18,ripe,142
19,finish,140
20,alongside,136
21,fresh,130
22,raspberry,128
23,oak,127
24,dry,116
25,dark,113
26,drink,112
27,pepper,108
28,bodied,107
29,nose,105
30,clove,94
31,licorice,91
32,juicy,87
33,vanilla,82
34,lead,82
35,open,80
36,texture,79
37,skinned,79
38,smooth,79
39,good,77
40,soft,76
41,aromas,75
42,coffee,73
43,earth,71
44,tobacco,69
45,firm,69
46,deliver,69
47,show,68
48,sweet,66
49,rich,66
50,toast,64
51,mature,60
52,pair,60
53,white,59
54,anise,58
55,tart,58
56,dole,57
57,enjoy,57
58,chocolate,56
59,whiff,55
60,jam,55
61,vibrant,54
62,balance,54
63,easy,53
64,light,51
65,like,50
66,violet,50
67,mouth,50
68,fine,49
69,hint,49
70,wild,48
71,simple,48
72,savory,47
73,grain,47
74,round,46
75,touch,46
76,close,46
77,chewy,46
78,herb,44
79,dense,44
80,soon,44
81,crisp,44
82,medium,43
83,come,43
84,follow,43
85,tone,43
86,spicy,43
87,glass,42
88,velvety,41
89,exotic,40
90,grape,40
91,currant,39
92,espresso,39
93,bake,39
94,earthy,38
95,taste,37
96,big,35
97,expression,35
98,pasta,35
99,blueberry,35
100,cinnamon,35
101,age,34
102,mouthfeel,34
103,smoke,34
104,ground,33
105,polished,33
106,tannic,33
107,meat,32
108,food,32
109,clean,32
110,fruity,31
111,underbrush,31
112,high,31
113,long,30
114,chop,30
115,intense,30
116,accent,30
117,slightly,30
118,support,30
119,lively,29
120,concentrated,29
121,leather,29
122,cooking,28
123,straightforward,28
124,add,27
125,alcohol,27
126,supple,27
127,flower,27
128,thick,27
129,informal,26
130,style,26
131,back,26
132,provide,26
133,concentration,26
134,star,25
135,rustic,25
136,structure,25
137,delicious,24
138,orange,24
139,forest,24
140,freshness,24
141,baking,24
142,blue,24
143,till,23
144,layer,23
145,baked,23
146,color,23
147,year,23
148,smell,23
149,racy,23
150,soil,22
151,cranberry,22
152,plush,22
153,load,22
154,plenty,21
155,crush,21
156,pretty,21
157,bitter,21
158,way,21
159,bit,21
160,strawberry,21
161,mocha,21
162,prune,20
163,variety,20
164,frame,20
165,structured,20
166,smoky,20
167,core,20
168,roasted,20
169,wood,20
170,menthol,20
171,cassis,20
172,natural,20
173,complexity,20
174,intensity,20
175,floor,19
176,body,19
177,bean,19
178,superiore,19
179,richness,19
180,mineral,19
181,sauce,19
182,dish,19
183,integrate,19
184,hearty,19
185,balanced,18
186,need,18
187,succulent,18
188,wet,18
189,make,18
190,young,18
191,drinking,18
192,element,18
193,nice,18
194,aromatic,18
195,great,18
196,mint,17
197,old,17
198,easygoing,17
199,lot,17
200,character,17
201,modern,17
202,find,17
203,new,17
204,perfect,16
205,quality,16
206,give,16
207,interesting,16
208,scent,16
209,raw,16
210,mushroom,16
211,generous,16
212,jammy,15
213,grill,15
214,pizza,15
215,deep,15
216,drive,15
217,brisk,15
218,end,15
219,vintage,15
220,varietal,15
221,bold,15
222,compact,15
223,nicely,15
224,lush,15
225,complex,15
226,peel,14
227,bottle,14
228,sour,14
229,sharp,14
230,time,14
231,winery,14
232,raisin,14
233,subtle,14
234,acidic,14
235,moderate,14
236,elegant,13
237,game,13
238,cola,13
239,california,13
240,slight,13
241,carry,13
242,little,13
243,vineyard,13
244,tight,13
245,small,13
246,cheese,13
247,thank,13
248,set,13
249,attractive,12
250,nut,12
251,sip,12
252,heavy,12
253,peppery,12
254,strong,12
255,nuance,12
256,feel,12
257,rose,12
258,evolve,12
259,extract,12
260,roast,12
261,cure,12
262,cedar,12
263,mix,12
264,almond,12
265,interpretation,12
266,base,12
267,tomato,12
268,toasty,11
269,floral,11
270,bouquet,11
271,acid,11
272,leafy,11
273,pleasant,11
274,emerge,11
275,ruby,11
276,solid,11
277,toasted,11
278,coconut,11
279,candy,11
280,silky,11
281,refresh,11
282,meaty,11
283,blend,11
284,linger,11
285,personality,11
286,polish,11
287,risotto,11
288,short,10
289,accompany,10
290,zesty,10
291,juice,10
292,sophisticated,10
293,delicate,10
294,suggest,10
295,french,10
296,boysenberry,10
297,sage,10
298,fragrant,10
299,match,10
300,italian,10
301,lift,10
302,lean,10
303,grip,10
304,aged,9
305,characteristic,9
306,kick,9
307,concentrate,9
308,z,9
309,dominate,9
310,boast,9
311,power,9
312,warm,9
313,rise,9
314,stand,9
315,scorched,9
316,stage,9
317,astringent,9
318,framework,9
319,green,9
320,get,9
321,wrap,9
322,beef,9
323,layered,9
324,combine,9
325,robust,9
326,tangy,9
327,plump,9
328,lasagna,9
329,center,8
330,tonic,8
331,price,8
332,evident,8
333,extremely,8
334,despite,8
335,immediate,8
336,recall,8
337,moist,8
338,know,8
339,depth,8
340,overall,8
341,help,8
342,nutmeg,8
343,tasty,8
344,jump,8
345,truffle,8
