,word,word count
0,wine,7539
1,fruit,5557
2,tannin,4203
3,flavor,2971
4,black,2865
5,drink,2598
6,cabernet,2540
7,ripe,2289
8,acidity,2192
9,blend,1686
10,merlot,1608
11,wood,1523
12,rich,1491
13,currant,1475
14,age,1467
15,structure,1463
16,firm,1451
17,sauvignon,1430
18,dry,1407
19,juicy,1225
20,red,1207
21,blackberry,1200
22,dark,1172
23,berry,1117
24,spice,1092
25,franc,1040
26,cherry,1032
27,show,1030
28,finish,975
29,year,927
30,character,925
31,dense,873
32,plum,850
33,fruity,847
34,balance,823
35,aroma,817
36,soft,801
37,bordeaux,789
38,fresh,768
39,palate,722
40,barrel,678
41,good,667
42,fine,661
43,texture,647
44,give,612
45,verdot,597
46,chocolate,595
47,petit,595
48,note,582
49,structured,576
50,develop,566
51,solid,551
52,tannic,549
53,sweet,545
54,style,539
55,vintage,532
56,herb,518
57,need,500
58,oak,496
59,malbec,491
60,attractive,491
61,ready,491
62,smooth,488
63,dominate,481
64,smoky,479
65,come,474
66,concentrated,471
67,light,464
68,new,457
69,great,444
70,weight,443
71,core,439
72,offer,433
73,sample,433
74,time,430
75,fruitiness,421
76,potential,394
77,generous,391
78,layer,391
79,powerful,384
80,vineyard,366
81,balanced,364
82,young,357
83,estate,351
84,bright,348
85,cassis,339
86,richness,336
87,edge,334
88,hint,333
89,delicious,332
90,spicy,330
91,plenty,318
92,touch,316
93,long,308
94,bodied,296
95,pack,290
96,big,289
97,bring,288
98,lead,288
99,soften,286
100,produce,284
101,toast,284
102,nose,279
103,coffee,273
104,feel,272
105,aging,269
106,aftertaste,267
107,high,265
108,vanilla,261
109,integrate,260
110,open,259
111,freshness,254
112,crisp,251
113,complex,251
114,tight,246
115,licorice,243
116,power,241
117,château,239
118,pepper,233
119,medium,231
120,bitter,230
121,base,228
122,elegant,228
123,concentration,227
124,end,226
125,family,216
126,term,210
127,raspberry,209
128,right,208
129,cedar,206
130,follow,206
131,hard,205
132,tobacco,203
133,likely,194
134,green,189
135,round,188
136,strong,184
137,add,182
138,taste,182
139,intense,180
140,sense,179
141,impressive,177
142,toasty,173
143,tough,170
144,dusty,170
145,extract,170
146,promise,169
147,saint,167
148,allow,164
149,support,164
150,perfumed,163
151,quickly,162
152,second,161
153,mint,161
154,bold,161
155,aromas,159
156,element,159
157,blueberry,158
158,forward,158
159,mature,157
160,jammy,156
161,stalky,156
162,grape,156
163,perfume,152
164,firmly,152
165,lightly,151
166,mouth,150
167,future,150
168,herbal,148
169,like,147
170,stage,146
171,make,145
172,linger,144
173,warm,143
174,lean,142
175,property,141
176,tart,141
177,wait,140
178,bit,140
179,go,140
180,lift,138
181,mineral,137
182,suggest,135
183,certainly,131
184,finely,129
185,smoke,128
186,density,128
187,leather,127
188,elegance,127
189,remain,126
190,leave,125
191,cab,125
192,variety,124
193,vine,123
194,classic,122
195,opulent,121
196,small,120
197,savory,120
198,depth,119
199,winery,118
200,bottle,117
201,final,117
202,mocha,116
203,accent,116
204,old,115
205,month,114
206,little,113
207,cocoa,113
208,own,113
209,cranberry,113
210,austere,112
211,acid,111
212,strongly,110
213,lot,110
214,combine,110
215,complexity,109
216,way,109
217,considerable,109
218,earth,107
219,french,107
220,flower,107
221,deep,106
222,background,106
223,fill,105
224,slightly,104
225,extraction,104
226,juiciness,104
227,alcohol,103
228,lively,103
229,dominant,102
230,equal,100
231,mix,99
232,present,99
233,hold,98
234,polished,97
235,gentle,97
236,rounded,96
237,concentrate,95
238,dryness,94
239,cellar,94
240,half,93
241,easy,93
242,supple,90
243,color,89
244,rest,89
245,back,89
246,ripeness,88
247,violet,88
248,cut,87
249,earthy,86
250,provide,86
251,close,85
252,mouthfeel,85
253,drinkable,84
254,jam,83
255,anise,82
256,take,81
257,lush,80
258,textured,80
259,soon,79
260,juice,78
261,typical,78
262,keep,77
263,graphite,76
264,frame,76
265,scent,76
266,start,75
267,de,75
268,mark,75
269,skin,75
270,approachable,74
271,relatively,74
272,chunky,74
273,late,74
274,begin,74
275,aged,74
276,burn,74
277,reveal,73
278,velvet,73
279,beautiful,73
280,strawberry,72
281,olive,72
282,result,71
283,heavy,71
284,densely,70
285,sweetness,70
