,word,word count
0,wine,841
1,flavor,821
2,cherry,713
3,fruit,631
4,tannin,618
5,franc,526
6,finish,507
7,red,461
8,black,428
9,palate,411
10,cabernet,389
11,aroma,345
12,note,319
13,acidity,318
14,spice,302
15,ripe,282
16,herb,280
17,dry,271
18,drink,262
19,berry,239
20,plum,231
21,oak,220
22,nose,193
23,cab,192
24,soft,191
25,dark,180
26,rich,178
27,bodied,178
28,light,175
29,blackberry,174
30,pepper,173
31,show,167
32,currant,159
33,chocolate,154
34,green,153
35,fresh,145
36,raspberry,139
37,sweet,136
38,structure,132
39,tannic,129
40,vanilla,127
41,age,126
42,tart,120
43,good,119
44,offer,111
45,hint,109
46,juicy,109
47,fine,107
48,balance,107
49,herbal,106
50,firm,104
51,medium,103
52,fruity,102
53,touch,101
54,savory,101
55,smoky,100
56,feel,99
57,texture,98
58,spicy,94
59,bright,94
60,add,94
61,varietal,93
62,long,89
63,tobacco,89
64,vineyard,88
65,character,88
66,bit,87
67,concentrated,85
68,lead,83
69,coffee,80
70,year,80
71,linger,80
72,wood,79
73,come,78
74,style,75
75,layer,74
76,cranberry,74
77,cassis,74
78,accent,72
79,elegant,70
80,violet,69
81,aromas,68
82,smooth,68
83,cedar,67
84,tone,66
85,earthy,66
86,bring,65
87,lend,65
88,smoke,64
89,crisp,64
90,new,63
91,barrel,61
92,young,61
93,give,60
94,pretty,60
95,body,60
96,core,59
97,blueberry,59
98,flower,59
99,sauvignon,58
100,strawberry,58
101,toast,56
102,licorice,56
103,complexity,56
104,bold,55
105,follow,55
106,frame,54
107,scent,54
108,blend,53
109,balanced,52
110,bramble,52
111,complex,51
112,like,51
113,leather,50
114,brisk,49
115,taste,49
116,acid,49
117,grape,49
118,perfume,49
119,variety,48
120,slightly,47
121,time,47
122,cinnamon,46
123,supple,46
124,big,45
125,pure,45
126,peppery,45
127,high,45
128,dense,44
129,need,44
130,forward,43
131,tight,43
132,mouth,43
133,char,43
134,clove,42
135,provide,42
136,mocha,42
137,cocoa,42
138,merlot,42
139,open,41
140,lightly,40
141,bottling,40
142,alcohol,40
143,little,40
144,bottle,40
145,structured,40
146,delicate,40
147,french,39
148,sense,39
149,oaky,39
150,color,39
151,make,39
152,concentration,38
153,hard,37
154,mix,37
155,streak,37
156,delicious,37
157,depth,37
158,midpalate,36
159,bake,36
160,earth,36
161,start,35
162,dusty,35
163,weight,35
164,ready,35
165,round,35
166,roast,35
167,plenty,34
168,easy,34
169,floral,34
170,vintage,34
171,lovely,34
172,cola,34
173,toasty,34
174,powerful,34
175,steak,34
176,grain,33
177,mouthfeel,33
178,carry,33
179,leaf,33
180,lush,33
181,velvety,33
182,pair,32
183,enjoy,32
184,nice,32
185,month,32
186,mineral,32
187,sour,32
188,caramel,32
189,solid,32
190,lean,32
191,wild,31
192,grill,31
193,strong,31
194,meat,31
195,candy,31
196,pie,31
197,aromatic,31
198,intense,31
199,stalky,31
200,grow,30
201,olive,30
202,edge,30
203,integrate,30
204,elegance,29
205,textured,29
206,deep,29
207,dominate,29
208,bitter,28
209,plush,28
210,jammy,28
211,lively,28
212,grip,28
213,mark,28
214,silky,28
215,anise,27
216,nuance,27
217,graphite,27
218,white,27
219,appeal,27
220,suggest,27
221,power,27
222,generous,27
223,rise,27
224,great,27
225,richly,26
226,luscious,26
227,leafy,26
228,thick,26
229,attractive,26
230,crush,26
231,lift,26
232,clean,25
233,food,25
234,rustic,25
235,hold,25
236,richness,25
237,end,25
238,expression,25
239,way,25
240,bell,24
241,purple,24
242,somewhat,24
243,tomato,24
244,include,24
245,raw,24
246,chewy,24
247,peppercorn,23
248,winery,23
249,espresso,23
250,valley,23
251,pleasant,23
252,perfumed,23
253,pencil,23
254,rosé,23
255,subtle,23
256,beef,22
257,mint,22
258,leave,22
259,minty,22
