,word,word count
0,flavor,6105
1,wine,5137
2,tannin,4121
3,fruit,3955
4,black,3751
5,cherry,3659
6,cabernet,3278
7,blackberry,3245
8,finish,3162
9,oak,2625
10,aroma,2322
11,dry,2204
12,palate,2179
13,currant,2060
14,drink,1816
15,cassis,1710
16,note,1665
17,good,1642
18,plum,1600
19,chocolate,1564
20,ripe,1543
21,berry,1514
22,red,1500
23,dark,1442
24,spice,1430
25,rich,1408
26,herb,1403
27,soft,1371
28,show,1352
29,year,1226
30,sweet,1218
31,cab,1142
32,tannic,1092
33,acidity,1043
34,bodied,1041
35,nose,1037
36,cedar,1005
37,herbal,993
38,vanilla,916
39,vineyard,864
40,offer,826
41,age,807
42,firm,785
43,structure,780
44,pepper,756
45,tobacco,752
46,feel,750
47,like,709
48,spicy,692
49,sauvignon,688
50,bit,668
51,taste,664
52,balance,661
53,raspberry,650
54,time,650
55,texture,646
56,come,633
57,smoky,629
58,smooth,627
59,green,620
60,fine,617
61,blend,585
62,new,567
63,touch,556
64,licorice,552
65,juicy,537
66,medium,536
67,coffee,531
68,lead,530
69,cellar,530
70,long,528
71,fresh,505
72,complex,500
73,high,497
74,style,494
75,barrel,492
76,hint,486
77,light,480
78,varietal,479
79,big,475
80,hard,471
81,blueberry,470
82,leather,466
83,mocha,466
84,earthy,460
85,accent,440
86,vintage,436
87,napa,436
88,clove,435
89,little,432
90,mouth,429
91,merlot,419
92,price,419
93,toast,417
94,mountain,416
95,aromas,413
96,valley,405
97,bottle,404
98,elegant,397
99,dense,395
100,layer,394
101,mouthfeel,389
102,savory,382
103,tart,377
104,concentrated,373
105,lot,372
106,young,371
107,open,370
108,olive,369
109,smoke,356
110,cranberry,354
111,verdot,353
112,slightly,352
113,petit,346
114,complexity,343
115,need,343
116,jam,338
117,oaky,337
118,add,337
119,give,334
120,strong,329
121,jammy,329
122,fruity,325
123,plenty,323
124,cocoa,320
125,tight,320
126,earth,319
127,bottling,318
128,mix,318
129,deep,318
130,delicious,317
131,balanced,316
132,classic,314
133,easy,312
134,winery,312
135,provide,311
136,solid,306
137,great,305
138,character,302
139,bright,301
140,develop,301
141,french,296
142,lush,295
143,make,292
144,dusty,292
145,thick,291
146,bring,291
147,core,290
148,alcohol,290
149,follow,289
150,way,285
151,acid,280
152,nice,279
153,body,278
154,lightly,278
155,toasty,278
156,power,275
157,wood,273
158,grape,273
159,mint,271
160,pretty,271
161,linger,271
162,round,263
163,powerful,261
164,estate,260
165,scent,260
166,suggest,259
167,simple,258
168,cola,257
169,franc,244
170,velvety,241
171,wrap,239
172,integrate,238
173,hold,236
174,candy,236
175,cinnamon,236
176,anise,234
177,meat,233
178,weight,231
179,edge,230
180,mark,227
181,bake,223
182,malbec,223
183,pencil,221
184,quality,218
185,forward,216
186,richness,216
187,depth,216
188,small,214
189,old,211
190,heavy,210
191,supple,209
192,support,209
193,generous,209
194,glass,208
195,elegance,206
196,enjoy,204
197,pure,203
198,frame,203
199,structured,202
200,include,202
201,bold,201
202,graphite,201
203,lean,201
204,grip,201
205,right,199
206,chewy,196
207,leathery,193
208,crisp,192
209,peppery,190
210,appellation,189
211,source,189
212,char,188
213,approachable,186
214,mineral,185
215,despite,184
216,violet,183
217,clean,183
218,creamy,180
219,leaf,180
220,find,179
221,concentration,179
222,warm,179
223,grow,178
224,element,176
225,caramel,176
226,cool,176
227,appeal,174
228,deliver,174
229,overall,173
230,start,172
231,end,171
232,intense,171
233,sharp,171
234,ready,170
235,carry,169
236,somewhat,169
237,astringent,167
238,sense,166
239,robust,166
240,variety,166
241,smell,165
242,pie,165
243,color,164
244,nicely,163
245,turn,163
246,bouquet,163
247,tar,161
248,lovely,160
249,steak,160
250,minty,157
251,sage,157
252,beautiful,157
253,back,156
254,raisin,155
255,espresso,154
256,streak,154
257,chalky,153
258,ripeness,153
259,tough,152
260,impressive,150
261,winemaker,150
262,lively,149
263,baked,149
264,value,148
265,tone,148
266,softly,148
267,go,148
268,hot,147
269,producer,146
270,astringency,146
271,strawberry,145
272,tightly,145
273,tea,143
274,woody,143
275,roast,143
276,prune,142
277,length,142
278,bordeaux,142
279,reserve,141
280,beef,141
281,soften,141
282,fill,141
283,polished,141
284,cigar,140
285,milk,140
286,site,139
287,silky,139
288,grippy,138
289,mellow,137
290,decant,137
291,rustic,137
292,combine,136
293,tomato,135
294,plush,133
295,nuance,132
296,pair,132
297,minerality,132
298,decade,131
299,fairly,130
300,roasted,130
301,coconut,128
302,release,128
303,purple,126
304,subtle,126
305,sugar,125
306,pack,125
307,rubbery,124
308,wild,124
309,define,123
310,floral,123
311,meaty,123
312,gritty,123
313,remain,122
314,build,121
315,everyday,121
316,rough,120
317,food,120
318,thing,119
319,lack,119
320,extract,118
321,heat,118
322,blue,117
323,drive,116
324,fully,116
325,want,116
326,try,116
327,raw,116
328,sour,116
329,display,115
330,produce,115
331,drinkable,115
332,set,115
333,chunky,114
334,liqueur,114
335,grain,114
336,amount,113
337,feature,113
338,sweetness,113
339,interesting,113
340,begin,112
341,bitter,112
342,intensity,112
343,highlight,112
344,level,110
345,present,110
346,modern,110
347,dominate,109
348,thin,109
349,brown,108
350,burn,108
351,sip,108
352,pleasant,107
353,dill,106
354,wave,106
355,play,106
356,rock,106
357,drinking,105
358,grill,105
359,layered,104
360,chocolaty,104
361,low,104
362,boysenberry,104
363,case,103
364,meet,102
365,grabby,102
366,expression,102
367,generic,102
368,basic,102
369,moderate,102
370,mild,101
371,base,101
372,box,100
373,toned,100
374,improve,100
375,midpalate,100
376,aromatic,100
377,tasty,99
378,entirely,99
379,alongside,99
380,syrah,99
381,hill,98
382,short,97
383,leave,96
384,concentrate,96
385,wind,96
386,refined,95
