,word,word count
0,wine,1403
1,fruit,785
2,acidity,737
3,flavor,677
4,drink,573
5,crisp,539
6,ripe,521
7,champagne,450
8,apple,429
9,dry,409
10,texture,388
11,age,371
12,soft,362
13,rich,352
14,red,329
15,character,297
16,ready,294
17,fresh,287
18,pinot,264
19,balance,262
20,fruity,256
21,citrus,234
22,bottle,228
23,finish,225
24,blend,220
25,toast,215
26,give,206
27,style,202
28,tight,198
29,aftertaste,190
30,noir,182
31,light,175
32,fine,173
33,balanced,173
34,attractive,173
35,year,172
36,good,171
37,mineral,169
38,vintage,168
39,chardonnay,166
40,hint,164
41,touch,162
42,show,159
43,creamy,153
44,great,152
45,mature,148
46,white,148
47,bright,145
48,aroma,144
49,rosé,135
50,toasty,131
51,palate,131
52,color,128
53,lively,125
54,pear,123
55,richness,123
56,young,116
57,edge,114
58,lemon,109
59,fruitiness,109
60,dosage,107
61,brut,107
62,green,106
63,sweet,106
64,maturity,104
65,delicious,104
66,strawberry,98
67,note,97
68,pink,94
69,producer,92
70,nonvintage,91
71,bottling,89
72,berry,88
73,dominate,88
74,come,88
75,mouth,88
76,orange,86
77,lime,84
78,tangy,82
79,bodied,82
80,grapefruit,81
81,elegant,78
82,steely,77
83,almond,75
84,mousse,75
85,end,74
86,bring,74
87,complex,73
88,structure,72
89,add,70
90,intense,69
91,grape,69
92,currant,69
93,minerality,68
94,spice,68
95,food,67
96,produce,66
97,de,66
98,taste,66
99,raspberry,65
100,high,65
101,offer,65
102,skin,64
103,like,63
104,cuvée,63
105,apéritif,63
106,need,63
107,yeasty,62
108,freshness,62
109,round,60
110,feel,60
111,nose,60
112,cut,59
113,extra,59
114,pale,57
115,make,56
116,finely,56
117,smooth,55
118,textured,55
119,yeast,54
120,meuni,53
121,cru,52
122,base,51
123,weight,51
124,vineyard,51
125,apricot,51
126,peach,51
127,clean,50
128,toastiness,49
129,taut,49
130,structured,48
131,beautifully,48
132,open,48
133,delicate,48
134,element,47
135,tannin,47
136,house,46
137,plenty,45
138,plum,45
139,certainly,44
140,right,43
141,complexity,43
142,bone,41
143,grand,41
144,warm,41
145,vanilla,41
146,time,40
147,rounded,40
148,sweetness,40
149,integrate,39
150,final,39
151,yellow,39
152,softness,38
153,depth,38
154,reims,38
155,bubble,38
156,crispness,38
157,line,38
158,colored,38
159,z,38
160,develop,37
161,wood,37
162,generous,37
163,suggest,37
164,quality,37
165,tang,36
166,montagne,36
167,fragrant,36
168,long,35
169,layer,34
170,release,34
171,impressive,33
172,soften,33
173,deliciously,33
174,cherry,33
175,fill,33
176,aube,32
177,stylish,32
178,keep,31
179,zesty,31
180,côte,31
181,follow,31
182,leave,30
183,beautiful,30
184,relatively,30
185,bread,30
186,allow,30
187,elegance,29
188,des,29
189,floral,29
190,youthful,29
191,month,29
192,pack,28
193,blancs,28
194,little,28
195,juice,28
196,refreshing,28
197,sign,28
198,tart,27
199,mouthfeel,27
200,easy,27
201,pure,27
202,lift,27
203,label,26
204,gentle,26
205,spicy,26
206,tannic,26
207,drunk,25
208,concentrated,25
209,contrast,25
210,perfume,25
211,slightly,25
212,bubbly,25
213,lightly,24
214,well,24
215,immediately,24
216,prestige,24
217,benefit,23
218,zest,23
219,region,23
220,proportion,23
221,sparkler,23
222,bit,23
223,sparkle,23
224,bitter,23
225,range,22
226,drinkable,22
227,tense,21
228,poise,21
229,lead,21
230,salmon,21
231,bake,21
232,valley,21
233,attractively,21
234,dense,21
235,nervy,20
236,small,20
237,mean,20
238,definitely,20
239,dryness,20
240,strong,20
241,family,20
242,premier,20
243,earthy,20
244,sparkling,20
245,work,20
246,secondary,19
247,improve,19
248,concentration,19
249,old,19
250,melon,19
251,equal,19
252,blanc,19
253,nice,19
254,drive,19
255,perfumed,19
256,marne,19
257,result,19
258,potential,19
259,cookie,18
260,combine,18
261,linger,18
262,herb,18
263,onion,18
264,cream,18
265,hold,18
266,deep,18
267,tightly,18
268,medium,18
269,vine,17
270,begin,17
271,bitterness,17
272,worth,17
273,turn,17
274,honey,17
275,southern,17
276,late,17
277,vineyards,17
278,mark,16
279,opulent,16
280,indicate,16
281,forward,16
282,despite,16
283,slight,16
284,brisk,16
285,get,16
286,classic,16
287,bite,16
288,create,16
289,drier,15
290,dough,15
291,main,15
292,scent,15
293,firm,15
294,streak,15
295,bead,15
296,sugar,15
297,have,15
298,name,15
299,aged,14
300,lanson,14
301,move,14
302,deutz,14
303,background,14
304,disgorge,14
305,remain,14
306,intensely,14
307,point,14
308,simple,14
309,pretty,14
310,grow,14
311,dark,14
312,lace,14
313,way,14
314,fermentation,14
315,pineapple,14
316,lose,14
317,real,14
318,refresh,14
