,word,word count
0,wine,7870
1,flavor,7234
2,fruit,5408
3,apple,4518
4,acidity,4413
5,chardonnay,3492
6,finish,3412
7,oak,2873
8,ripe,2822
9,palate,2631
10,drink,2610
11,pear,2531
12,lemon,2443
13,rich,2268
14,aroma,2226
15,toast,2197
16,crisp,2113
17,peach,2002
18,vanilla,1991
19,pineapple,1923
20,citrus,1922
21,texture,1873
22,note,1711
23,butter,1561
24,fresh,1545
25,white,1531
26,nose,1517
27,show,1489
28,spice,1389
29,creamy,1371
30,tropical,1341
31,lime,1308
32,touch,1239
33,age,1234
34,green,1232
35,light,1229
36,balance,1214
37,sweet,1212
38,good,1174
39,bodied,1157
40,offer,1149
41,soft,1118
42,dry,1060
43,vineyard,1035
44,yellow,1029
45,orange,1025
46,mineral,1005
47,character,967
48,bright,957
49,minerality,955
50,apricot,915
51,wood,909
52,hint,876
53,style,874
54,like,865
55,fruity,830
56,melon,822
57,medium,784
58,honey,769
59,clean,736
60,taste,735
61,year,725
62,feel,724
63,give,704
64,richness,702
65,barrel,695
66,caramel,680
67,come,645
68,tight,644
69,new,622
70,oaky,621
71,round,614
72,smooth,577
73,structure,571
74,toasty,569
75,fine,557
76,great,551
77,delicious,534
78,balanced,523
79,ready,522
80,bottling,511
81,mango,511
82,mouth,491
83,chard,484
84,cream,481
85,open,480
86,stone,473
87,add,473
88,layer,466
89,complex,464
90,bit,453
91,tart,451
92,grapefruit,444
93,simple,443
94,buttery,439
95,vintage,438
96,lead,432
97,long,431
98,warm,429
99,weight,425
100,edge,424
101,spicy,417
102,attractive,413
103,tangerine,411
104,almond,404
105,tangy,403
106,price,402
107,elegant,399
108,make,397
109,butterscotch,397
110,lively,396
111,freshness,395
112,bring,386
113,young,385
114,generous,377
115,lightly,375
116,mouthfeel,369
117,plenty,368
118,cut,367
119,lot,366
120,easy,363
121,aromas,361
122,slightly,361
123,strong,359
124,accent,358
125,french,355
126,brisk,353
127,smoky,352
128,floral,351
129,skin,351
130,blossom,346
131,intense,346
132,steely,342
133,juicy,341
134,little,341
135,cool,336
136,linger,335
137,nectarine,330
138,complexity,330
139,body,327
140,golden,325
141,dominate,323
142,need,322
143,ferment,322
144,aftertaste,320
145,time,319
146,subtle,315
147,bottle,311
148,high,308
149,candy,308
150,textured,307
151,blend,306
152,end,300
153,zesty,298
154,big,297
155,rounded,295
156,scent,293
157,salt,292
158,bake,291
159,acid,290
160,meyer,290
161,provide,289
162,concentrated,289
163,grape,289
164,flower,289
165,banana,282
166,mix,281
167,element,280
168,follow,279
169,mark,275
170,peel,275
171,juice,275
172,nice,271
173,lush,269
174,nut,268
175,way,268
176,refreshing,267
177,develop,264
178,lean,262
179,popcorn,262
180,opulent,258
181,honeysuckle,257
182,winery,256
183,color,256
184,vine,250
185,smoke,250
186,citrusy,249
187,rind,247
188,lee,246
189,concentration,246
190,estate,245
191,sea,244
192,jam,243
193,sip,239
194,valley,239
195,pretty,239
196,fruitiness,236
197,lift,233
198,heavy,230
199,appeal,227
200,pith,227
201,baked,226
202,savory,224
203,right,223
204,lemony,223
205,firm,222
206,deliver,221
207,forward,220
208,minerally,219
209,drive,219
210,herb,217
211,suggest,217
212,find,217
213,pure,215
214,cinnamon,214
215,quality,214
216,glass,214
217,salty,213
218,produce,212
219,core,211
220,old,210
221,acidic,207
222,structured,207
223,appellation,206
224,vibrant,205
225,combine,204
226,california,202
227,producer,202
228,tone,201
229,custard,201
230,chablis,201
231,integrate,200
232,delicate,200
233,food,197
234,red,197
235,ripeness,196
236,keep,195
237,grow,195
238,carry,194
239,zest,193
240,steel,192
241,start,191
242,crème,191
243,month,190
244,nicely,190
245,pair,188
246,sour,188
247,brûlée,188
248,source,185
249,powerful,183
250,z,183
251,brighten,183
252,pie,182
253,depth,181
254,sense,181
255,stainless,179
256,nutmeg,178
257,wet,177
258,papaya,176
259,sharp,175
260,power,173
261,go,172
262,elegance,172
263,frame,171
264,winemaker,171
265,refresh,170
266,cru,170
267,solid,170
268,site,169
269,bitter,168
270,alcohol,168
271,crispness,168
272,asian,166
273,plum,165
274,guava,165
275,flesh,164
276,influence,163
277,low,163
278,midpalate,162
279,plump,162
280,lovely,161
281,honeyed,161
282,grill,160
283,fermentation,160
284,pleasant,158
285,fleshy,157
286,taut,157
287,chalky,156
288,hazelnut,155
289,nutty,154
290,smell,153
291,pack,153
292,streak,153
293,aromatic,152
294,line,152
295,sweetness,152
296,dense,151
297,straightforward,149
298,exotic,149
299,length,148
300,nuance,148
301,sugar,147
302,buttered,147
303,base,147
304,support,147
305,impressive,145
306,lack,145
307,broad,144
308,mild,143
309,briny,143
310,hold,142
311,grand,142
312,turn,142
313,intensity,141
314,expression,141
315,play,141
316,aged,141
317,thick,139
318,bold,139
319,beautiful,137
320,chalk,137
321,basic,137
322,slight,136
323,pithy,136
324,unoaked,136
325,single,136
326,bouquet,135
327,despite,135
328,resiny,135
329,ample,134
330,close,134
331,allow,134
332,remain,134
333,reserve,134
334,climate,133
335,fragrant,133
336,stony,133
337,fill,133
338,friendly,133
339,family,133
340,caramelize,132
341,lend,131
342,oake,130
343,alongside,130
344,curd,128
345,extra,128
346,level,128
347,focus,127
348,key,126
349,de,126
350,leave,126
351,mature,126
352,roast,125
353,reveal,125
354,classic,123
355,meet,123
356,highlight,123
357,neutral,122
358,feature,121
359,oily,121
360,racy,120
361,region,119
362,enjoy,118
