,word,word count
0,wine,429
1,fruit,306
2,spice,293
3,cherry,272
4,aroma,269
5,amarone,153
6,note,146
7,dry,135
8,sweet,128
9,dark,126
10,bright,125
11,berry,123
12,red,121
13,valpolicella,121
14,black,119
15,tobacco,114
16,offer,109
17,flavor,105
18,soft,105
19,blackberry,100
20,leather,100
21,pair,100
22,show,99
23,cola,98
24,tone,97
25,touch,96
26,finish,96
27,ripe,94
28,intensity,93
29,open,92
30,deliver,91
31,chocolate,90
32,ripasso,86
33,mouth,78
34,close,78
35,mouthfeel,77
36,tannin,75
37,easy,74
38,oak,73
39,almond,68
40,follow,63
41,rich,62
42,smooth,60
43,crisp,60
44,fresh,59
45,palate,58
46,barbecue,57
47,meat,56
48,apple,53
49,load,51
50,chewy,51
51,bouquet,50
52,thick,50
53,prune,50
54,spicy,49
55,long,49
56,smoke,48
57,licorice,48
58,concentration,46
59,nose,46
60,cinnamon,46
61,toast,46
62,wild,42
63,clean,42
64,quality,41
65,savory,41
66,clove,40
67,age,40
68,white,40
69,expression,40
70,simple,39
71,mature,38
72,density,38
73,velvety,38
74,year,38
75,layer,37
76,power,36
77,exotic,36
78,acidity,35
79,blueberry,35
80,vanilla,34
81,firm,34
82,color,33
83,sauce,33
84,polished,33
85,cassis,33
86,bold,33
87,raspberry,33
88,thank,33
89,feel,32
90,texture,32
91,good,32
92,sweetness,32
93,pepper,31
94,jammy,31
95,tight,30
96,back,30
97,wood,30
98,forest,30
99,light,30
100,plum,30
101,candy,30
102,cure,29
103,mesquite,29
104,blend,29
105,aged,29
106,elegant,29
107,overall,28
108,skin,28
109,mineral,27
110,intense,27
111,ruby,26
112,cedar,26
113,bean,26
114,currant,26
115,aromatic,25
116,element,25
117,medium,25
118,dense,25
119,like,25
120,inky,24
121,personality,24
122,big,24
123,informal,24
124,thin,24
125,lively,23
126,indian,23
127,come,23
128,alcohol,23
129,tar,23
130,vintage,23
131,sharp,22
132,aromas,22
133,deep,22
134,hearty,22
135,slightly,22
136,drink,22
137,pasta,22
138,herb,22
139,natural,21
140,hint,21
141,end,21
142,grape,21
143,make,21
144,dish,21
145,bitter,21
146,modern,21
147,redolent,20
148,roast,20
149,sour,20
150,food,20
151,succulent,20
152,powerful,20
153,style,20
154,pretty,20
155,moist,20
156,nuance,20
157,lean,20
158,nut,20
159,cheese,20
160,pizza,20
161,strawberry,19
162,beef,19
163,plump,19
164,background,19
165,resin,19
166,earth,19
167,nicely,18
168,present,18
169,compact,18
170,freshness,18
171,jam,18
172,month,18
173,ginger,18
174,heat,18
175,nice,18
176,boast,17
177,green,17
178,root,17
179,structure,17
180,classico,17
181,balance,17
182,teriyaki,17
183,richness,17
184,great,17
185,length,17
186,base,17
187,vineyard,16
188,lush,16
189,supple,16
190,beer,16
191,mushroom,16
192,pork,16
193,concentrated,16
194,beautiful,16
195,add,15
196,plush,15
197,persistency,15
198,include,15
199,extraction,15
200,smoky,15
201,espresso,15
202,accent,15
203,perfect,15
204,crush,15
205,go,15
206,fudge,15
207,tart,15
208,extract,14
209,drive,14
210,producer,14
211,traditional,14
212,taste,14
213,appear,14
214,fact,14
215,give,14
216,nutmeg,14
217,corvina,14
218,rise,13
219,elegance,13
220,cake,13
221,small,13
222,fine,13
223,recall,13
224,shading,13
225,brown,13
226,sugar,13
227,vibrant,13
228,spanish,13
229,rosemary,13
230,chop,13
231,old,13
232,rondinella,13
233,preserve,12
234,ham,12
235,meaty,12
236,raw,12
237,impart,12
238,run,12
239,time,12
240,olive,12
241,masculine,12
242,bacon,12
243,lamb,12
244,complexity,12
245,beautifully,12
246,round,12
247,coffee,12
248,heft,12
