,word,word count
0,flavor,398
1,cherry,357
2,wine,356
3,fruit,275
4,red,246
5,palate,235
6,grenache,225
7,aroma,191
8,finish,186
9,spice,164
10,nose,160
11,light,158
12,black,146
13,dry,142
14,raspberry,142
15,show,138
16,plum,137
17,note,129
18,tannin,125
19,drink,112
20,strawberry,105
21,pepper,103
22,acidity,93
23,bottling,90
24,texture,90
25,ripe,90
26,berry,89
27,bodied,84
28,dark,84
29,herb,83
30,vineyard,75
31,oak,74
32,rich,73
33,fresh,72
34,touch,66
35,vanilla,66
36,offer,65
37,good,64
38,sweet,63
39,color,61
40,cinnamon,60
41,soft,58
42,hint,56
43,spicy,53
44,rise,53
45,white,52
46,cola,51
47,like,51
48,tart,49
49,bit,47
50,flower,46
51,alcohol,44
52,bright,44
53,cranberry,43
54,high,43
55,blackberry,43
56,petal,42
57,violet,42
58,grape,41
59,licorice,41
60,orange,41
61,silky,40
62,complex,40
63,sip,40
64,clove,38
65,come,38
66,blend,38
67,style,38
68,earthy,37
69,complexity,37
70,floral,37
71,tannic,37
72,chocolate,37
73,year,36
74,elegant,36
75,crisp,36
76,pink,36
77,firm,35
78,balance,34
79,syrah,34
80,body,34
81,smoke,34
82,purple,33
83,medium,33
84,anise,32
85,savory,32
86,add,32
87,structure,32
88,candy,31
89,bring,31
90,variety,31
91,taste,31
92,long,30
93,acid,30
94,character,29
95,currant,29
96,pretty,29
97,mouthfeel,29
98,pie,29
99,juicy,29
100,meat,28
101,feel,28
102,fruity,27
103,lead,27
104,lot,27
105,little,27
106,sense,27
107,varietal,27
108,hibiscus,26
109,aromas,26
110,thyme,26
111,delicious,26
112,rose,26
113,easy,26
114,deep,25
115,scent,25
116,meet,24
117,great,24
118,age,24
119,time,24
120,glass,24
121,make,23
122,pinot,23
123,tea,23
124,slightly,23
125,pure,23
126,smooth,23
127,supple,23
128,delicate,22
129,noir,22
130,concentrated,22
131,earth,22
132,pomegranate,22
133,aromatic,22
134,vine,21
135,tobacco,21
136,french,21
137,mix,21
138,jam,21
139,layer,21
140,strong,21
141,herbal,21
142,vintage,21
143,old,21
144,weight,21
145,big,20
146,cool,20
147,bake,20
148,bottle,20
149,juice,20
150,mocha,20
151,mineral,20
152,clean,20
153,deliver,20
154,lively,20
155,linger,20
156,tasty,20
157,prove,20
158,mouth,19
159,warm,19
160,drive,19
161,new,19
162,give,19
163,feature,19
164,peel,19
165,lush,19
166,frame,19
167,sandalwood,19
168,accent,18
169,depth,18
170,california,18
171,follow,18
172,boysenberry,18
173,lavender,18
174,plenty,18
175,fine,18
176,blueberry,17
177,purity,17
178,crush,17
179,heat,17
180,generous,17
181,power,17
182,dense,17
183,heavy,17
184,smoky,17
185,nicely,17
186,simple,17
187,round,17
188,intriguing,17
189,velvety,17
190,grip,17
191,peppery,17
192,nice,17
193,nuance,16
194,elegance,16
195,minerality,16
196,wild,16
197,beef,16
198,pale,16
199,tight,16
200,barrel,16
201,hot,16
202,lift,16
203,mint,15
204,lightly,15
205,element,15
206,young,15
207,intense,15
208,leather,15
209,hard,15
210,fennel,15
211,include,15
212,citrus,15
213,winemaker,15
214,winery,14
215,slate,14
216,cocoa,14
217,thick,14
218,interesting,14
219,tension,14
220,fill,14
221,wet,14
222,toast,14
223,plump,14
224,appellation,14
225,cassis,14
226,edge,14
227,green,13
228,streak,13
229,ferment,13
230,olive,13
231,brown,13
232,source,13
233,grow,13
234,nutmeg,13
235,focus,13
236,producer,13
237,despite,13
238,valley,13
239,right,13
240,rosé,13
241,rhubarb,13
242,kirsch,13
243,climate,12
244,carry,12
245,pair,12
246,base,12
247,relatively,12
248,lovely,12
249,core,12
250,combine,12
251,powerful,12
252,mouthwatere,12
253,example,12
254,richness,12
255,sharp,12
256,cedar,12
257,provide,12
258,broad,12
