,word,word count
0,wine,800
1,palate,715
2,pear,679
3,fruit,564
4,fresh,469
5,flavor,438
6,ripe,436
7,green,405
8,nose,404
9,note,392
10,acidity,361
11,light,325
12,pepper,320
13,finish,320
14,freshness,309
15,white,305
16,citrus,304
17,lemon,280
18,spice,268
19,apple,267
20,grüner,259
21,screwcap,234
22,drink,225
23,hint,220
24,yellow,203
25,rich,195
26,crisp,193
27,texture,192
28,concentrated,187
29,dry,178
30,zesty,173
31,clean,167
32,grapefruit,166
33,savory,159
34,peppery,157
35,edge,147
36,touch,146
37,refreshing,137
38,peel,134
39,yeast,129
40,yeasty,129
41,body,127
42,easy,124
43,creamy,124
44,lime,121
45,fruity,120
46,plum,119
47,age,116
48,character,111
49,show,108
50,soft,107
51,slender,104
52,come,103
53,spicy,102
54,year,100
55,juicy,100
56,zest,100
57,lively,95
58,bright,93
59,concentration,92
60,herbal,90
61,bodied,90
62,core,89
63,play,86
64,great,86
65,lovely,86
66,rounded,86
67,aroma,84
68,cut,82
69,peach,81
70,make,81
71,add,79
72,little,78
73,aromatic,77
74,give,76
75,like,76
76,balance,74
77,refresh,74
78,mineral,71
79,lemony,70
80,delicious,70
81,round,69
82,intense,68
83,notion,68
84,veltliner,66
85,offer,66
86,pure,66
87,conference,65
88,long,65
89,slight,65
90,apricot,64
91,z,60
92,spritz,59
93,tight,59
94,smooth,58
95,herb,58
96,phenolic,57
97,lot,57
98,vineyard,56
99,refreshment,56
100,taut,55
101,structure,54
102,subtle,54
103,scent,54
104,wonderfully,54
105,lead,53
106,verve,51
107,midpalate,50
108,minerality,50
109,glass,50
110,richness,50
111,savoriness,50
112,freshly,49
113,arugula,48
114,style,48
115,summer,48
116,good,48
117,textured,48
118,mirabelle,48
119,provide,46
120,fine,46
121,shine,46
122,suggest,46
123,depth,46
124,dominate,45
125,tone,44
126,lift,43
127,bring,42
128,promise,42
129,skin,42
130,layer,42
131,frame,41
132,time,41
133,combine,41
134,moreish,41
135,weight,40
136,focus,40
137,ripeness,40
138,food,40
139,ready,39
140,zestiness,39
141,earthy,39
142,slend,39
143,create,39
144,stone,38
145,pineapple,38
146,hold,38
147,leave,37
148,tropical,37
149,slightly,37
150,gentle,37
151,salty,37
152,soon,36
153,floral,36
154,appear,36
155,need,36
156,attractive,36
157,zippy,36
158,watercress,36
159,beautifully,36
160,linear,36
161,drinking,35
162,balanced,35
163,appetize,35
164,feel,34
165,fragrant,34
166,open,34
167,away,34
168,passion,34
169,totally,33
170,tangy,33
171,generous,33
172,deliver,33
173,join,33
174,miso,32
175,lightness,32
176,melon,31
177,linger,31
178,pack,31
