,word,word count
0,flavor,2201
1,fruit,1579
2,finish,1478
3,wine,1320
4,aroma,1292
5,berry,1221
6,black,1027
7,palate,1001
8,plum,968
9,malbec,940
10,blackberry,798
11,tannin,777
12,drink,710
13,note,664
14,oak,596
15,feel,582
16,spice,564
17,dark,526
18,acidity,507
19,ripe,500
20,herbal,482
21,cherry,431
22,nose,410
23,red,369
24,chocolate,364
25,good,333
26,dry,318
27,come,297
28,tannic,283
29,rich,282
30,taste,271
31,wood,268
32,show,257
33,sweet,251
34,cassis,249
35,jammy,244
36,herb,243
37,age,238
38,fresh,238
39,dense,237
40,juicy,230
41,vanilla,230
42,touch,229
43,oaky,224
44,aromas,213
45,blueberry,212
46,firm,211
47,earthy,209
48,spicy,207
49,like,207
50,raspberry,205
51,toasty,203
52,solid,203
53,big,202
54,bit,200
55,mouth,194
56,soft,194
57,licorice,178
58,character,173
59,heavy,170
60,structure,170
61,green,169
62,coffee,167
63,balance,160
64,pepper,157
65,year,156
66,hard,153
67,high,152
68,rubbery,152
69,fruity,151
70,leather,149
71,slightly,149
72,concentrated,148
73,smooth,146
74,texture,145
75,deep,144
76,vineyard,144
77,currant,143
78,toast,142
79,light,141
80,lead,141
81,peppery,140
82,offer,140
83,hint,137
84,prune,133
85,mouthfeel,128
86,bodied,126
87,lightly,126
88,savory,125
89,color,122
90,minty,121
91,bouquet,120
92,powerful,119
93,mint,119
94,barrel,118
95,scent,118
96,bold,117
97,chunky,117
98,open,117
99,bright,117
100,little,116
101,tight,115
102,smell,115
103,pure,114
104,long,114
105,accent,111
106,tart,111
107,baked,110
108,creamy,109
109,young,108
110,floral,108
111,bake,105
112,burn,104
113,balanced,103
114,smoky,101
115,end,101
116,new,100
117,grabby,99
118,weight,98
119,raw,98
120,raisin,98
121,clove,98
122,mocha,95
123,bring,94
124,mild,94
125,wild,94
126,thick,94
127,char,94
128,fine,93
129,woody,93
130,roast,92
131,candy,91
132,lush,90
133,chewy,90
134,salty,89
135,mix,88
136,time,87
137,round,86
138,leathery,86
139,generous,85
140,lot,85
141,give,85
142,purple,84
143,blend,84
144,tobacco,83
145,roasted,83
146,ready,83
147,drive,82
148,acid,82
149,chocolaty,81
150,rubber,81
151,lively,80
152,set,79
153,meaty,79
154,great,79
155,need,79
156,power,78
157,earth,78
158,medium,78
159,cola,77
160,stalky,77
161,resiny,76
162,heat,76
163,smoke,76
164,follow,75
165,intense,75
166,extract,74
167,hot,74
168,complex,74
169,boysenberry,73
170,gritty,73
171,saturate,72
172,style,72
173,plenty,72
174,bitter,72
175,overall,72
176,structured,71
177,short,71
178,core,71
179,coconut,70
180,strong,70
181,varietal,69
182,exotic,69
183,grape,69
184,grapy,69
185,sharp,68
186,generic,66
187,right,66
188,edge,65
189,dominate,65
190,vintage,65
191,way,64
192,body,64
193,medicinal,64
194,estate,63
195,graphite,63
196,tomato,63
197,richness,63
198,acidic,62
199,quality,62
200,carry,61
201,price,61
202,choppy,61
203,depth,61
204,forward,61
205,cahor,60
206,scratchy,59
207,suggest,58
208,freshness,57
209,saucy,56
210,syrupy,56
211,meat,56
212,racy,56
213,clean,56
214,concentration,55
215,start,55
216,vine,54
217,sense,54
218,layer,54
219,crisp,54
220,deliver,54
221,turn,54
222,warm,53
223,rough,52
224,blacken,52
225,mineral,52
226,pack,52
227,include,50
228,lean,50
229,produce,50
230,elegant,50
231,base,50
232,raisiny,50
233,make,50
234,profile,49
235,dusty,49
236,plump,49
237,variety,48
238,old,48
239,nice,48
240,ripeness,48
241,fully,48
242,malbecs,48
243,mildly,47
244,impressive,47
245,single,47
246,narrow,47
247,simple,46
248,rustic,46
249,sticky,45
250,aftertaste,45
251,length,44
252,basic,44
253,linger,43
254,rugged,43
255,violet,43
256,complexity,43
257,add,43
258,wiry,43
259,edgy,42
260,fairly,42
261,attractive,42
262,delicious,42
263,leafy,42
264,huge,41
265,alcohol,41
266,keep,41
267,layered,41
268,integrate,41
269,cranberry,40
270,thing,40
271,blocky,40
272,aged,40
273,settle,39
274,define,39
275,rooty,39
276,oake,39
277,find,39
278,develop,39
279,cocoa,39
280,stewy,39
281,leave,39
282,support,39
283,tangy,39
284,feature,38
285,olive,38
286,hold,38
287,easy,38
288,cabernet,38
289,well,37
290,salt,37
291,sour,37
292,smelling,37
293,tough,37
294,lack,37
295,heavily,37
296,bottle,37
297,excellent,37
298,flat,36
299,run,36
300,grassy,36
301,valley,36
302,plush,36
303,fruitiness,36
304,snappy,36
305,tar,35
306,back,35
307,animal,35
308,grip,35
309,middle,35
310,peel,35
311,nicely,34
312,fiery,34
313,muscular,34
314,create,34
315,modest,34
316,inky,34
317,cool,34
318,standard,33
319,resin,33
320,espresso,33
321,tartaric,33
322,point,33
323,lusty,33
324,cedar,33
325,concentrate,32
326,density,32
327,fig,32
328,match,32
329,blue,32
330,skin,32
331,expect,32
332,element,32
333,stew,32
334,airing,32
335,cut,32
336,winery,32
337,aging,32
338,french,32
339,friendly,31
340,force,31
341,sugar,31
342,unusual,31
343,bitterness,31
344,rise,31
345,compact,30
346,go,30
347,sweetness,30
348,foxy,30
349,minerally,30
350,provide,30
351,hit,30
352,potential,30
353,bite,30
354,hickory,30
355,low,29
356,elegance,29
357,heady,29
358,loamy,29
359,pretty,29
360,beef,29
361,air,29
362,cardamom,29
363,sauvignon,29
364,stewed,28
365,push,28
366,value,28
367,brown,28
368,jumpy,28
369,intensity,28
370,bottling,28
371,glass,28
372,molasse,27
373,polish,27
374,perfumed,27
375,grow,27
376,silky,27
377,stage,27
378,washington,27
379,despite,27
