,word,word count
0,flavor,2080
1,wine,1618
2,cherry,1528
3,fruit,1480
4,merlot,1338
5,tannin,1182
6,finish,1026
7,black,912
8,red,779
9,aroma,765
10,plum,744
11,palate,685
12,dry,684
13,oak,645
14,spice,623
15,note,563
16,soft,548
17,drink,546
18,berry,538
19,blackberry,538
20,ripe,480
21,good,447
22,chocolate,429
23,rich,413
24,herb,411
25,currant,371
26,show,366
27,dark,364
28,sweet,358
29,acidity,349
30,vanilla,341
31,bodied,337
32,raspberry,329
33,nose,321
34,herbal,287
35,offer,286
36,light,281
37,smooth,265
38,tannic,259
39,pepper,256
40,green,251
41,texture,220
42,feel,219
43,medium,215
44,structure,213
45,balance,210
46,cabernet,210
47,bit,209
48,vineyard,206
49,like,205
50,barrel,203
51,coffee,199
52,lead,197
53,firm,193
54,touch,193
55,hint,193
56,licorice,192
57,taste,192
58,fine,192
59,cedar,192
60,spicy,187
61,year,187
62,tobacco,180
63,juicy,176
64,fresh,175
65,age,172
66,smoky,168
67,mouth,168
68,come,167
69,toast,164
70,fruity,163
71,easy,161
72,tart,155
73,mocha,153
74,price,151
75,earthy,149
76,little,148
77,cassis,148
78,long,148
79,blend,145
80,style,145
81,accent,138
82,big,138
83,blueberry,134
84,simple,132
85,pretty,130
86,open,130
87,aromas,128
88,smoke,128
89,follow,127
90,cola,125
91,plenty,124
92,wood,124
93,sauvignon,124
94,nice,124
95,elegant,123
96,cocoa,123
97,leather,121
98,mouthfeel,121
99,lot,120
100,vintage,119
101,varietal,119
102,jammy,116
103,add,116
104,round,115
105,new,114
106,bring,113
107,slightly,113
108,time,111
109,cinnamon,110
110,clove,108
111,concentrated,106
112,cranberry,106
113,earth,105
114,layer,103
115,high,101
116,bright,100
117,savory,100
118,candy,100
119,pleasant,100
120,character,100
121,complexity,100
122,linger,99
123,make,98
124,complex,98
125,toasty,97
126,alcohol,97
127,give,97
128,hard,96
129,grape,96
130,dense,95
131,strong,95
132,mix,94
133,delicious,93
134,acid,92
135,oaky,91
136,forward,91
137,provide,91
138,edge,90
139,sharp,90
140,variety,89
141,meat,89
142,solid,88
143,crisp,88
144,olive,88
145,supple,88
146,generous,86
147,bottle,86
148,balanced,85
149,body,84
150,lush,83
151,scent,83
152,weight,81
153,lightly,80
154,tight,80
155,clean,79
156,deep,79
157,appeal,78
158,core,78
159,anise,77
160,velvety,77
161,french,77
162,pie,76
163,char,76
164,jam,75
165,great,74
166,frame,74
167,everyday,74
168,wrap,73
169,color,73
170,silky,73
171,bottling,73
172,deliver,72
173,bake,72
174,pure,72
175,way,72
176,strawberry,72
177,mint,72
178,peppery,71
179,thick,71
180,ready,71
181,streak,70
182,young,69
183,violet,69
184,suggest,68
185,valley,67
186,richness,67
187,bitter,66
188,thin,66
189,espresso,65
190,end,64
191,depth,64
192,right,64
193,winery,63
194,milk,62
195,sour,61
196,nicely,61
197,smell,61
198,rustic,61
199,bold,61
200,value,60
201,find,60
202,pair,60
203,estate,60
204,franc,59
205,plush,59
206,cool,58
207,grow,58
208,warm,58
209,go,57
210,need,57
211,tone,57
212,chewy,57
213,back,57
214,subtle,57
215,enjoy,56
216,chocolaty,56
217,sandalwood,56
218,quality,56
219,raisin,56
220,old,56
221,lean,55
222,fairly,55
223,hold,55
224,alongside,54
225,include,54
226,steak,54
227,blue,53
228,sense,52
229,lend,52
230,support,52
231,mountain,51
232,overall,51
233,minty,51
234,lovely,51
235,concentration,51
236,chalky,51
237,expression,50
238,bouquet,50
239,syrah,50
240,carry,50
241,plump,50
242,mark,49
243,tomato,49
244,structured,49
245,polished,49
246,napa,49
247,lack,49
248,start,48
249,glass,48
250,integrate,48
251,power,48
252,grill,47
253,tar,47
254,tough,47
255,approachable,47
256,astringent,47
257,length,47
258,turn,47
259,roasted,46
260,elegance,46
261,load,46
262,grip,46
263,dusty,46
264,tasty,45
265,entirely,45
266,leave,45
267,caramel,45
268,cellar,45
269,somewhat,45
270,dominate,45
271,beef,45
272,food,44
273,pleasing,44
274,heavy,44
275,creamy,44
276,luscious,44
277,fill,44
278,mellow,43
279,short,43
280,element,43
281,softly,42
282,intensity,42
283,ripeness,42
284,play,42
285,sage,42
286,whiff,42
287,verdot,42
288,drive,41
289,despite,41
290,petit,41
291,powerful,41
292,develop,40
293,tea,40
294,lively,40
295,prune,40
296,heat,40
297,purple,40
298,bordeaux,40
299,case,40
300,aromatic,39
301,hot,38
302,sip,38
303,intense,38
304,leafy,38
305,concentrate,38
306,extract,38
307,burn,38
308,rough,38
309,source,38
310,fully,37
311,interesting,37
312,grain,37
313,malbec,37
314,ground,37
315,drinking,37
316,nuance,37
317,mature,37
318,rubbery,37
319,soften,36
320,display,36
321,beautiful,36
322,mushroom,36
323,produce,36
324,small,36
325,excellent,35
326,reserve,35
327,set,35
328,leathery,35
329,month,35
330,bell,35
331,combine,35
332,mild,35
333,coconut,35
334,raw,35
335,broad,35
336,fleshy,35
337,cigar,34
338,modest,34
339,brambly,34
340,washington,34
341,crush,34
342,robust,34
343,midpalate,33
344,tangy,33
345,acidic,33
346,roast,33
347,producer,33
348,meet,33
349,generic,33
350,meaty,32
351,pencil,32
352,level,32
353,substantial,32
354,get,32
355,leaf,32
356,appealing,32
