,word,word count
0,tannin,2083
1,cherry,1943
2,palate,1910
3,aroma,1564
4,berry,1353
5,spice,1205
6,drink,1108
7,wine,1080
8,black,1041
9,offer,1015
10,note,999
11,red,909
12,licorice,820
13,firm,810
14,dry,809
15,alongside,787
16,fruit,749
17,herb,712
18,leather,668
19,finish,660
20,ripe,637
21,acidity,630
22,raspberry,614
23,open,608
24,oak,564
25,dark,546
26,pepper,535
27,show,494
28,clove,480
29,white,464
30,wild,457
31,toast,449
32,deliver,447
33,aromas,447
34,nose,445
35,barolo,441
36,bright,441
37,crush,428
38,tobacco,419
39,lead,419
40,anise,416
41,hint,409
42,whiff,393
43,espresso,387
44,flavor,363
45,menthol,363
46,nebbiolo,354
47,balsamic,345
48,sage,342
49,grain,332
50,violet,331
51,year,326
52,fine,323
53,glass,314
54,underbrush,308
55,juicy,306
56,coffee,303
57,close,293
58,cinnamon,291
59,vanilla,291
60,fresh,290
61,elegant,285
62,provide,284
63,rose,276
64,flower,275
65,rise,274
66,structure,266
67,mint,258
68,bake,258
69,assertive,245
70,polished,239
71,star,237
72,astringent,235
73,tight,231
74,earth,229
75,bodied,229
76,structured,226
77,blue,221
78,mature,221
79,tightly,219
80,grill,218
81,sour,212
82,chop,211
83,truffle,204
84,plum,200
85,cola,198
86,mineral,189
87,refined,184
88,time,183
89,scent,176
90,mouth,176
91,age,175
92,tone,175
93,vintage,172
94,barbaresco,169
95,need,168
96,vibrant,167
97,come,167
98,velvety,166
99,forest,164
100,balance,162
101,mocha,161
102,aromatic,159
103,support,157
104,strawberry,157
105,bean,156
106,leave,154
107,cranberry,154
108,young,153
109,new,153
110,expression,150
111,raw,150
112,exotic,150
113,game,148
114,chocolate,147
115,floor,147
116,frame,141
117,sweet,140
118,richness,140
119,carry,138
120,brace,136
121,complexity,135
122,earthy,134
123,petal,133
124,mouthfeel,132
125,backbone,131
126,framework,129
127,dole,128
128,layer,127
129,savory,126
130,long,125
131,accent,125
132,intensity,124
133,orange,124
134,taut,124
135,emerge,124
136,smooth,123
137,vineyard,121
138,cake,121
139,fragrant,118
140,roasted,115
141,intense,114
142,soft,112
143,till,112
144,iris,112
145,follow,111
146,smoke,110
147,soil,110
148,coconut,109
149,youthfully,109
150,press,108
151,tar,106
152,silky,106
153,meat,104
154,rich,104
155,suggest,103
156,austere,103
157,prune,102
158,tart,101
159,unwind,101
160,good,99
161,woodland,99
162,chewy,99
163,straightforward,98
164,tannic,97
165,drive,96
166,solid,96
167,develop,95
168,succulent,95
169,cellar,95
170,ground,95
171,classic,94
172,pipe,91
173,bracing,91
174,beautiful,91
175,skinned,89
176,wind,89
177,finesse,89
178,blackberry,88
179,way,88
180,cru,88
181,boast,88
182,eucalyptus,87
183,accessible,87
184,firmly,87
185,reveal,86
186,linear,86
187,enjoy,85
188,dense,84
189,wood,80
190,bold,80
191,load,80
192,lack,79
193,touch,79
194,back,79
195,perfumed,79
196,marasca,79
197,delicious,79
198,lean,78
199,quality,78
200,morello,78
201,set,78
202,core,77
203,grip,76
204,cassis,75
205,powdered,75
206,camphor,75
207,delicate,75
208,fragrance,74
209,evolve,74
210,closed,73
211,depth,73
212,find,73
213,pretty,72
214,thank,72
215,fully,72
216,hazelnut,71
217,recall,70
218,floral,69
219,peel,69
220,power,69
221,sensation,69
222,hold,69
223,balanced,68
224,include,68
225,raspy,68
226,texture,67
227,cure,66
228,light,66
229,bouquet,66
230,cedar,65
231,pair,64
232,mushroom,63
233,impressive,63
234,polish,63
235,fleshy,63
236,spirit,63
237,compote,63
238,color,61
239,concentration,61
240,forward,61
241,add,61
242,ginger,61
243,alcohol,60
244,stage,60
245,soften,60
246,big,59
247,lift,59
248,baking,59
249,approachable,58
250,grainy,58
251,riserva,57
252,alpine,57
253,french,57
254,slightly,56
255,unfold,56
256,round,56
257,feel,56
258,center,56
259,great,55
260,bitter,55
261,shape,54
262,gorgeous,54
263,warm,54
264,compact,54
265,entice,53
266,grape,53
267,style,53
268,scorch,53
269,subtle,52
270,supple,52
271,racy,51
272,slowly,51
273,concentrated,51
274,scorched,51
275,currant,51
276,freshness,50
277,elegance,50
278,extract,50
279,cooking,49
280,roast,49
281,green,48
282,eventually,48
283,medium,47
284,lend,47
285,elegantly,47
286,graphite,47
287,perfume,47
288,bit,46
289,root,46
290,extremely,45
291,knit,45
292,beer,45
293,nervous,45
294,like,44
295,marinate,44
296,youthful,44
297,focused,44
298,brisk,44
299,funky,44
300,nutmeg,43
301,luminous,43
302,generous,43
303,beautifully,42
304,heat,42
