,word,word count
0,flavor,854
1,wine,851
2,pear,808
3,fruit,790
4,finish,515
5,apple,474
6,dry,466
7,palate,446
8,pinot,429
9,gris,418
10,ripe,371
11,acidity,370
12,fresh,353
13,note,340
14,drink,307
15,spice,251
16,nose,235
17,rich,235
18,citrus,232
19,light,213
20,lemon,208
21,hint,205
22,white,192
23,peach,189
24,crisp,184
25,aroma,182
26,sweet,179
27,melon,178
28,freshness,176
29,texture,174
30,balance,171
31,touch,158
32,clean,155
33,bodied,137
34,spicy,133
35,green,122
36,medium,122
37,sweetness,119
38,show,119
39,juicy,119
40,orange,117
41,honey,116
42,style,116
43,tart,111
44,fruity,105
45,grapefruit,105
46,lime,103
47,edge,103
48,residual,102
49,slightly,101
50,offer,100
51,good,99
52,richness,99
53,come,93
54,pineapple,92
55,bright,92
56,soft,92
57,lightly,91
58,lovely,89
59,apricot,87
60,ferment,85
61,sugar,85
62,tropical,84
63,bitter,84
64,skin,84
65,creamy,82
66,yellow,82
67,vanilla,82
68,mix,81
69,stone,80
70,vineyard,78
71,refreshing,77
72,balanced,76
73,minerality,75
74,acid,75
75,age,74
76,cut,74
77,zesty,74
78,bit,73
79,peel,73
80,like,73
81,give,73
82,generous,73
83,easy,72
84,add,72
85,make,72
86,lead,71
87,stainless,68
88,rounded,68
89,oak,67
90,concentrated,66
91,cinnamon,65
92,round,65
93,long,64
94,mineral,64
95,character,63
96,lemony,63
97,concentration,62
98,scent,62
99,mouthfeel,61
100,lively,61
101,fine,61
102,great,60
103,bring,60
104,feel,60
105,body,59
106,linger,58
107,pepper,57
108,smooth,56
109,little,55
110,aromatic,55
111,core,54
112,mouth,54
113,alcohol,53
114,fleshy,52
115,suggest,52
116,vintage,51
117,ready,51
118,steel,50
119,barrel,50
120,delicious,50
121,grape,49
122,color,48
123,broad,48
124,young,48
125,complex,47
126,carry,47
127,oregon,47
128,tangy,47
129,accent,46
130,floral,46
131,textured,46
132,time,46
133,taste,45
134,simple,45
135,highlight,45
136,pure,45
137,warm,44
138,year,44
139,almond,44
140,food,44
141,pleasant,44
142,slight,43
143,estate,43
144,midpalate,43
145,wet,43
146,length,41
147,flower,41
148,rind,40
149,right,40
150,subtle,40
151,excellent,40
152,textural,39
153,ample,39
154,nicely,39
155,weight,38
156,drive,38
157,structure,38
158,counter,38
159,gentle,38
160,bottle,38
161,lychee,37
162,streak,37
163,herb,37
164,elegant,37
165,plenty,36
166,neutral,36
167,lush,36
168,honeyed,35
169,depth,34
170,way,34
171,attractive,34
172,flesh,33
173,high,33
174,provide,33
175,delicate,33
176,layer,33
177,refresh,33
178,phenolic,33
179,blossom,33
180,candy,33
181,pretty,32
182,lift,32
183,tangerine,32
184,appeal,31
185,follow,31
186,earthy,31
187,run,31
188,hold,31
189,bitterness,31
