,word,word count
0,wine,8911
1,cherry,7597
2,flavor,7183
3,fruit,6989
4,pinot,4310
5,tannin,3612
6,acidity,3578
7,finish,3539
8,red,3528
9,raspberry,3219
10,drink,3158
11,black,2962
12,palate,2775
13,dry,2524
14,spice,2475
15,ripe,2404
16,noir,2353
17,oak,2269
18,light,2256
19,vineyard,2108
20,show,2044
21,aroma,1953
22,cola,1869
23,note,1770
24,rich,1746
25,nose,1728
26,plum,1702
27,texture,1636
28,year,1590
29,strawberry,1563
30,good,1537
31,cranberry,1526
32,berry,1513
33,age,1451
34,dark,1417
35,soft,1408
36,tart,1345
37,bodied,1326
38,offer,1316
39,fresh,1270
40,structure,1220
41,silky,1199
42,earthy,1128
43,hint,1050
44,touch,1046
45,sweet,1022
46,spicy,985
47,firm,965
48,balance,958
49,bottling,933
50,herb,907
51,crisp,897
52,like,890
53,come,886
54,complex,870
55,bright,861
56,juicy,842
57,tea,827
58,fine,802
59,vintage,801
60,bit,798
61,new,794
62,pomegranate,793
63,medium,776
64,vanilla,775
65,character,774
66,earth,747
67,smoky,740
68,bottle,734
69,cinnamon,721
70,delicious,715
71,currant,711
72,pepper,711
73,fruity,706
74,chocolate,700
75,elegant,690
76,taste,661
77,herbal,635
78,smooth,633
79,complexity,627
80,color,624
81,tannic,620
82,young,620
83,time,620
84,long,612
85,layer,601
86,wild,598
87,savory,595
88,give,593
89,acid,589
90,style,586
91,great,585
92,clove,583
93,mouth,568
94,core,558
95,orange,555
96,big,549
97,pretty,545
98,concentrated,540
99,wood,537
100,blackberry,536
101,tight,536
102,body,533
103,winery,531
104,little,529
105,licorice,524
106,open,523
107,mix,521
108,dense,521
109,develop,518
110,toast,517
111,barrel,517
112,slightly,515
113,feel,512
114,mushroom,504
115,blend,504
116,forest,503
117,add,503
118,scent,487
119,estate,486
120,mouthfeel,466
121,edge,460
122,candy,458
123,rhubarb,458
124,power,456
125,sandalwood,448
126,bring,447
127,valley,443
128,rise,441
129,delicate,440
130,need,439
131,smoke,435
132,pie,434
133,streak,427
134,sour,424
135,weight,420
136,lead,417
137,high,416
138,richness,416
139,solid,415
140,make,414
141,cellar,408
142,depth,407
143,strong,406
144,green,404
145,plenty,403
146,suggest,403
147,ready,402
148,sip,401
149,grape,400
150,deep,399
151,lot,397
152,appellation,395
153,cool,393
154,linger,390
155,balanced,390
156,forward,385
157,accent,385
158,leaf,379
159,structured,375
160,generous,372
161,tangy,371
162,price,367
163,clean,365
164,petal,365
165,single,364
166,alcohol,363
167,anise,360
168,round,358
169,subtle,358
170,french,358
171,element,356
172,simple,351
173,frame,350
174,easy,349
175,lively,347
176,powerful,347
177,lovely,341
178,mocha,336
179,lightly,326
180,way,325
181,lush,325
182,carry,325
183,supple,324
184,rose,323
185,minerality,322
186,thyme,321
187,aromatic,321
188,pine,319
189,mark,319
190,floor,318
191,highlight,317
192,nice,314
193,combine,314
194,concentration,314
195,right,313
196,turn,309
197,toasty,308
198,end,307
199,provide,307
200,source,303
201,clone,297
202,site,296
203,vine,295
204,jammy,295
205,floral,295
206,lean,294
207,hard,293
208,warm,292
209,citrus,291
210,glass,291
211,bake,290
212,nicely,290
213,heavy,289
214,producer,286
215,dominate,283
216,integrate,282
217,velvety,281
218,tomato,278
219,grow,278
220,pack,276
221,coffee,275
222,mint,274
223,quality,274
224,white,274
225,peppery,269
226,jam,268
227,wrap,265
228,sharp,264
229,attractive,264
230,produce,263
231,winemaker,262
232,intense,261
233,old,261
234,elegance,259
235,mineral,258
236,selection,256
237,freshness,256
238,month,254
239,sage,254
240,violet,252
241,dusty,252
242,bitter,250
243,oaky,249
244,pleasant,249
245,slate,247
246,nuance,242
