,word,word count
0,wine,734
1,fruit,494
2,acidity,346
3,flavor,327
4,dry,268
5,tannin,251
6,ripe,248
7,rich,223
8,age,223
9,sweet,220
10,port,213
11,drink,213
12,character,194
13,wood,178
14,black,150
15,fruity,128
16,balance,128
17,old,127
18,show,118
19,structure,117
20,year,109
21,tawny,99
22,red,98
23,soft,96
24,firm,94
25,berry,93
26,vintage,93
27,spice,91
28,great,91
29,fresh,88
30,dense,86
31,dark,85
32,fine,84
33,style,84
34,ready,77
35,concentrated,73
36,raisin,73
37,plum,73
38,spirit,71
39,give,70
40,finish,70
41,texture,70
42,good,68
43,blackberry,67
44,aftertaste,66
45,attractive,65
46,hint,65
47,come,65
48,smooth,64
49,light,64
50,aged,61
51,richness,59
52,perfume,58
53,color,57
54,aging,55
55,long,53
56,fruitiness,53
57,tannic,52
58,young,52
59,delicious,51
60,sweetness,48
61,balanced,47
62,toffee,47
63,currant,47
64,chocolate,46
65,mature,46
66,powerful,46
67,intense,46
68,caramel,45
69,perfumed,44
70,structured,44
71,cherry,44
72,edge,43
73,freshness,43
74,gold,43
75,end,42
76,like,42
77,aroma,41
78,taste,41
79,bottle,41
80,juicy,40
81,bring,39
82,touch,39
83,concentration,37
84,term,37
85,generous,36
86,blend,35
87,solid,35
88,core,35
89,pack,35
90,right,33
91,need,33
92,open,32
93,feel,32
94,quinta,31
95,jammy,29
96,complex,29
97,jelly,28
98,plenty,28
99,fig,28
100,strong,28
101,keep,28
102,potential,27
103,palate,26
104,produce,26
105,offer,26
106,vineyard,25
107,final,25
108,big,25
109,grape,25
110,dominate,24
111,layer,24
112,lbv,23
113,integrate,23
114,mouth,23
115,power,23
116,prune,23
117,suggest,23
118,spicy,22
119,douro,22
120,bright,22
121,jam,22
122,weight,22
123,lift,21
124,white,21
125,note,21
126,develop,21
127,almond,20
128,maturity,20
129,opulent,20
130,drunk,20
131,dryness,20
132,sultana,20
133,orange,20
134,add,20
135,bitter,20
136,tawnie,19
137,smoky,19
138,bite,19
139,impressive,18
140,finely,18
141,follow,18
142,time,18
143,stage,18
144,leave,17
145,variety,17
146,certainly,17
147,beautiful,17
148,vanilla,17
149,easy,17
150,combine,17
151,drinkable,17
152,single,17
153,textured,17
154,dessert,16
155,marmalade,16
156,promise,16
157,strongly,16
158,barrel,16
159,make,16
160,element,15
161,poise,15
162,beautifully,15
163,intensity,15
164,tight,15
165,crisp,15
166,concentrate,14
167,fragrant,14
168,dusty,14
169,cut,14
170,nose,14
171,release,14
172,colheita,14
173,skin,14
174,course,13
175,sugar,13
176,rounded,13
177,violet,13
178,stalky,13
179,considerable,13
180,depth,13
181,honey,13
182,background,13
183,little,12
184,damson,12
185,touriga,12
186,go,12
187,nut,12
188,floral,12
189,classic,12
190,tangy,12
191,density,11
192,sense,11
193,toast,11
194,elegant,11
195,aromatic,11
196,round,11
197,retain,11
198,medium,11
199,impressively,11
200,ripeness,11
201,brandy,11
202,candy,11
203,declare,11
204,accessible,11
205,estate,11
206,extra,11
207,fonseca,11
208,fill,10
209,bodied,10
210,ruby,10
211,nacional,10
212,remain,10
213,deep,10
214,producer,10
215,warm,10
216,richly,10
217,traditional,10
218,decade,10
219,complexity,9
220,relatively,9
221,allow,9
222,mean,9
223,well,9
224,deliciously,9
225,burn,9
226,elegance,9
227,provide,9
228,high,9
229,aromas,9
230,wait,9
231,vine,9
232,base,9
233,approachable,9
234,initially,9
235,youthful,9
236,cocktail,9
237,smoothly,9
238,lead,9
239,coffee,9
240,pink,8
241,real,8
242,excellent,8
243,strawberry,8
244,lack,8
245,intensely,8
246,petite,8
247,sirah,8
248,hot,8
249,simple,8
250,generally,8
251,stone,8
252,tang,8
253,likely,8
254,apricot,8
255,late,8
256,lively,8
257,immediately,8
258,mask,7
259,contrast,7
260,field,7
261,foot,7
262,molasse,7
263,bold,7
264,attractively,7
265,firmly,7
266,dominant,7
267,herb,7
268,blueberry,7
269,initial,7
270,close,7
271,portuguese,7
272,pepper,7
273,oak,7
274,brown,7
275,average,7
276,nicely,7
277,tone,7
278,result,7
279,woody,7
280,nutty,7
281,hold,7
282,colored,7
283,hugely,7
284,drier,7
285,chunky,7
286,typical,7
287,legendary,7
