,word,word count
0,wine,3716
1,fruit,2362
2,tannin,1781
3,drink,1673
4,acidity,1172
5,ripe,1126
6,black,1089
7,age,890
8,rich,875
9,flavor,811
10,structure,686
11,wood,657
12,red,641
13,juicy,617
14,firm,567
15,berry,561
16,ready,526
17,dark,512
18,dense,500
19,soft,499
20,fruity,483
21,blend,477
22,character,434
23,give,377
24,texture,376
25,spice,373
26,plum,368
27,dry,360
28,year,340
29,young,323
30,smooth,320
31,concentrated,311
32,powerful,305
33,need,300
34,touriga,293
35,structured,283
36,douro,282
37,fresh,274
38,balance,270
39,solid,265
40,nacional,251
41,generous,242
42,blackberry,242
43,show,242
44,currant,234
45,come,227
46,great,219
47,fine,211
48,tannic,205
49,aftertaste,204
50,attractive,197
51,light,192
52,fruitiness,182
53,core,175
54,vineyard,175
55,pack,173
56,grape,171
57,layer,170
58,spicy,170
59,good,169
60,produce,169
61,aging,158
62,vine,155
63,develop,153
64,old,153
65,dominate,152
66,mineral,152
67,impressive,150
68,richness,149
69,edge,147
70,balanced,144
71,big,144
72,bright,141
73,touch,141
74,estate,135
75,concentration,135
76,open,130
77,time,126
78,bold,121
79,plenty,120
80,sweet,120
81,syrah,116
82,finish,114
83,power,114
84,end,112
85,month,111
86,weight,111
87,bring,108
88,integrate,107
89,potential,106
90,intense,104
91,soften,102
92,warm,102
93,alicante,98
94,bouschet,97
95,complex,97
96,crisp,96
97,bodied,96
98,chocolate,95
99,delicious,94
100,alentejo,89
101,name,89
102,offer,89
103,region,87
104,mature,86
105,feel,85
106,new,84
107,hint,84
108,aged,84
109,toast,81
110,add,80
111,round,80
112,tinta,80
113,perfume,78
114,strong,77
115,roriz,77
116,dusty,76
117,tight,75
118,quinta,75
119,dão,74
120,drunk,73
121,elegant,73
122,cabernet,72
123,freshness,71
124,minerality,71
125,aroma,69
126,sauvignon,68
127,easy,67
128,strongly,67
129,style,67
130,finely,66
131,firmly,65
132,oak,65
133,rounded,65
134,color,64
135,wait,64
136,aragonez,63
137,high,62
138,bitter,62
139,perfumed,61
140,lift,60
141,richly,60
142,late,60
143,portugal,60
144,alcohol,60
145,final,59
146,vintage,59
147,portuguese,58
148,sense,57
149,certainly,56
150,forward,56
151,smoky,56
152,family,55
153,promise,55
154,element,55
155,cherry,54
156,palate,54
157,support,54
158,textured,54
159,density,53
160,well,52
161,likely,52
162,long,52
163,concentrate,51
164,allow,50
165,pepper,50
166,earthy,50
167,note,50
168,selection,49
169,suggest,48
170,gentle,48
171,lightly,48
172,second,48
173,licorice,48
174,skin,48
175,local,47
176,make,46
177,extra,46
178,elegance,46
179,keep,46
180,cool,44
181,rustic,44
182,field,44
183,cut,44
184,opulent,44
185,castelão,43
186,densely,42
187,go,42
188,franca,41
189,typical,41
190,stalky,41
191,trincadeira,41
192,tough,40
193,stone,40
194,baga,39
195,classic,39
196,river,39
197,considerable,38
198,jammy,38
199,stylish,38
200,damson,38
201,drinkable,37
202,variety,36
203,right,35
204,term,35
205,lively,35
206,base,35
207,grow,35
208,bottle,34
209,brood,34
210,fill,33
211,leave,33
212,background,32
213,heart,32
214,barbecue,32
215,range,32
216,burst,32
217,combine,32
218,lace,32
219,future,32
220,soil,32
221,superior,31
222,ferment,31
223,mouth,31
224,contrast,31
225,include,30
226,winemaker,30
227,tarry,30
228,parcel,30
229,deliciously,30
230,taste,30
231,single,30
232,accessible,30
233,shape,30
234,vanilla,30
235,barrel,29
236,herbal,29
237,stage,29
238,own,29
239,result,29
240,tone,29
241,swathe,28
242,impressively,28
243,depth,28
244,drinking,27
245,warmth,27
246,immediately,27
247,alfrocheiro,27
248,create,26
249,producer,26
250,lagar,26
251,surround,26
252,remain,26
253,coffee,26
254,juice,26
255,valley,26
256,follow,26
257,polished,26
258,mint,26
259,juiciness,26
260,drive,26
261,da,26
262,de,25
263,heavy,25
