,word,word count
0,wine,1479
1,drink,740
2,acidity,662
3,flavor,603
4,fruit,602
5,crisp,470
6,ripe,440
7,fruity,356
8,texture,348
9,fresh,325
10,blend,309
11,rich,298
12,citrus,294
13,apple,292
14,light,286
15,character,282
16,bright,265
17,ready,251
18,wood,243
19,soft,223
20,age,215
21,lemon,201
22,white,184
23,pear,174
24,attractive,166
25,give,163
26,yellow,158
27,smooth,152
28,green,150
29,touch,146
30,creamy,140
31,aftertaste,133
32,tangy,132
33,spice,131
34,mineral,128
35,grape,127
36,dry,120
37,verde,113
38,vinho,112
39,arinto,111
40,apricot,109
41,lively,106
42,lightly,106
43,balance,103
44,young,94
45,finish,90
46,perfumed,90
47,end,88
48,delicious,88
49,fruitiness,86
50,fine,85
51,great,85
52,come,84
53,aged,83
54,grapefruit,77
55,peach,76
56,rounded,74
57,perfume,74
58,toast,74
59,tight,72
60,plum,70
61,chardonnay,69
62,textured,69
63,freshness,67
64,tropical,66
65,hint,66
66,spicy,65
67,pineapple,65
68,richness,64
69,edge,62
70,month,62
71,add,62
72,douro,62
73,show,60
74,clean,59
75,cool,59
76,warm,57
77,orange,57
78,fernão,57
79,pire,57
80,bring,56
81,refreshing,54
82,lime,54
83,need,54
84,aromatic,52
85,sweet,52
86,good,52
87,melon,52
88,alvarinho,52
89,dominate,51
90,round,51
91,feel,50
92,region,50
93,bodied,50
94,vine,49
95,vineyard,48
96,structure,46
97,balanced,46
98,z,45
99,prickle,45
100,cut,45
101,year,45
102,intense,45
103,late,44
104,well,42
105,toasty,41
106,lift,41
107,apéritif,40
108,note,40
109,palate,39
110,style,38
111,aroma,38
112,local,38
113,plenty,37
114,final,37
115,deliciously,37
116,produce,36
117,minerality,36
118,fragrant,35
119,tongue,34
120,vanilla,34
121,summer,34
122,generous,34
123,old,34
124,herbal,33
125,vaz,33
126,refresh,33
127,juicy,33
128,crispness,32
129,antão,32
130,juice,32
131,floral,32
132,pack,31
133,easy,31
134,weight,31
135,sauvignon,29
136,blanc,29
137,screwcap,29
138,sweetness,29
139,herbaceous,28
140,mouth,27
141,aging,26
142,tang,25
143,zesty,25
144,viognier,25
145,viosinho,25
146,malvasia,25
147,contrast,25
148,red,25
149,verdelho,24
150,classic,24
151,food,24
152,mango,24
153,right,23
154,layer,23
155,open,23
156,drunk,23
157,high,23
158,complex,23
159,offer,23
160,develop,22
161,concentration,22
162,skin,22
163,alentejo,22
164,oak,22
165,finely,22
166,toastiness,22
167,impressive,21
168,attractively,21
169,pink,20
170,integrate,20
171,steely,20
172,strong,20
173,extra,20
174,encruzado,20
175,name,19
176,almond,19
177,gentle,19
178,moscatel,19
179,make,19
180,burst,19
181,estate,18
182,taste,18
183,zest,18
184,pepper,18
185,complexity,18
186,barrel,18
187,honey,18
188,drinkable,17
189,immediately,17
190,combine,17
191,north,17
192,opulent,17
193,loureiro,17
194,wait,17
195,strongly,17
196,portugal,16
197,leave,16
198,taut,16
199,richly,16
200,dense,16
201,fill,16
202,citrusy,16
203,easily,15
204,trajadura,15
205,concentrated,15
206,stone,15
207,riper,15
208,suggest,15
209,new,15
210,beautifully,15
211,simple,15
212,typical,15
213,potential,14
214,quince,14
215,fat,14
216,grow,14
217,drinking,14
218,streak,14
219,like,14
220,time,14
221,ocean,14
222,lee,14
223,medium,13
224,portuguese,13
225,element,13
226,crisply,13
227,allow,13
228,variety,13
229,shoot,13
230,candy,13
231,ferment,13
232,tone,13
233,fermentation,13
234,dominant,12
235,brand,12
236,soften,12
237,vibrant,12
238,include,12
239,result,12
240,sense,12
241,gently,12
