,word,word count
0,blend,4520
1,flavor,4501
2,cherry,4346
3,black,4340
4,wine,4070
5,palate,4008
6,tannin,3938
7,aroma,3846
8,fruit,3762
9,cabernet,3194
10,red,2867
11,spice,2805
12,finish,2745
13,berry,2585
14,sauvignon,2277
15,plum,2236
16,note,2224
17,drink,2143
18,merlot,2032
19,blackberry,1960
20,ripe,1893
21,syrah,1847
22,offer,1828
23,dry,1791
24,pepper,1606
25,dark,1381
26,oak,1364
27,acidity,1318
28,sangiovese,1241
29,nose,1200
30,chocolate,1168
31,alongside,1165
32,herb,1086
33,open,1078
34,raspberry,1051
35,tobacco,1015
36,licorice,1015
37,vanilla,1012
38,soft,979
39,show,957
40,firm,950
41,leather,922
42,lead,907
43,juicy,888
44,fresh,888
45,deliver,884
46,hint,872
47,rich,867
48,currant,821
49,sweet,794
50,aromas,790
51,franc,744
52,bodied,744
53,clove,736
54,toast,733
55,smooth,712
56,good,677
57,coffee,676
58,bright,674
59,herbal,650
60,spicy,648
61,petit,641
62,verdot,638
63,tannic,627
64,feel,626
65,cassis,618
66,grape,616
67,fine,597
68,espresso,572
69,touch,572
70,white,557
71,balance,556
72,malbec,550
73,like,546
74,earthy,540
75,whiff,536
76,flower,527
77,texture,513
78,violet,506
79,structure,505
80,wild,502
81,prune,502
82,easy,500
83,savory,498
84,come,492
85,earth,483
86,blueberry,482
87,mouth,480
88,accent,472
89,petite,472
90,light,468
91,sirah,461
92,mocha,460
93,cinnamon,459
94,dense,452
95,blue,451
96,enjoy,451
97,taste,445
98,bake,423
99,mature,421
100,zinfandel,418
101,cedar,417
102,grain,411
103,raisin,409
104,meat,407
105,crush,407
106,green,406
107,year,403
108,fruity,399
109,bit,398
110,medium,398
111,smoke,393
112,round,389
113,velvety,388
114,age,373
115,chewy,371
116,soon,370
117,underbrush,368
118,big,364
119,long,364
120,anise,358
121,mouthfeel,348
122,close,345
123,style,345
124,grill,344
125,tart,341
126,polished,339
127,simple,335
128,cola,334
129,jammy,329
130,layer,323
131,scent,322
132,pair,313
133,elegant,313
134,mint,309
135,follow,305
136,variety,303
137,wood,303
138,grenache,301
139,provide,301
140,strawberry,295
141,tight,294
142,slightly,293
143,skinned,288
144,vintage,287
145,concentrated,284
146,deep,283
147,glass,283
148,delicious,280
149,tone,280
150,tempranillo,279
151,exotic,279
152,core,277
153,new,271
154,structured,270
155,color,268
156,straightforward,265
157,oaky,264
158,mix,263
159,baked,261
160,high,259
161,dole,259
162,bold,257
163,thick,256
164,support,250
165,alcohol,246
166,jam,246
167,add,243
168,time,242
169,character,241
170,solid,240
171,supple,239
172,little,237
173,vineyard,237
174,hard,232
175,linger,232
176,mineral,230
177,smoky,230
178,barrel,230
179,complex,228
180,roasted,227
181,vibrant,227
182,toasty,225
183,bouquet,225
184,balanced,223
185,suggest,220
186,olive,219
187,frame,218
188,bitter,217
189,cab,216
190,cranberry,216
191,peppery,216
192,ground,216
193,bordeaux,215
194,complexity,213
195,lightly,212
196,warm,212
197,carry,212
198,soil,210
199,richness,210
200,astringent,210
201,lush,208
202,menthol,206
203,intense,206
204,silky,202
205,mourvèdre,202
206,sage,201
207,bean,200
208,make,200
209,forward,199
210,bring,198
211,great,198
212,orange,197
213,heavy,193
214,rustic,190
215,forest,190
216,end,190
217,lively,190
218,smell,190
219,lot,189
220,young,188
221,drive,187
222,floral,187
223,graphite,187
224,include,185
225,cocoa,184
226,sour,184
227,base,183
228,almond,183
229,give,183
230,candy,182
231,back,181
232,nero,180
233,drinking,180
234,need,180
235,crisp,180
236,acid,178
237,pretty,177
238,roast,174
239,depth,174
240,carmenère,173
241,dusty,172
242,purple,170
243,ready,169
244,load,169
245,freshness,168
246,extract,167
247,concentration,166
248,generous,166
249,leave,166
250,lean,165
251,heat,165
252,strong,164
253,intensity,164
254,nutmeg,163
255,nice,163
256,power,163
257,plush,163
258,garnacha,162
259,grip,160
260,char,160
261,nicely,160
262,dominate,160
263,way,159
264,cake,156
265,tomato,155
266,small,154
267,body,154
268,game,154
269,canaiolo,154
270,balsamic,153
271,tightly,153
272,start,153
273,till,153
274,hold,153
275,leaf,150
276,creamy,149
277,set,149
278,aromatic,149
279,boast,147
280,easygoing,146
281,powerful,146
282,plenty,145
283,coconut,145
284,subtle,144
285,clean,142
286,assertive,141
287,raw,140
288,french,140
289,overall,139
290,bell,138
291,price,137
292,old,137
293,hearty,136
294,leafy,135
295,mediterranean,135
296,edge,135
297,bottle,134
298,meaty,133
299,sharp,132
300,recall,132
301,rubbery,132
302,quality,131
303,weight,131
304,fleshy,130
305,robust,130
306,beef,128
307,baking,128
308,combine,127
309,fragrant,127
310,sensation,126
311,floor,125
312,appeal,124
313,star,123
314,fig,121
315,equal,121
316,carignan,121
317,interesting,120
318,estate,120
319,super,119
320,gritty,119
321,sauce,118
322,succulent,118
323,plump,118
324,tuscan,118
325,peel,117
326,overripe,117
327,boysenberry,117
328,burn,116
329,elegance,116
330,tar,116
331,pack,114
332,tannat,113
333,find,113
334,leathery,113
335,chop,113
336,approachable,112
337,polish,112
338,tangy,112
339,accessible,112
340,chocolaty,111
341,winery,111
342,food,111
343,montepulciano,111
344,somewhat,109
345,inky,107
346,caramel,106
347,wet,106
348,delicate,106
349,fragrance,106
350,integrate,106
351,unusual,105
352,rest,105
353,minty,104
354,part,104
355,pasta,104
356,hot,104
357,length,103
358,colorino,103
359,cheese,102
360,feature,102
361,milk,102
362,emerge,101
363,develop,101
364,short,101
365,sweetness,101
366,fill,101
367,rise,100
368,mark,100
369,tea,100
370,produce,99
371,acidic,99
372,refined,99
373,element,99
374,barbera,99
375,framework,98
376,amarone,98
377,sense,98
378,reveal,98
379,right,97
380,grippy,97
381,pure,96
382,eucalyptus,96
383,pie,95
384,present,95
385,cure,94
386,rubber,93
387,woody,93
388,pipe,93
389,mild,93
390,racy,93
391,concentrate,93
392,chunky,93
393,dish,93
394,lack,93
395,truffle,92
396,fleeting,92
397,alicante,91
398,perfect,91
399,wrap,91
400,bacon,91
401,attractive,90
402,evolve,90
403,lift,90
