,word,word count
0,fruit,836
1,wine,786
2,flavor,767
3,blend,755
4,syrah,728
5,grenache,722
6,cherry,652
7,black,621
8,finish,569
9,drink,514
10,mourvèdre,496
11,note,433
12,tannin,410
13,palate,389
14,aroma,372
15,red,351
16,spice,348
17,plum,309
18,nose,300
19,dry,292
20,bodied,257
21,texture,239
22,dark,237
23,raspberry,236
24,pepper,234
25,hint,223
26,blackberry,217
27,ripe,208
28,rhône,208
29,berry,201
30,show,198
31,medium,193
32,chocolate,190
33,rich,188
34,acidity,167
35,soft,163
36,year,161
37,oak,159
38,style,159
39,herb,157
40,long,147
41,offer,140
42,sweet,136
43,structure,134
44,vanilla,132
45,leather,132
46,licorice,126
47,touch,125
48,age,119
49,blueberry,118
50,like,118
51,good,116
52,cinsault,115
53,balance,113
54,fresh,113
55,bright,113
56,lead,109
57,bit,109
58,mouth,108
59,firm,107
60,slightly,105
61,accent,103
62,light,102
63,linger,100
64,tannic,100
65,silky,96
66,garrigue,95
67,supple,94
68,savory,94
69,counoise,93
70,du,93
71,boysenberry,92
72,dusty,92
73,fine,91
74,weight,89
75,add,89
76,meat,88
77,purple,83
78,herbal,83
79,cocoa,81
80,dense,81
81,clove,80
82,velvety,78
83,coffee,78
84,currant,77
85,violet,76
86,concentrated,75
87,creamy,75
88,cinnamon,74
89,carignan,74
90,peppery,74
91,mocha,73
92,complex,72
93,petite,72
94,sirah,72
95,juicy,72
96,easy,71
97,earthy,70
98,spicy,69
99,come,69
100,big,68
101,character,68
102,earth,68
103,thyme,67
104,olive,66
105,lush,66
106,tart,66
107,smoke,65
108,frame,63
109,wild,63
110,lavender,62
111,beef,62
112,scent,62
113,follow,62
114,vintage,60
115,cola,59
116,cranberry,58
117,warm,58
118,fruity,57
119,make,56
120,strawberry,55
121,flower,55
122,richness,55
123,châteauneuf,55
124,great,54
125,strong,54
126,sip,53
127,bake,53
128,elegant,53
129,bring,53
130,turn,52
131,base,52
132,espresso,52
133,feel,51
134,open,51
135,time,51
136,vineyard,51
137,crisp,51
138,pape,51
139,white,50
140,aromas,50
141,solid,49
142,crush,49
143,body,48
144,southern,48
145,core,48
146,ample,48
147,intense,48
148,mix,47
149,taste,47
150,leaf,46
151,sense,46
152,cedar,46
153,approachable,46
154,end,45
155,smooth,45
156,attractive,44
157,high,44
158,grape,44
159,price,44
160,wood,44
161,floral,44
162,balanced,44
163,support,44
164,mouthfeel,43
165,jammy,43
166,anise,43
167,deliver,43
168,forward,43
169,bay,42
170,tobacco,42
171,feature,42
172,textured,42
173,dominate,41
174,deep,41
175,color,41
176,layer,40
177,start,40
178,cassis,40
179,delicious,40
180,carry,38
181,jam,38
182,complexity,38
183,round,38
184,plush,38
185,simple,37
186,plummy,37
187,remain,37
188,lift,36
189,asphalt,36
190,grip,36
191,edge,36
192,acid,36
193,rise,36
194,toast,36
195,depth,35
196,côte,35
197,way,35
198,plenty,35
199,lot,35
200,de,35
201,element,35
202,smoky,35
203,load,34
204,old,34
205,alongside,34
206,new,33
207,structured,33
208,powerful,33
209,power,33
210,fill,33
211,give,33
212,viognier,33
213,vibrant,33
214,little,33
215,cuvée,33
216,fennel,33
217,pure,32
218,mineral,32
219,provide,32
220,clean,32
221,bottling,32
222,hold,32
223,barrel,32
224,meaty,32
225,mark,31
226,elderberry,31
227,green,31
228,rustic,31
229,tar,31
230,nicely,31
231,richly,31
232,roast,31
233,tight,30
234,suggest,30
235,bouquet,30
236,drive,30
237,glass,30
238,nuance,30
239,ready,30
240,roasted,30
241,drinking,30
242,close,30
243,char,29
244,need,29
245,potential,29
246,candy,29
247,pair,29
248,somewhat,29
249,boast,29
250,winery,28
251,game,28
252,pick,28
253,alcohol,28
254,midpalate,28
255,softly,28
256,lively,28
257,firmly,27
258,appeal,27
259,leave,27
260,concentration,27
261,combine,27
262,intriguing,26
263,leathery,26
264,tone,26
265,root,26
266,aromatic,26
267,moderate,26
268,emerge,26
269,peppercorn,26
270,pleasant,26
271,sage,26
272,excellent,25
273,bottle,25
274,pomegranate,25
275,despite,25
276,mouthwatere,25
277,mint,25
278,petal,25
279,integrate,25
280,mature,25
281,caramel,24
282,lace,24
283,superripe,24
284,rest,24
285,level,24
286,blue,24
287,lightly,24
288,value,24
289,vine,24
290,rosemary,23
291,pretty,23
292,crack,23
293,length,23
294,concentrate,23
295,back,23
296,mulberry,22
297,meet,22
298,carignane,22
299,minerality,22
300,orange,22
301,bold,22
302,lovely,22
303,streak,22
304,effort,22
305,gamy,22
306,food,22
307,chewy,22
308,crushed,21
309,rock,21
310,skin,21
311,chocolaty,21
312,modest,21
313,young,21
314,tinge,21
315,display,21
316,purity,21
317,forest,21
318,generous,21
319,pie,21
