,word,word count
0,flavor,2812
1,dry,2647
2,finish,2627
3,palate,2318
4,wine,2181
5,riesling,2032
6,acidity,1862
7,lemon,1848
8,fruit,1787
9,note,1617
10,apple,1611
11,peach,1435
12,lime,1372
13,sweet,1184
14,drink,1172
15,fresh,1155
16,nose,1077
17,ripe,1074
18,citrus,1059
19,mineral,888
20,honey,871
21,long,825
22,hint,804
23,white,764
24,tangerine,752
25,stone,728
26,aroma,712
27,pear,691
28,grapefruit,685
29,crisp,630
30,light,630
31,orange,612
32,balance,600
33,tart,564
34,style,563
35,fruity,558
36,juicy,553
37,linger,538
38,freshness,537
39,apricot,529
40,zesty,524
41,touch,516
42,tone,515
43,rich,499
44,green,497
45,spice,472
46,lend,468
47,yellow,467
48,texture,454
49,bright,453
50,concentrated,449
51,clean,435
52,floral,421
53,minerality,415
54,sugar,397
55,delicate,396
56,blossom,383
57,brisk,359
58,savory,358
59,aromatic,356
60,peel,339
61,show,335
62,bodied,333
63,slightly,331
64,pineapple,328
65,medium,320
66,offer,314
67,sweetness,311
68,add,304
69,refreshing,295
70,smoke,294
71,flower,290
72,perfume,287
73,year,285
74,age,283
75,riesle,283
76,intensely,268
77,like,268
78,melon,260
79,steely,259
80,herb,257
81,edge,254
82,earthy,252
83,body,252
84,residual,251
85,complexity,248
86,elegant,245
87,cut,245
88,accent,244
89,intense,241
90,come,241
91,soft,236
92,scent,236
93,bit,234
94,streak,234
95,lemony,234
96,crush,228
97,delicious,225
98,whiff,224
99,pure,217
100,feel,214
101,good,210
102,layer,208
103,character,208
104,z,206
105,dusty,203
106,complex,203
107,concentration,203
108,tropical,201
109,easy,199
110,acid,196
111,penetrate,194
112,taut,193
113,midpalate,190
114,slate,189
115,lovely,189
116,vineyard,189
117,mouth,184
118,petrol,183
119,sunny,181
120,honeysuckle,180
121,lead,179
122,zest,179
123,spicy,178
124,honeyed,178
125,structure,178
126,tea,177
127,earth,176
128,lean,173
129,great,173
130,give,169
131,delicately,167
132,alcohol,165
133,core,165
134,plum,162
135,strike,161
136,make,161
137,beautifully,159
138,mouthfeel,158
139,rind,155
140,mango,155
141,refresh,155
142,wet,153
143,kabinett,153
144,lively,153
145,skin,152
146,tight,152
147,racy,151
148,luscious,151
149,drive,151
150,pith,150
151,lip,150
152,deeply,147
153,candy,146
154,fragrant,144
155,red,143
156,saffron,143
157,round,143
158,creamy,142
159,lush,141
160,pollen,139
161,focus,139
162,nectarine,136
163,aromas,136
164,balanced,135
165,taste,133
166,textured,132
167,fine,132
168,spätlese,132
169,purity,130
170,high,129
171,mix,129
172,spry,127
173,perfumed,127
174,pink,125
175,subtle,125
176,nuance,124
177,intensity,124
178,richness,124
179,cherry,123
180,pristine,122
181,mark,121
182,suggest,121
183,bring,121
184,slender,120
185,concentrate,120
186,brighten,119
187,vibrant,119
188,time,119
189,sprightly,118
190,pretty,117
191,tangy,117
192,forward,116
193,open,115
194,bottle,115
195,jasmine,114
196,little,114
197,follow,114
198,young,113
199,kiss,112
200,enjoy,112
201,sip,110
202,plump,109
203,reveal,108
204,provide,108
205,burst,108
206,start,107
207,auslese,107
208,quince,106
209,lift,106
210,wonderfully,106
211,play,105
212,need,105
213,despite,104
214,citrusy,103
215,extend,103
216,vintage,103
217,notion,103
218,hold,101
219,bitter,101
220,develop,101
221,brace,100
222,load,100
223,waxy,100
224,plenty,99
225,mandarin,99
226,invigorate,98
227,moderately,98
228,elegance,98
229,length,95
230,bottling,95
231,glass,95
232,marmalade,94
233,ripeness,93
234,footed,93
235,powerful,91
236,highlight,91
237,juice,91
238,smack,90
239,cool,90
240,screwcap,89
241,carry,89
242,linear,89
243,refreshingly,89
244,frame,89
245,lanolin,88
246,minerally,88
247,weight,88
248,leave,88
249,elegantly,87
250,rounded,87
251,improve,86
252,stony,86
253,freshly,85
254,dominate,85
255,turn,84
256,boast,84
257,depth,84
258,straightforward,84
259,price,84
260,refreshment,84
261,totally,84
262,smoky,83
263,steel,83
264,tingle,83
265,power,83
266,vine,83
267,astringency,83
268,deep,81
269,sharp,80
270,lot,80
271,semi,80
272,oil,79
273,promise,79
274,slight,79
275,continue,79
276,shine,78
277,bold,78
278,crushed,77
279,riper,77
280,simple,77
281,offset,77
282,persist,76
283,lightly,76
284,bone,76
285,pleasant,76
286,ample,75
287,gorgeously,75
288,deliver,75
289,fill,75
290,decade,74
291,ready,74
292,shade,74
293,combine,74
294,element,73
295,warm,72
296,keep,72
297,spine,72
298,late,72
299,abound,71
300,bristle,71
301,zippy,71
302,backbone,71
303,drinking,71
304,nectar,71
305,way,70
306,press,70
307,richly,70
308,meyer,70
309,smooth,70
310,old,70
311,harvest,69
312,vanilla,68
313,mirabelle,68
314,pierce,68
315,nut,67
316,pair,67
317,lusciously,67
318,remain,67
319,appear,67
320,surprisingly,67
321,sun,67
322,generous,67
323,mouthwatere,66
324,nicely,66
325,caramel,66
326,grape,66
327,aftertaste,66
328,appeal,65
329,quaffable,65
330,pack,65
331,honeydew,65
332,sense,65
333,semidry,64
334,lithe,64
335,fruitiness,64
336,label,64
337,pleasantly,64
338,flint,63
339,color,63
340,wax,63
341,reverberate,63
342,low,63
343,slick,63
344,pressed,63
345,end,63
346,herbal,62
347,line,62
348,contrast,62
349,attractive,62
350,approachable,62
351,remarkably,62
352,focused,61
353,estate,61
354,berry,60
355,gentle,60
356,waft,59
357,tinge,59
358,mingle,58
359,dessert,58
360,sour,58
361,exotic,58
362,impressive,58
363,vein,58
364,meld,57
365,sugary,57
366,right,57
367,mosel,57
368,bramble,56
369,beautiful,56
370,dense,56
