,word,word count
0,wine,2791
1,fruit,1762
2,flavor,1753
3,acidity,1652
4,red,1489
5,rosé,1373
6,drink,1071
7,crisp,988
8,light,957
9,finish,872
10,strawberry,871
11,ripe,793
12,fresh,784
13,fruity,764
14,dry,748
15,cherry,662
16,palate,650
17,color,636
18,bright,596
19,aroma,583
20,texture,575
21,raspberry,566
22,pink,549
23,soft,529
24,berry,523
25,touch,512
26,blend,472
27,rich,416
28,note,415
29,spice,414
30,character,399
31,citrus,397
32,attractive,380
33,orange,373
34,aftertaste,360
35,currant,342
36,pale,332
37,nose,328
38,offer,328
39,syrah,328
40,grenache,328
41,peach,323
42,bodied,322
43,lively,316
44,hint,297
45,sweet,288
46,balance,284
47,give,275
48,ready,275
49,caramel,255
50,food,255
51,clean,252
52,grape,251
53,end,241
54,refreshing,231
55,watermelon,227
56,fruitiness,225
57,white,225
58,good,224
59,tangy,222
60,medium,220
61,style,220
62,cabernet,205
63,like,203
64,come,200
65,show,196
66,weight,195
67,pepper,191
68,smooth,189
69,delicious,186
70,plum,179
71,mineral,179
72,edge,178
73,tart,178
74,feel,176
75,lightly,172
76,apple,168
77,tight,166
78,slightly,166
79,lemon,164
80,mouth,164
81,vanilla,162
82,great,162
83,pinot,159
84,provence,158
85,estate,156
86,freshness,154
87,taste,149
88,balanced,148
89,summer,147
90,melon,147
91,easy,144
92,bit,143
93,produce,142
94,cinsault,142
95,pretty,140
96,noir,140
97,candy,135
98,grapefruit,135
99,spicy,134
100,apéritif,133
101,mourvèdre,132
102,structure,131
103,rounded,131
104,salmon,130
105,delicate,129
106,fine,127
107,vineyard,124
108,plenty,124
109,stone,123
110,refresh,122
111,warm,121
112,age,120
113,pack,120
114,add,120
115,sauvignon,116
116,bring,116
117,intense,115
118,make,115
119,round,115
120,lift,114
121,textured,111
122,merlot,111
123,juicy,110
124,simple,110
125,cut,110
126,body,109
127,tannin,107
128,lead,107
129,skin,106
130,herb,106
131,bitter,102
132,richness,101
133,wild,100
134,lime,100
135,herbal,98
136,perfume,97
137,right,95
138,zesty,93
139,rind,92
140,month,91
141,colored,91
142,mouthfeel,91
143,open,90
144,z,89
145,bottle,89
146,franc,88
147,minerality,85
148,perfumed,84
149,bone,83
150,dominate,82
151,scent,82
152,floral,80
153,peel,80
154,close,79
155,year,78
156,dark,78
157,final,78
158,blush,76
159,linger,76
160,family,75
161,pair,75
162,aromatic,75
163,heavy,74
164,follow,74
165,aromas,72
166,sweetness,72
167,long,71
168,forward,71
169,ample,71
170,sip,71
171,late,70
172,concentrated,69
173,little,69
174,subtle,67
175,layer,66
176,lend,66
177,complex,66
178,sour,66
179,nectarine,65
180,concentration,65
181,fragrant,64
182,copper,63
183,tannic,63
184,deep,63
185,tone,63
186,gum,62
187,green,62
188,friendly,61
189,bubblegum,60
190,base,60
191,de,59
192,tang,59
193,suggest,58
194,extra,58
195,cranberry,58
196,crush,58
197,keep,57
198,rise,57
199,elegant,56
200,high,56
201,grow,56
202,alcohol,56
203,tangerine,56
204,immediately,55
205,screwcap,55
206,burst,55
207,peppery,54
208,vine,54
209,generous,54
210,vibrant,53
211,apricot,53
212,carry,53
213,accent,52
214,plump,52
215,savory,51
216,crispness,51
217,blossom,50
218,wet,50
219,zest,50
220,leave,50
221,acid,49
222,glass,49
223,brisk,48
224,creamy,48
225,ferment,48
226,deliciously,48
227,drive,48
228,bouquet,47
229,bubble,47
230,low,47
231,perfect,47
232,touriga,47
233,nacional,47
234,dusty,46
235,malbec,46
236,deliver,45
237,name,45
238,old,45
239,smell,45
240,almond,45
241,strong,45
242,attractively,44
243,chocolate,44
244,pithy,44
245,young,44
246,vintage,44
247,rose,43
248,sangiovese,43
249,need,43
250,citrusy,43
251,combine,43
252,gentle,43
253,structured,42
254,element,42
255,complexity,42
256,mark,41
257,bold,41
258,bite,41
259,cool,41
260,pleasant,41
261,producer,41
262,way,40
263,gently,40
264,small,40
265,poise,40
266,hue,39
267,feature,39
268,nice,39
269,contrast,38
270,sense,37
271,variety,37
272,quality,37
273,petal,37
274,drinking,36
275,short,36
276,result,36
277,well,36
278,yellow,36
