,word,word count
0,cherry,1951
1,palate,1682
2,tannin,1642
3,aroma,1339
4,black,1322
5,wine,1055
6,berry,987
7,spice,940
8,offer,931
9,fruit,912
10,drink,837
11,red,830
12,note,811
13,dry,724
14,alongside,714
15,ripe,661
16,flavor,637
17,sangiovese,626
18,finish,582
19,leather,575
20,plum,558
21,herb,493
22,acidity,487
23,open,487
24,oak,482
25,licorice,478
26,tobacco,465
27,raspberry,462
28,nose,461
29,dark,442
30,firm,416
31,hint,415
32,deliver,410
33,pepper,410
34,aromas,390
35,bright,389
36,wild,386
37,underbrush,386
38,lead,378
39,vanilla,373
40,clove,350
41,espresso,345
42,toast,344
43,juicy,338
44,whiff,330
45,show,315
46,flower,300
47,fresh,299
48,white,279
49,anise,277
50,coffee,273
51,bodied,273
52,blue,266
53,mature,265
54,grain,263
55,earth,254
56,violet,252
57,fine,249
58,close,246
59,skinned,243
60,glass,226
61,cinnamon,222
62,crush,216
63,blackberry,214
64,sweet,209
65,enjoy,206
66,forest,203
67,light,195
68,chewy,194
69,menthol,192
70,structure,190
71,provide,190
72,smooth,187
73,grill,187
74,soil,187
75,chianti,184
76,new,183
77,chocolate,182
78,bake,180
79,accent,180
80,sage,179
81,year,173
82,velvety,168
83,soft,166
84,savory,163
85,floor,162
86,mocha,160
87,easy,157
88,alcohol,157
89,round,157
90,mint,156
91,star,152
92,soon,151
93,meat,149
94,earthy,147
95,leave,147
96,tart,146
97,dole,145
98,chop,141
99,polished,140
100,touch,139
101,prune,139
102,frame,139
103,mouth,138
104,astringent,138
105,till,136
106,good,136
107,balsamic,135
108,rich,135
109,strawberry,135
110,pair,133
111,game,132
112,vibrant,131
113,fleshy,130
114,sour,128
115,tightly,126
116,elegant,125
117,truffle,124
118,dense,124
119,assertive,123
120,support,123
121,cranberry,122
122,come,122
123,bean,120
124,straightforward,117
125,riserva,117
126,simple,114
127,tone,114
128,carry,113
129,balance,113
130,age,113
131,classico,112
132,layer,111
133,texture,110
134,medium,107
135,orange,104
136,scent,104
137,entirely,104
138,color,104
139,pretty,101
140,mediterranean,101
