,word,word count
0,wine,3272
1,flavor,3110
2,fruit,2125
3,finish,1801
4,acidity,1619
5,green,1507
6,citrus,1403
7,sauvignon,1333
8,palate,1284
9,aroma,1243
10,blanc,1188
11,lime,1139
12,crisp,1131
13,drink,1111
14,grapefruit,1022
15,lemon,997
16,apple,949
17,fresh,939
18,ripe,902
19,white,886
20,note,884
21,nose,700
22,texture,688
23,dry,657
24,light,608
25,tropical,598
26,melon,595
27,clean,540
28,rich,527
29,good,522
30,peach,493
31,pineapple,477
32,offer,473
33,gooseberry,468
34,bodied,468
35,touch,457
36,show,448
37,hint,448
38,pear,430
39,character,430
40,herbal,430
41,grass,424
42,bright,417
43,like,410
44,herb,404
45,medium,402
46,oak,401
47,sweet,399
48,soft,382
49,balance,374
50,mineral,364
51,grassy,359
52,vanilla,356
53,age,356
54,fruity,345
55,tart,343
56,pepper,339
57,orange,335
58,tangy,333
59,style,326
60,taste,314
61,passion,312
62,cut,312
63,mouth,297
64,come,283
65,slightly,282
66,round,281
67,bit,279
68,feel,279
69,lively,267
70,refreshing,264
71,zesty,259
72,apricot,253
73,minerality,253
74,give,244
75,vineyard,241
76,easy,240
77,stone,239
78,long,238
79,ready,235
80,spice,234
81,tight,230
82,creamy,229
83,sb,228
84,body,213
85,little,213
86,juicy,208
87,great,206
88,ferment,202
89,make,200
90,honey,198
91,year,198
92,fig,197
93,weight,197
94,new,192
95,fine,191
96,citrusy,190
97,edge,187
98,young,186
99,tangerine,184
100,herbaceous,184
101,steel,183
102,nice,182
103,add,181
104,stainless,178
105,intense,176
106,nectarine,176
107,complex,176
108,lean,175
109,aromas,172
110,peel,171
111,simple,171
112,brisk,167
113,end,167
114,yellow,167
115,blend,165
116,bell,165
117,grape,163
118,lead,163
119,richness,163
120,balanced,162
121,price,162
122,vintage,161
123,pungent,159
124,wet,157
125,attractive,157
126,mouthfeel,156
127,mix,155
128,lightly,149
129,lemongrass,149
130,floral,148
131,mango,147
132,barrel,146
133,steely,146
134,open,145
135,linger,144
136,concentrated,139
137,smooth,139
138,acid,138
139,delicious,137
140,follow,136
141,cool,135
142,high,135
143,accent,134
144,bring,133
145,need,129
146,refresh,129
147,spicy,128
148,food,128
149,pea,126
150,plenty,125
151,freshness,125
152,strong,125
153,provide,124
154,savory,124
155,variety,124
156,bitter,124
157,aromatic,123
158,produce,123
159,kiwi,122
160,valley,122
161,warm,121
162,sharp,120
163,subtle,119
164,vegetal,119
165,structure,117
166,scent,117
167,neutral,117
168,pair,116
169,bottling,116
170,pithy,116
171,layer,116
172,acidic,114
173,complexity,114
174,elegant,113
175,lot,112
176,vibrant,111
177,fruitiness,111
178,pink,109
179,marlborough,108
180,plump,107
181,racy,107
182,rind,107
183,sour,106
184,aftertaste,106
185,briny,106
186,plum,105
187,right,105
188,sancerre,105
189,soil,105
190,rounded,105
191,element,104
192,citric,104
193,textured,103
194,vine,103
195,skin,103
196,concentration,102
197,pleasant,102
198,varietal,101
199,start,101
200,pure,100
201,lemony,100
202,bean,100
203,mark,99
204,flint,99
205,toast,99
206,z,97
207,way,96
208,meyer,96
209,mouthwatere,96
210,time,96
211,glass,96
212,drive,94
213,leaf,94
214,sip,93
215,flower,93
216,bouquet,93
217,tone,93
218,quality,92
219,sweetness,92
220,nicely,92
221,smell,92
222,tomato,92
223,juice,91
224,producer,91
225,stony,90
226,mild,89
227,ample,88
228,grow,88
229,asparagus,88
230,dominate,87
231,sémillon,87
232,turn,87
233,french,87
234,lift,86
235,nettle,85
236,blossom,85
237,basic,85
238,deliver,85
239,pith,84
240,zest,83
241,minerally,83
242,guava,83
243,pretty,82
244,papaya,80
245,slight,79
246,keep,78
247,solid,78
248,find,76
249,candy,76
250,lovely,75
251,old,75
252,pack,75
253,low,74
254,chalky,74
255,ripeness,73
256,feature,73
257,core,73
258,bitterness,72
259,suggest,72
260,go,72
261,include,71
262,estate,71
263,climate,71
264,fleshy,70
265,wood,70
266,intensity,70
267,winery,70
268,month,70
269,crispness,70
270,zealand,69
271,alcohol,69
272,well,69
273,depth,69
274,classic,68
275,carry,68
276,length,68
277,typical,68
278,generous,68
279,combine,68
280,remain,67
281,honeydew,67
282,jalapeño,66
283,short,66
284,set,66
285,hold,65
286,value,65
287,seafood,65
288,lack,65
289,flat,65
290,salty,65
291,leafy,65
292,delicate,64
293,currant,64
294,oily,64
295,flinty,64
296,asian,63
297,fill,63
298,chalk,63
299,peppery,63
300,smoky,62
301,overall,62
302,develop,62
303,bone,62
304,hay,61
305,heavy,61
306,impressive,61
307,red,61
308,tang,61
309,intensely,61
310,celery,60
311,underripe,59
312,banana,59
313,honeysuckle,59
314,level,59
315,smoke,59
316,forward,58
317,riper,58
318,bottle,58
319,alongside,57
320,case,57
321,modest,57
322,line,57
323,straightforward,56
324,honeyed,56
325,somewhat,56
326,sugar,56
327,midpalate,56
328,feline,56
329,get,56
330,big,56
331,leave,55
332,close,55
333,blancs,54
334,despite,53
335,lush,53
336,friendly,53
337,bold,53
338,strike,53
339,snappy,53
340,streak,52
341,salad,52
342,boast,52
343,almond,52
344,single,52
345,match,51
346,focus,51
347,expression,51
348,lend,51
349,result,51
350,summer,51
351,fumé,51
352,example,50
353,chunky,50
354,perfect,50
