,word,word count
0,finish,484
1,fruit,445
2,wine,418
3,drink,397
4,shiraz,396
5,flavor,352
6,note,315
7,tannin,283
8,bodied,253
9,black,252
10,cherry,224
11,vanilla,217
12,berry,200
13,spice,196
14,palate,189
15,plum,187
16,hint,186
17,aroma,175
18,texture,165
19,pepper,150
20,dark,146
21,blackberry,146
22,long,146
23,oak,142
24,red,137
25,raspberry,133
26,savory,123
27,chocolate,119
28,nose,119
29,creamy,117
30,medium,111
31,meat,105
32,supple,102
33,year,101
34,ripe,96
35,olive,95
36,rich,94
37,slightly,93
38,soft,90
39,good,89
40,offer,88
41,like,87
42,dry,85
43,mocha,82
44,blueberry,79
45,bit,76
46,mint,73
47,add,73
48,cedar,72
49,show,69
50,dusty,68
51,coffee,67
52,accent,67
53,frame,66
54,mouth,64
55,balance,64
56,crisp,63
57,smoke,62
58,weight,61
59,touch,61
60,sweet,61
61,acidity,58
62,bright,58
63,espresso,57
64,style,56
65,firm,55
66,come,55
67,tart,54
68,barossa,53
69,plenty,52
70,lush,52
71,silky,52
72,complex,51
73,big,51
74,velvety,50
75,peppery,49
76,structure,49
77,plush,48
78,meaty,48
79,scent,47
80,ample,47
81,herbal,47
82,age,47
83,price,46
84,linger,46
85,acid,46
86,complexity,45
87,cassis,45
88,earthy,44
89,lead,43
90,feature,42
91,crack,42
92,fine,42
93,start,42
94,deliver,41
95,value,41
96,leather,41
97,spicy,41
98,balanced,41
99,dense,40
100,tobacco,40
101,licorice,39
102,easy,39
103,element,38
104,smooth,38
105,mark,38
106,roasted,38
107,turn,38
108,concentrated,38
109,mouthfeel,37
110,textured,37
111,grill,36
112,fresh,36
113,alcohol,36
114,earth,36
115,herb,36
116,blend,35
117,plummy,35
118,nicely,35
119,cola,34
120,smoky,34
121,fruity,34
122,end,33
123,toast,33
124,vineyard,32
125,round,32
126,cinnamon,32
127,time,32
128,suggest,31
129,sugar,31
130,warm,31
131,jammy,31
132,intense,30
133,bold,30
134,edge,29
135,juicy,29
136,cocoa,29
137,tannic,29
138,boast,28
139,roast,28
140,pretty,27
141,body,27
142,bottle,27
143,brown,27
144,character,27
145,way,26
146,nice,26
147,valley,26
148,clean,26
149,approachable,26
150,pair,26
151,vintage,25
152,support,25
153,make,25
154,length,25
155,richly,25
156,beef,24
157,layer,24
158,solid,24
159,strawberry,24
160,great,24
161,region,24
162,example,24
163,try,24
164,bouquet,24
165,powerful,23
166,mouthwatere,23
167,combine,23
168,currant,23
169,green,23
170,nuance,23
171,tinge,23
172,mixed,23
173,follow,23
174,structured,22
175,clove,22
176,violet,22
177,fill,22
178,menthol,21
179,grip,21
180,taste,21
181,give,21
182,deep,21
183,high,21
184,pick,21
185,mix,21
186,little,21
187,provide,21
188,feel,21
189,color,20
190,impressive,20
191,boysenberry,20
192,close,20
193,remain,20
194,level,20
195,heavy,20
196,wood,19
197,attractive,19
198,light,19
199,syrah,19
200,open,18
201,import,18
202,lot,18
203,australia,18
204,dominate,18
205,carry,18
206,tea,18
207,quality,18
208,french,18
209,eucalyptus,18
210,short,17
211,delicious,17
212,softly,17
213,richness,17
214,drinking,17
215,sense,17
216,aromas,17
217,despite,17
218,toasty,17
219,new,17
220,load,17
221,simple,17
222,elegant,17
223,char,16
224,cellar,16
225,chewy,16
226,asphalt,16
227,glass,16
228,appeal,15
229,lack,15
230,drinkable,15
231,marry,15
232,chocolaty,15
233,strong,15
234,white,15
235,wrap,15
236,australian,15
237,subtle,15
238,core,15
239,bring,15
240,baking,15
241,excellent,15
242,pack,15
243,floral,15
244,build,15
245,reasonably,15
246,alongside,15
247,surprisingly,14
248,mingle,14
249,steak,14
250,forward,14
251,impression,14
252,elegance,14
253,barbecue,14
254,maple,14
255,syrup,14
256,winemaker,14
257,tight,14
258,firmly,14
259,american,14
260,display,13
261,coconut,13
262,hold,13
263,cedary,13
264,overly,13
265,bake,13
266,anise,13
267,young,13
268,mulberry,13
269,range,13
270,right,13
271,muscular,13
272,leave,13
273,warmth,13
274,concentration,12
275,family,12
276,oaky,12
277,cellare,12
278,old,12
279,superripe,12
280,sour,12
281,lamb,12
282,mclaren,12
283,vale,12
284,go,12
285,entry,12
286,vibrant,12
287,cranberry,12
288,intensity,12
289,match,12
290,lovely,12
291,wild,12
292,continue,12
293,intriguing,12
294,game,12
295,single,12
296,bottling,12
297,dusting,12
298,powder,12
299,drive,12
300,caramel,12
301,wave,11
302,lively,11
303,source,11
304,vine,11
305,mouthfilling,11
306,cool,11
307,peppercorn,11
308,play,11
309,inexpensive,11
310,bark,11
311,integrate,11
312,south,11
313,stew,11
314,friendly,11
315,need,11
316,mature,11
317,overall,11
318,expect,11
319,tar,11
320,power,11
321,aussie,11
322,terrific,11
323,crush,11
324,somewhat,11
325,ready,11
326,nearly,10
327,lift,10
328,bacon,10
329,plant,10
330,emerge,10
331,set,10
332,fairly,10
333,freshness,10
334,fleshy,10
335,label,10
336,bean,10
337,pleasant,10
338,straightforward,10
339,effort,10
340,find,10
341,point,10
342,bramble,10
343,result,10
344,grain,10
345,easily,10
346,back,10
347,persist,10
348,restrained,10
349,candy,10
350,overtone,10
351,classic,10
352,choice,10
353,reveal,10
354,inky,9
355,mouthfille,9
356,fudge,9
357,relatively,9
358,take,9
359,prune,9
360,accessible,9
361,hearty,9
362,tarry,9
363,enjoyable,9
364,plus,9
365,use,9
366,appear,9
367,offering,9
368,sturdy,9
369,impart,9
370,sharp,9
371,rhubarb,9
372,probably,9
373,develop,9
374,grow,9
375,burger,9
376,hard,9
377,instead,9
378,cheese,9
379,forest,9
380,retain,9
381,stand,9
382,thin,9
383,profile,9
384,enjoy,9
