,word,word count
0,flavor,1298
1,apple,1100
2,palate,981
3,finish,934
4,wine,840
5,fruit,708
6,aroma,688
7,dry,680
8,note,602
9,acidity,586
10,fresh,550
11,pinot,513
12,citrus,458
13,nose,454
14,chardonnay,437
15,crisp,389
16,lemon,362
17,lime,352
18,noir,327
19,blend,326
20,light,319
21,white,312
22,creamy,312
23,sweet,305
24,yeasty,284
25,offer,284
26,ripe,280
27,sparkler,273
28,green,267
29,strawberry,264
30,rich,250
31,hint,250
32,red,249
33,bubble,246
34,peach,244
35,mousse,241
36,vanilla,235
37,feel,234
38,toast,231
39,orange,226
40,clean,226
41,bread,225
42,touch,224
43,soft,223
44,bright,216
45,raspberry,215
46,drink,214
47,good,211
48,bubbly,208
49,fine,203
50,sparkling,194
51,pear,191
52,texture,191
53,color,188
54,brut,187
55,fruity,187
56,sparkle,185
57,lively,184
58,elegant,182
59,yellow,171
60,freshness,171
61,cherry,168
62,show,167
63,like,166
64,spice,165
65,yeast,150
66,slightly,149
67,pink,149
68,honey,145
69,rosé,142
70,taste,141
71,cava,138
72,almond,130
73,balance,130
74,tart,129
75,mouth,128
76,berry,126
77,smooth,124
78,stone,121
79,alongside,121
80,nectarine,120
81,flower,119
82,open,119
83,long,118
84,round,117
85,easy,116
86,little,115
87,melon,113
88,delicious,112
89,briny,111
90,lead,111
91,mouthfeel,110
92,bitter,107
93,frothy,105
94,foamy,103
95,come,103
96,aromas,103
97,candy,102
98,bodied,100
99,refreshing,100
100,grapefruit,99
101,bit,99
102,perlage,98
103,give,96
104,fizz,96
105,herb,95
106,deliver,92
107,body,91
108,complex,91
109,nero,91
110,crust,90
111,bready,89
112,style,89
113,grape,89
114,lovely,87
115,floral,87
116,make,86
117,richness,85
118,year,84
119,brisk,84
120,brioche,83
121,edge,83
122,persistent,82
123,add,82
124,apéritif,82
125,golden,81
126,subtle,79
127,scent,78
128,sugar,78
129,mineral,77
130,bottle,76
131,character,74
132,simple,74
133,delicate,73
134,zest,72
135,bake,72
136,mild,71
137,age,70
138,mature,70
139,toasty,69
140,plum,69
141,apricot,69
142,tangerine,68
143,tight,67
144,medium,67
145,lightly,66
146,aftertaste,66
147,pretty,65
148,dusty,65
149,price,64
150,citrusy,64
151,nice,63
152,complexity,63
153,zesty,63
154,walnut,62
155,attractive,62
156,linger,61
157,vibrant,61
158,great,60
159,tangy,60
160,pure,60
161,solid,60
162,end,60
163,pastry,59
164,accent,58
165,refined,58
166,blanc,58
167,pepper,58
168,follow,57
169,whiff,57
170,sweetness,56
171,juicy,56
172,balanced,55
173,baked,55
174,skin,55
175,lemony,55
176,scoury,55
177,peel,54
178,way,54
179,firm,54
180,carry,53
181,pale,53
182,close,53
183,smell,52
184,salmon,52
185,mellow,52
186,hazelnut,52
187,tone,52
188,nutty,51
189,cream,51
190,dosage,50
191,rounded,49
192,vintage,49
193,suggest,49
194,citric,48
195,high,48
196,glass,48
197,blossom,47
198,play,47
199,savory,46
200,grassy,46
201,lot,46
202,nut,45
203,nature,45
204,food,45
205,fragrant,45
206,z,45
207,weight,45
208,rough,44
209,elegance,43
210,cut,43
211,bring,43
212,generous,43
213,pickle,43
214,tropical,43
215,dough,43
216,lean,43
217,drive,43
218,autolysis,43
219,aromatic,42
220,beautiful,42
221,mix,42
222,autolytic,42
223,bouquet,42
224,provide,42
225,quality,42
226,salty,41
227,earthy,41
228,basic,40
229,currant,40
230,soda,40
231,sharp,40
232,short,40
233,beautifully,40
234,refresh,40
235,lee,39
236,depth,39
237,cider,39
238,spicy,39
239,ready,38
240,pineapple,38
241,wild,38
242,time,38
243,forward,38
244,small,38
245,foam,38
246,meuni,38
247,silky,37
248,layer,37
249,ginger,37
250,leesy,37
251,low,37
252,champagne,37
253,structure,37
254,fragrance,36
255,base,36
256,sour,36
257,rise,36
258,dominate,35
259,length,35
260,set,35
261,copper,35
262,lift,35
263,mark,34
264,pleasant,34
265,creaminess,34
266,sophisticated,34
267,effervescence,33
268,sugary,33
269,sip,33
270,lend,33
271,smoky,32
272,bead,32
273,sourdough,32
274,orchard,32
275,intense,31
276,hold,31
277,winery,31
278,bitterness,31
279,softly,31
280,finesse,31
281,dryness,30
282,turn,30
283,flat,30
284,oak,30
285,fun,30
286,extra,30
287,pair,30
288,friendly,30
289,create,30
290,plenty,29
291,backdrop,29
292,smoke,29
293,perfume,28
294,ideal,28
295,fruitiness,28
296,focused,28
297,include,28
298,papaya,28
299,leave,28
300,slight,28
301,crispness,28
302,caramel,28
303,de,28
304,roast,28
305,vivacious,28
306,background,28
307,warm,28
308,heavy,27
309,wonderfully,27
310,fill,27
311,appetizing,27
312,overall,27
313,lasting,27
314,start,27
315,cuvée,26
316,gentle,26
317,linear,26
318,vivid,26
319,butterscotch,26
320,bone,26
321,core,25
322,banana,25
323,juice,25
324,support,25
325,perfect,25
326,last,25
327,freshly,25
328,boast,25
329,bottling,25
330,cookie,25
331,rind,25
332,traditional,24
333,combine,24
334,cidery,24
335,yeastiness,24
336,fairly,24
337,develop,24
338,rose,24
339,cranberry,24
340,chenin,24
341,right,24
342,modest,24
343,tonic,24
344,stony,24
345,acid,24
346,minerality,24
347,cinnamon,23
348,frame,23
349,feature,23
350,mango,23
351,accentuate,23
352,reveal,23
353,thick,23
354,classic,23
355,california,23
356,tiny,22
357,present,22
358,highlight,22
359,sense,22
360,keep,22
361,nuance,22
362,grass,22
363,profile,22
364,grow,22
365,want,22
366,value,22
367,drinking,22
368,deep,22
