,word,word count
0,flavor,2757
1,fruit,2321
2,wine,2189
3,black,1808
4,syrah,1765
5,finish,1340
6,blackberry,1318
7,aroma,1228
8,pepper,1175
9,tannin,1143
10,cherry,1134
11,palate,1124
12,note,893
13,spice,864
14,drink,793
15,dry,790
16,dark,747
17,show,672
18,plum,655
19,berry,641
20,oak,626
21,rich,618
22,nose,611
23,ripe,591
24,herb,557
25,chocolate,554
26,good,550
27,vineyard,546
28,meat,537
29,red,524
30,acidity,496
31,smoke,468
32,blueberry,455
33,bodied,447
34,soft,443
35,sweet,401
36,raspberry,393
37,licorice,386
38,tannic,374
39,currant,369
40,vanilla,365
41,offer,358
42,coffee,358
43,savory,345
44,come,333
45,light,329
46,like,329
47,year,328
48,feel,325
49,texture,318
50,bit,309
51,balance,296
52,tart,294
53,spicy,282
54,leather,279
55,hint,275
56,bottling,271
57,touch,270
58,structure,270
59,barrel,267
60,firm,265
61,fresh,262
62,dense,259
63,violet,259
64,age,255
65,lead,254
66,olive,253
67,long,251
68,purple,250
69,complex,247
70,earth,247
71,herbal,247
72,boysenberry,245
73,new,244
74,flower,239
75,peppery,230
76,taste,228
77,earthy,228
78,time,228
79,fine,224
80,beef,223
81,bacon,222
82,smoky,222
83,high,219
84,aromas,216
85,smooth,215
86,big,212
87,green,212
88,style,211
89,white,209
90,mouth,207
91,bright,206
92,open,206
93,lot,192
94,tobacco,189
95,bring,188
96,cool,187
97,cassis,187
98,blend,184
99,alcohol,184
100,grape,182
101,concentrated,181
102,linger,180
103,cola,180
104,medium,179
105,jam,173
106,bottle,171
107,acid,170
108,jammy,168
109,accent,166
110,blue,166
111,scent,166
112,mix,165
113,layer,165
114,deep,165
115,juicy,164
116,mocha,163
117,character,162
118,valley,161
119,elegant,160
120,fruity,155
121,mouthfeel,153
122,espresso,152
123,great,152
124,tar,151
125,char,151
126,cranberry,148
127,lavender,148
128,vintage,148
129,mineral,148
130,follow,147
131,delicious,147
132,complexity,147
133,little,147
134,tight,146
135,winery,145
136,wild,145
137,meaty,143
138,add,142
139,wood,139
140,sense,139
141,strong,137
142,young,137
143,cedar,136
144,orange,136
145,thick,135
146,give,135
147,plenty,134
148,varietal,132
149,grill,132
150,provide,131
151,pure,131
152,toast,130
153,bake,130
154,slightly,130
155,crush,126
156,balanced,125
157,pretty,122
158,roasted,122
159,make,122
160,velvety,122
161,lush,121
162,roast,120
163,floral,118
164,supple,118
165,streak,117
166,sip,116
167,anise,113
168,cocoa,113
169,easy,111
170,clove,110
171,color,110
172,core,110
173,aromatic,110
174,depth,110
175,generous,110
176,hard,110
177,french,109
178,silky,109
179,intense,109
180,glass,108
181,way,107
182,toasty,107
183,climate,107
184,suggest,107
185,elderberry,103
186,deliver,102
187,price,102
188,power,102
189,edge,101
190,need,101
191,richness,100
192,grow,100
193,estate,99
194,start,99
195,pie,98
196,nice,97
197,asphalt,96
198,mint,96
199,peel,96
200,forward,96
201,peppercorn,95
202,body,95
203,frame,95
204,chewy,94
205,warm,93
206,elegance,92
207,powerful,92
208,concentration,91
209,cellar,91
210,game,91
211,heavy,90
212,simple,89
213,sharp,88
214,thyme,87
215,caramel,87
216,solid,86
217,oaky,86
218,right,85
219,rock,85
220,source,85
221,wrap,84
222,bold,84
223,graphite,83
224,appellation,83
225,creamy,83
226,end,83
227,candy,83
228,lightly,83
229,variety,83
230,turn,83
231,mark,82
232,ready,82
233,quality,82
234,lift,81
235,sandalwood,81
236,cinnamon,81
237,pack,80
238,interesting,80
239,winemaker,80
240,weight,79
241,lovely,79
242,nicely,79
243,producer,78
244,plush,78
245,nuance,76
246,hold,76
247,ground,76
248,appeal,76
249,element,75
250,tea,75
251,round,75
252,crack,75
253,citrus,75
254,somewhat,74
255,soy,74
256,whiff,74
257,clean,74
258,strawberry,73
259,highlight,73
260,lamb,73
261,stem,72
262,combine,72
263,sauce,71
264,length,71
265,crisp,71
266,fat,70
267,carry,69
268,gamy,69
269,brown,68
270,impressive,68
271,tangy,68
272,hot,68
273,leathery,68
274,site,68
275,cure,67
276,keep,67
277,old,67
278,display,67
279,funk,67
280,brood,67
281,fill,66
282,rhône,66
283,mountain,66
284,viogni,66
285,develop,66
286,smell,65
287,lively,65
288,dusty,65
289,expression,65
290,rosemary,65
291,single,65
292,rustic,65
293,baked,64
294,pair,64
295,skin,64
296,ferment,64
297,excellent,64
298,santa,63
299,include,63
300,bone,62
301,hill,62
302,find,61
303,structured,60
304,integrate,60
305,raisin,60
306,subtle,60
307,tightly,60
308,support,60
309,alongside,59
310,heat,59
311,meet,59
312,small,59
313,washington,59
314,approachable,59
315,enjoy,58
316,load,58
317,intensity,58
318,release,58
319,month,58
320,minty,58
321,drive,57
322,steak,57
323,fairly,56
324,grip,56
325,iron,55
326,bitter,55
327,pleasing,55
328,back,55
329,layered,55
330,polished,55
331,milk,55
332,purity,55
333,hit,55
334,coat,55
335,vine,55
336,prune,54
337,sour,54
338,play,54
339,remain,54
340,bean,53
341,despite,53
342,overall,53
343,freshness,53
344,minerality,53
345,focus,52
346,reveal,52
347,cut,52
348,pleasant,52
349,coconut,52
350,liqueur,51
351,grenache,51
352,run,50
353,go,50
354,burst,50
355,acidic,50
356,tone,50
357,dominate,50
358,astringent,50
359,viognier,50
360,vibrant,50
361,bouquet,50
362,smoked,50
363,tough,49
364,base,49
365,leaf,49
366,wet,48
367,syrup,48
368,burn,48
369,try,48
370,wave,48
371,produce,48
372,get,48
373,extract,47
374,mushroom,47
375,effort,47
376,robust,47
377,ripeness,47
378,aromatically,46
379,reserve,46
380,present,46
381,intriguing,46
382,beautiful,46
383,toned,46
384,plump,45
385,thing,45
386,slight,45
387,stone,45
388,region,45
389,food,45
390,thin,45
391,know,45
392,value,45
393,california,44
394,decant,44
395,compelling,44
396,classic,44
397,fully,44
398,sugar,44
399,pomegranate,44
400,lack,44
401,especially,43
402,baking,43
403,influence,43
404,quickly,43
405,wind,43
406,well,43
407,leave,42
408,midpalate,42
409,close,42
410,brambly,42
411,ample,42
412,northern,42
