,word,word count
0,flavor,1711
1,finish,1203
2,aroma,1096
3,berry,987
4,fruit,954
5,plum,817
6,palate,770
7,wine,584
8,oak,583
9,cherry,539
10,feel,528
11,note,515
12,drink,508
13,black,495
14,spice,475
15,tannin,442
16,red,414
17,blackberry,389
18,vanilla,347
19,nose,341
20,dry,340
21,raspberry,312
22,tannic,301
23,acidity,296
24,earthy,295
25,dark,288
26,good,288
27,ripe,273
28,fresh,270
29,tempranillo,261
30,herbal,243
31,chocolate,237
32,oaky,210
33,tobacco,209
34,toasty,192
35,come,189
36,rioja,183
37,taste,177
38,spicy,175
39,aromas,174
40,leather,174
41,light,169
42,bit,167
43,touch,165
44,herb,161
45,like,160
46,show,159
47,hard,153
48,tight,152
49,sweet,138
50,slightly,137
51,cassis,133
52,mouth,132
53,coffee,128
54,juicy,127
55,raisin,126
56,mouthfeel,122
57,solid,121
58,scent,119
59,earth,117
60,licorice,116
61,baked,115
62,rubbery,114
63,raw,114
64,heavy,111
65,jammy,110
66,leathery,108
67,savory,107
68,offer,106
69,lead,106
70,peppery,106
71,hint,105
72,wood,104
73,mild,104
74,bake,103
75,long,102
76,tomato,101
77,firm,101
78,toast,100
79,smoky,99
80,lightly,98
81,green,98
82,grabby,96
83,bouquet,95
84,roasted,95
85,accent,94
86,big,94
87,roast,93
88,year,93
89,burn,92
90,char,92
91,medium,92
92,smooth,91
93,smell,91
94,crisp,90
95,prune,90
96,rich,89
97,balance,89
98,pepper,89
99,clean,87
100,lean,86
101,mocha,86
102,acid,85
103,tart,84
104,creamy,84
105,cola,84
106,open,84
107,bodied,83
108,soft,83
109,vintage,83
110,currant,80
111,woody,79
112,little,79
113,chocolaty,79
114,chunky,79
115,high,78
116,minty,77
117,character,75
118,chewy,73
119,weight,73
120,nice,72
121,deep,70
122,short,70
123,time,70
124,body,70
125,choppy,69
126,gritty,69
127,blueberry,67
128,mix,66
129,age,66
130,acidic,66
131,structure,65
132,dense,65
133,fruity,64
134,end,64
135,warm,63
136,suggest,63
137,snappy,63
138,barrel,62
139,lively,61
140,style,61
141,balanced,60
142,young,60
143,stalky,60
144,pure,59
145,lot,59
146,meaty,59
147,blend,58
148,color,57
149,set,57
150,bright,57
151,coconut,56
152,scratchy,56
153,leafy,56
154,fine,56
155,ribera,56
156,overall,56
157,easy,55
158,basic,55
159,strawberry,54
160,drive,54
161,round,54
162,sharp,53
163,rough,53
164,turn,53
165,resiny,52
166,raisiny,52
167,rubber,51
168,follow,51
169,healthy,50
170,racy,50
171,bring,50
172,strong,49
173,standard,49
174,texture,48
175,medicinal,48
176,wild,47
177,mildly,47
178,bitter,46
179,cocoa,46
180,smoke,46
181,elegant,46
182,thick,46
183,simple,46
184,clove,45
185,airing,44
186,candy,44
187,forward,44
188,plenty,44
189,bold,44
190,hot,44
191,crianza,44
192,fairly,44
193,depth,43
194,concentrated,43
195,traditional,43
196,heat,42
197,deliver,42
198,smelling,42
199,floral,42
200,mature,42
201,way,42
202,modern,41
203,settle,41
204,mint,41
205,zesty,40
206,bacon,40
207,generous,40
208,complex,40
209,lush,40
210,meat,40
211,create,40
212,dusty,39
213,power,39
214,hold,39
215,plump,38
216,give,38
217,support,38
218,complexity,38
219,wiry,37
220,new,37
221,tangy,37
222,boysenberry,37
223,charred,37
224,right,37
225,bottle,36
226,quality,36
227,rustic,35
228,del,35
229,subtle,35
230,varietal,35
231,run,34
232,blacken,34
233,duero,34
234,base,33
235,astringent,33
236,powerful,33
237,load,33
238,rooty,33
239,ready,32
240,grape,32
241,tough,32
242,saucy,32
243,draw,32
244,somewhat,31
245,profile,31
246,leave,31
247,reserva,31
248,peel,31
249,buttery,31
250,start,31
251,generic,31
252,length,31
253,carry,31
254,thing,31
255,cool,30
256,flat,30
257,loamy,30
258,grip,30
259,include,30
260,abrasive,30
261,syrupy,30
262,intense,30
263,graphite,30
264,violet,30
265,salty,30
266,vineyard,29
267,lemony,29
268,pie,29
269,sense,29
270,grain,29
271,nicely,29
272,olive,29
273,low,29
274,molasse,29
275,winery,28
276,add,28
277,fully,28
278,make,28
279,define,28
280,go,28
281,pretty,28
282,food,27
283,edge,27
284,stewy,27
285,cranberry,27
286,blocky,27
287,get,27
288,variety,27
289,oake,27
290,edgy,27
291,dill,27
292,caramel,26
293,price,26
294,wet,26
295,resin,26
296,modest,26
297,tasty,26
298,cedar,26
299,wide,26
300,need,26
301,cinnamon,26
302,fig,26
303,rugged,26
304,exotic,25
305,pinch,25
306,purple,25
307,excellent,25
308,murky,25
309,milk,25
310,core,25
311,french,25
312,clampy,25
313,old,25
314,rdd,24
315,hollow,24
316,lack,24
317,feature,24
318,animal,24
319,fiery,24
320,month,24
321,tea,24
322,structured,24
323,lasting,24
324,push,24
325,great,23
326,improve,23
327,bulky,23
328,classic,23
329,dominate,23
330,rock,23
331,streak,23
332,citrus,23
333,linger,23
334,jumpy,23
335,sour,23
336,attractive,22
337,asphalt,22
338,sweetness,22
339,saturate,22
340,beef,22
341,narrow,22
342,last,22
343,cheese,21
344,match,21
345,funky,21
346,rise,21
347,espresso,21
348,leaf,21
349,flush,21
350,lemon,21
351,delicious,21
352,expect,21
353,form,21
354,ripeness,21
355,pull,21
356,level,21
357,overly,20
358,point,20
359,force,20
360,fade,20
361,back,20
362,brown,20
363,compost,20
364,integrate,20
365,grapy,20
366,pleasant,19
367,tar,19
368,root,19
369,richness,19
370,thin,19
371,straightforward,19
372,mineral,19
373,cheesy,19
374,deal,19
375,hickory,19
376,silky,19
377,grill,19
378,despite,19
379,freshness,19
380,work,19
381,angular,19
382,grassy,19
383,close,19
384,provide,19
385,elegance,19
386,sugar,19
387,minerally,19
388,friendly,19
389,mean,19
