,word,word count
0,flavor,679
1,wine,496
2,fruit,471
3,finish,364
4,peach,352
5,viognier,321
6,palate,291
7,acidity,263
8,aroma,252
9,apricot,243
10,white,224
11,note,207
12,apple,190
13,lemon,189
14,ripe,185
15,pear,183
16,nose,177
17,citrus,177
18,rich,162
19,tropical,158
20,vanilla,152
21,light,143
22,honey,140
23,dry,138
24,orange,138
25,show,138
26,drink,135
27,sweet,130
28,lime,127
29,spice,125
30,pineapple,122
31,balance,121
32,fresh,118
33,bodied,118
34,oak,114
35,crisp,113
36,like,112
37,honeysuckle,112
38,flower,110
39,texture,108
40,melon,104
41,offer,91
42,floral,89
43,stone,88
44,hint,88
45,good,82
46,medium,82
47,clean,77
48,toast,77
49,barrel,75
50,touch,75
51,taste,75
52,feel,73
53,creamy,70
54,viogni,67
55,green,66
56,lead,66
57,soft,65
58,grapefruit,62
59,yellow,62
60,blossom,60
61,aromatic,59
62,ferment,59
63,bit,58
64,exotic,57
65,variety,57
66,linger,55
67,bright,55
68,candy,54
69,bottling,54
70,age,53
71,come,52
72,long,52
73,mouthfeel,52
74,scent,52
75,grape,52
76,nectarine,52
77,slightly,51
78,spicy,51
79,tangerine,50
80,mouth,50
81,vineyard,48
82,aromas,48
83,round,47
84,rind,47
85,style,46
86,tart,46
87,character,46
88,alcohol,45
89,body,45
90,mineral,44
91,acid,43
92,broad,42
93,almond,42
94,high,41
95,mix,41
96,fruity,40
97,butter,40
98,bring,40
99,honeyed,39
100,give,39
101,steel,38
102,mango,38
103,balanced,38
104,juicy,38
105,sharp,38
106,concentration,37
107,peel,37
108,add,37
109,cream,37
110,layer,37
111,smooth,36
112,lively,36
113,delicious,36
114,lush,36
115,skin,36
116,varietal,35
117,stainless,35
118,lot,35
119,vibrant,34
120,papaya,34
121,nice,34
122,carry,34
123,herb,33
124,banana,33
125,warm,33
126,oily,33
127,nicely,33
128,accent,33
129,weight,33
130,open,32
131,grow,32
132,asian,32
133,lightly,31
134,provide,30
135,bitter,30
136,sweetness,30
137,jasmine,30
138,pretty,30
139,delicate,30
140,pair,29
141,french,29
142,easy,28
143,little,28
144,minerality,28
145,estate,28
146,richness,28
147,blend,28
148,pepper,28
149,subtle,27
150,cut,27
151,generous,27
152,dessert,27
153,way,26
154,concentrated,26
155,elegant,26
156,start,26
157,vintage,26
158,midpalate,26
159,viscous,26
160,flesh,25
161,fine,25
162,new,25
163,sip,25
164,great,25
165,neutral,25
166,bitterness,25
167,plenty,25
168,refreshing,24
169,golden,24
170,edge,24
171,lean,24
172,ginger,24
173,tight,24
174,complex,24
175,color,24
176,follow,23
177,smell,23
178,citrusy,23
179,guava,23
180,strong,23
181,lee,23
182,sugar,22
183,honeydew,22
184,custard,22
185,appeal,22
186,fermentation,22
187,make,22
188,glass,22
189,condrieu,22
190,mark,22
191,juice,22
192,tangy,22
193,pure,22
194,pith,22
195,buttery,21
196,simple,21
197,tea,21
198,combine,21
199,keep,21
200,brisk,21
201,sense,21
202,dominate,21
203,nut,21
204,meyer,21
205,forward,21
206,cool,21
207,restrained,21
208,lack,20
209,find,20
210,interesting,20
211,butterscotch,20
212,length,20
213,lovely,20
214,highlight,20
215,oil,20
216,element,20
217,valley,20
218,focus,20
219,food,20
220,low,19
221,kiwi,19
222,perfume,19
223,grill,19
224,complexity,19
225,opulent,19
226,ripeness,19
227,wood,18
228,zesty,18
229,smoky,18
