,word,word count
0,wine,1327
1,blend,1282
2,flavor,1188
3,fruit,1065
4,white,1039
5,aroma,906
6,palate,890
7,finish,789
8,apple,721
9,acidity,668
10,citrus,620
11,peach,616
12,note,518
13,blanc,484
14,chardonnay,480
15,fresh,475
16,offer,457
17,dry,448
18,sauvignon,427
19,lemon,416
20,crisp,399
21,pear,399
22,apricot,349
23,nose,320
24,drink,313
25,honey,307
26,sweet,302
27,flower,299
28,ripe,284
29,orange,268
30,melon,261
31,green,259
32,almond,258
33,spice,254
34,light,254
35,stone,249
36,yellow,248
37,pinot,248
38,rich,245
39,bright,237
40,grape,236
41,vanilla,233
42,open,220
43,creamy,216
44,feel,216
45,touch,213
46,mineral,212
47,hint,209
48,lime,207
49,oak,207
50,texture,196
51,clean,193
52,viognier,188
53,good,187
54,tropical,183
55,floral,183
56,soft,182
57,lead,175
58,like,175
59,show,174
60,pineapple,172
61,fruity,166
62,bodied,162
63,toast,160
64,balance,156
65,candy,154
66,easy,153
67,mouth,152
68,pair,145
69,taste,142
70,herb,138
71,grapefruit,138
72,alongside,133
73,malvasia,127
74,riesling,126
75,round,123
76,viogni,122
77,nectarine,121
78,medium,120
79,mouthfeel,120
80,aromatic,120
81,character,118
82,slightly,118
83,deliver,115
84,blossom,112
85,simple,111
86,aromas,110
87,honeysuckle,108
88,juicy,108
89,color,107
90,close,107
91,come,106
92,roussanne,105
93,zest,104
94,tone,103
95,lively,103
96,variety,103
97,spicy,102
98,bitter,101
99,smooth,100
100,give,99
101,fragrant,94
102,sémillon,94
103,scent,94
104,tangy,94
105,pretty,93
106,long,93
107,tangerine,91
108,age,91
109,golden,90
110,delicious,90
111,exotic,90
112,muscat,90
113,gris,90
114,delicate,89
115,linger,88
116,freshness,86
117,sweetness,85
118,zesty,85
119,bouquet,85
120,style,84
121,peel,82
122,great,81
123,gewürztraminer,80
124,intense,78
125,bit,77
126,follow,76
127,savory,76
128,accent,75
129,tart,74
130,viura,73
131,cut,72
132,elegant,72
133,vibrant,72
134,friulano,72
135,barrel,72
136,mature,71
137,add,71
138,richness,71
139,trebbiano,70
140,grigio,70
141,mix,70
142,ferment,69
143,complex,68
144,bianco,67
145,carry,66
146,edge,65
147,drive,65
148,lightly,64
149,refreshing,64
150,thick,64
151,skin,64
152,banana,63
153,whiff,63
154,herbal,63
155,lean,63
156,attractive,62
157,butterscotch,62
158,dessert,62
159,minerality,61
160,vineyard,61
161,end,61
162,make,60
163,chenin,60
164,unusual,60
165,suggest,60
166,lychee,59
167,z,59
168,smell,59
169,mango,58
170,weight,58
171,year,58
172,citrusy,58
173,acacia,57
174,structure,57
175,caramel,57
176,vermentino,56
177,balanced,56
178,layer,56
179,subtle,56
180,nut,56
181,little,55
182,food,55
183,papaya,55
184,acid,55
185,body,54
186,pithy,54
187,dominate,53
188,brisk,52
189,orchard,52
190,manseng,52
191,refresh,51
192,glass,51
193,drop,51
194,complexity,51
195,include,50
196,bring,50
197,seafood,50
198,start,49
199,ready,48
200,marsanne,48
201,honeyed,48
202,wood,48
203,juice,47
204,mild,47
205,dish,47
206,butter,46
207,perfume,46
208,sugar,46
209,red,45
210,fine,45
211,bake,45
212,oily,45
213,catarratto,45
214,grenache,45
215,heavy,45
216,passion,44
217,grass,44
218,ginger,44
219,high,44
220,nice,44
221,tight,44
222,unique,44
223,spring,43
224,cream,43
225,pepper,43
226,linear,43
227,jasmine,42
228,hay,42
229,back,41
230,lot,41
231,provide,41
232,lush,41
233,hazelnut,41
234,lift,41
235,boast,40
236,italy,40
237,sip,40
238,fragrance,40
239,generous,39
240,ribolla,39
241,base,39
242,load,39
243,overall,39
244,intensity,39
245,beautiful,39
246,mediterranean,39
247,grill,39
248,perfect,38
249,beeswax,38
250,appeal,37
251,citric,37
252,gialla,37
253,toasty,37
254,brighten,37
255,racy,36
256,concentrated,36
257,oaky,36
258,salad,36
259,waxy,36
260,small,36
261,recall,35
262,grechetto,35
263,vintage,35
264,element,35
265,way,35
266,macabeo,35
267,italian,34
268,nicely,34
269,set,34
270,perfumed,34
271,produce,34
272,plump,34
273,gros,34
274,work,34
275,gold,33
276,fish,33
277,rise,33
278,time,33
279,quality,33
280,alcohol,33
281,cheese,33
282,price,33
283,buttery,33
284,broad,32
285,minerally,32
286,warm,32
287,neutral,32
288,aftertaste,32
