,word,word count
0,flavor,1723
1,wine,1621
2,fruit,899
3,blackberry,883
4,cherry,864
5,zin,851
6,tannin,772
7,finish,747
8,black,734
9,dry,731
10,ripe,612
11,spice,607
12,pepper,586
13,zinfandel,568
14,sweet,554
15,berry,548
16,soft,482
17,raspberry,467
18,rich,466
19,bodied,464
20,alcohol,460
21,red,422
22,chocolate,413
23,like,408
24,aroma,403
25,palate,394
26,high,381
27,good,377
28,oak,354
29,drink,344
30,texture,342
31,acidity,334
32,spicy,323
33,taste,322
34,wild,309
35,currant,307
36,show,289
37,vineyard,287
38,plum,279
39,note,266
40,dark,260
41,tannic,252
42,big,245
43,offer,235
44,balance,222
45,cinnamon,220
46,old,218
47,nose,213
48,vanilla,211
49,smooth,203
50,fruity,195
51,jam,193
52,briary,192
53,leather,191
54,juicy,190
55,firm,188
56,cola,187
57,structure,186
58,sirah,185
59,vine,185
60,petite,184
61,barbecue,181
62,licorice,177
63,raisin,174
64,style,171
65,jammy,170
66,smoky,169
67,strawberry,166
68,tobacco,165
69,great,164
70,year,156
71,little,153
72,light,148
73,fine,148
74,peppery,145
75,brambly,145
76,blueberry,144
77,give,144
78,hot,141
79,touch,141
80,blend,140
81,complex,140
82,delicious,135
83,layer,133
84,bright,132
85,lot,124
86,sugar,123
87,come,121
88,herb,121
89,dusty,121
90,meat,119
91,balanced,117
92,mocha,116
93,anise,116
94,easy,115
95,make,114
96,body,114
97,savory,114
98,classic,110
99,clove,110
100,medium,110
101,mouth,110
102,linger,109
103,robust,108
104,beef,107
105,thick,107
106,grape,106
107,rustic,106
108,smoke,106
109,fresh,105
110,character,104
111,simple,104
112,long,104
113,price,103
114,nice,103
115,mouthfeel,101
116,variety,98
117,valley,97
118,power,96
119,sweetness,96
120,concentrated,96
121,cocoa,94
122,bit,93
123,creek,93
124,heat,92
125,cedar,90
126,age,90
127,bold,90
128,earthy,90
129,bottling,90
130,plenty,89
131,port,89
132,leathery,87
133,accent,87
134,boysenberry,86
135,strong,86
136,way,84
137,brown,84
138,bacon,83
139,hint,82
140,color,82
141,time,81
142,elegant,81
143,tart,81
144,edge,81
145,add,79
146,deep,78
147,powerful,78
148,smell,77
149,new,77
150,white,76
151,complexity,75
152,slightly,74
153,pie,72
154,overripe,72
155,nicely,71
156,prune,71
157,plant,69
158,mountain,69
159,pair,69
160,lusty,68
161,syrup,68
162,feel,68
163,bake,67
164,candy,67
165,grill,66
166,ripeness,66
167,coffee,65
168,sip,64
169,vintage,63
170,exotic,63
171,winery,63
172,toast,63
173,wrap,62
174,richness,62
175,despite,62
176,food,61
177,generous,61
178,milk,60
179,aromas,60
180,enjoy,60
181,lead,60
182,mix,60
183,provide,59
184,sauce,59
185,bottle,59
186,oaky,59
187,acid,59
188,need,59
189,cranberry,58
190,warm,58
191,site,58
192,concentration,57
193,velvety,57
194,combine,57
195,source,56
196,producer,56
197,green,56
198,dense,56
199,lush,55
200,quality,55
201,open,54
202,nutmeg,54
203,intense,54
204,element,52
205,hard,51
206,moderate,51
207,pack,50
208,personality,50
209,heavy,50
210,varietal,50
211,example,50
212,depth,50
213,mint,49
214,sonoma,49
215,play,49
216,softly,49
217,tar,49
218,lodi,49
219,meaty,49
220,sandalwood,49
221,cheese,48
222,subtle,48
223,pretty,48
224,grow,48
225,structured,48
226,suggest,48
227,grip,48
228,herbal,47
229,fill,47
230,find,47
231,lively,47
232,elegance,47
233,weight,46
234,tight,46
235,napa,46
236,bring,45
237,baked,45
238,right,44
239,mulberry,44
240,estate,43
241,heady,43
242,tasty,43
243,mark,43
244,cassis,43
245,extract,43
246,include,43
247,core,42
248,sage,42
249,brawny,42
250,glass,42
251,young,42
252,lovely,42
253,intensity,41
254,wave,41
255,clean,41
256,county,40
257,wood,40
258,go,40
259,somewhat,40
260,small,40
261,porty,39
262,forward,39
263,supple,38
264,keep,38
265,maple,38
266,grain,38
267,silky,38
268,dessert,38
269,appellation,38
270,earth,38
271,grippy,38
272,frame,38
273,california,38
274,mellow,37
275,round,37
276,meet,37
277,fairly,37
278,hold,37
279,deliver,36
280,steak,36
281,forest,36
282,roast,36
283,broad,36
284,follow,36
285,burn,36
286,raisiny,36
287,nuance,36
288,ready,36
289,designate,35
290,hit,35
291,support,35
292,char,35
293,sense,35
294,turn,35
295,flood,34
296,barrel,34
297,veer,34
298,restrained,34
299,integrate,34
300,baking,34
301,streak,34
302,paso,34
303,exuberant,34
304,perfect,34
305,hearty,33
306,contain,33
307,carry,33
308,dish,33
309,olive,33
310,fig,32
311,crush,32
312,liqueur,32
313,especially,32
314,everyday,32
315,toasty,32
316,orange,32
317,crisp,32
318,help,31
319,minty,31
320,get,31
321,start,31
322,bone,31
323,define,31
324,dominate,31
325,level,31
326,beautiful,31
327,low,31
328,take,31
329,toned,31
330,fully,30
331,plummy,30
332,interesting,30
333,summer,30
334,aromatic,30
335,case,30
336,purple,30
337,carignane,30
338,american,30
339,stand,30
340,distinctive,29
341,tea,29
342,superripe,29
343,vegetal,29
344,pick,29
345,thyme,28
346,sugary,28
347,syrupy,28
348,relatively,28
349,build,28
350,solid,28
351,syrah,28
352,layered,28
353,love,28
354,textured,28
355,intensely,28
